
── Step 12b: TE Nested-Walk-Forward-Tuned LightGBM ─────────────────────────────
ℹ Grid: 32 combos per component per fold (eff and vol tuned separately)
ℹ Inner split: last 20% season-weeks as RMSE holdout
ℹ Construction: FROZEN Mechanism A power-law (identical to 3A/3A-v2)
ℹ Rubric: FROZEN (unchanged veto, decision rule, fold_map)
✔ TE feature table: 6765 rows | Fold map: 204 folds | Expected test rows: 6599
✔ All model features present in TE feature table

── Walk-forward fold loop (204 folds x 32 combos x 2 components) ───────────────
ℹ Fold 60 [2017-W14]: 33 rows | eff: leaves=15 minnode=100 lr=0.05 rds=10 | vol: leaves=7 minnode=10 lr=0.02 rds=145 | 1s
ℹ Fold 61 [2017-W15]: 31 rows | eff: leaves=15 minnode=50 lr=0.05 rds=10 | vol: leaves=7 minnode=10 lr=0.02 rds=145 | 2s
ℹ Fold 62 [2017-W16]: 33 rows | eff: leaves=63 minnode=20 lr=0.05 rds=10 | vol: leaves=7 minnode=10 lr=0.05 rds=73 | 2s
ℹ Fold 63 [2017-W17]: 32 rows | eff: leaves=15 minnode=20 lr=0.02 rds=20 | vol: leaves=7 minnode=20 lr=0.05 rds=72 | 2s
ℹ Fold 64 [2018-W01]: 34 rows | eff: leaves=63 minnode=10 lr=0.05 rds=11 | vol: leaves=7 minnode=10 lr=0.05 rds=124 | 2s
ℹ Fold 65 [2018-W02]: 38 rows | eff: leaves=7 minnode=20 lr=0.05 rds=17 | vol: leaves=7 minnode=20 lr=0.05 rds=75 | 2s
ℹ Fold 66 [2018-W03]: 35 rows | eff: leaves=7 minnode=20 lr=0.05 rds=17 | vol: leaves=7 minnode=20 lr=0.05 rds=74 | 2s
ℹ Fold 67 [2018-W04]: 31 rows | eff: leaves=7 minnode=10 lr=0.05 rds=17 | vol: leaves=7 minnode=20 lr=0.02 rds=147 | 2s
ℹ Fold 68 [2018-W05]: 28 rows | eff: leaves=7 minnode=10 lr=0.02 rds=69 | vol: leaves=7 minnode=20 lr=0.05 rds=55 | 2s
ℹ Fold 69 [2018-W06]: 31 rows | eff: leaves=31 minnode=20 lr=0.02 rds=26 | vol: leaves=7 minnode=10 lr=0.02 rds=195 | 2s
ℹ Fold 70 [2018-W07]: 28 rows | eff: leaves=31 minnode=20 lr=0.05 rds=17 | vol: leaves=15 minnode=10 lr=0.05 rds=63 | 2s
ℹ Fold 71 [2018-W08]: 35 rows | eff: leaves=31 minnode=20 lr=0.05 rds=17 | vol: leaves=15 minnode=10 lr=0.05 rds=63 | 2s
ℹ Fold 72 [2018-W09]: 27 rows | eff: leaves=7 minnode=20 lr=0.02 rds=62 | vol: leaves=7 minnode=10 lr=0.02 rds=158 | 2s
ℹ Fold 73 [2018-W10]: 28 rows | eff: leaves=7 minnode=20 lr=0.05 rds=33 | vol: leaves=7 minnode=10 lr=0.02 rds=140 | 2s
