
── Step 3A-v2: Nested-Walk-Forward-Tuned LightGBM ──────────────────────────────
ℹ Grid: 32 combos per component per fold (eff and vol tuned separately)
ℹ Inner split: last 20% season-weeks as RMSE holdout (same as cal split)
ℹ Construction: FROZEN Mechanism A power-law (identical to 3A/3B)
ℹ Rubric: FROZEN (unchanged veto, decision rule, folds)
✔ Feature table: 11918 rows | Fold map: 204 folds | Expected test rows: 11621
ℹ ARM B: volume features extended with 7 injury-state features

── Walk-forward fold loop (204 folds x 32 combos x 2 components) ───────────────
ℹ Fold 116 [2021-W02]: 58 rows | eff: leaves=7 minnode=100 lr=0.05 rds=38 | vol: leaves=15 minnode=20 lr=0.05 rds=53 | 4s
ℹ Fold 117 [2021-W03]: 58 rows | eff: leaves=15 minnode=10 lr=0.05 rds=50 | vol: leaves=15 minnode=50 lr=0.05 rds=51 | 4s
ℹ Fold 118 [2021-W04]: 61 rows | eff: leaves=7 minnode=10 lr=0.02 rds=145 | vol: leaves=15 minnode=10 lr=0.02 rds=120 | 5s
ℹ Fold 119 [2021-W05]: 64 rows | eff: leaves=7 minnode=20 lr=0.05 rds=79 | vol: leaves=15 minnode=100 lr=0.02 rds=156 | 5s
ℹ Fold 120 [2021-W06]: 51 rows | eff: leaves=7 minnode=20 lr=0.05 rds=63 | vol: leaves=15 minnode=50 lr=0.05 rds=42 | 5s
ℹ Fold 121 [2021-W07]: 50 rows | eff: leaves=7 minnode=100 lr=0.05 rds=53 | vol: leaves=15 minnode=50 lr=0.05 rds=48 | 5s
ℹ Fold 122 [2021-W08]: 58 rows | eff: leaves=7 minnode=100 lr=0.05 rds=24 | vol: leaves=15 minnode=50 lr=0.05 rds=49 | 4s
ℹ Fold 123 [2021-W09]: 54 rows | eff: leaves=7 minnode=100 lr=0.05 rds=47 | vol: leaves=31 minnode=100 lr=0.02 rds=128 | 5s
ℹ Fold 124 [2021-W10]: 56 rows | eff: leaves=31 minnode=100 lr=0.05 rds=12 | vol: leaves=15 minnode=100 lr=0.02 rds=125 | 4s
ℹ Fold 125 [2021-W11]: 53 rows | eff: leaves=7 minnode=100 lr=0.05 rds=34 | vol: leaves=15 minnode=50 lr=0.02 rds=138 | 4s
ℹ Fold 126 [2021-W12]: 57 rows | eff: leaves=7 minnode=100 lr=0.05 rds=33 | vol: leaves=15 minnode=50 lr=0.02 rds=138 | 4s
ℹ Fold 127 [2021-W13]: 50 rows | eff: leaves=15 minnode=20 lr=0.05 rds=27 | vol: leaves=15 minnode=10 lr=0.02 rds=110 | 4s
ℹ Fold 128 [2021-W14]: 51 rows | eff: leaves=15 minnode=10 lr=0.02 rds=104 | vol: leaves=15 minnode=10 lr=0.05 rds=54 | 4s
ℹ Fold 129 [2021-W15]: 59 rows | eff: leaves=63 minnode=50 lr=0.05 rds=19 | vol: leaves=31 minnode=10 lr=0.02 rds=125 | 5s
ℹ Fold 130 [2021-W16]: 62 rows | eff: leaves=7 minnode=50 lr=0.02 rds=90 | vol: leaves=15 minnode=20 lr=0.02 rds=125 | 5s
