gsis_id,esb_id,pfr_id,nfl_name,dm_name,pos,school,draft_round,draft_pick,draft_team,pred,pred_uncertainty,p_boom,p_bust,p_expected,model_verdict,match_method,gsis_provisional
00-0041490,HEI114391,HeidEl00,Eli Heidenreich,Eli Heidenreich,RB,Navy,NA,NA,PIT,0.02516767382621765,1.000000933924167,0.16482194546601,0.15264226500947273,0.6825357895245172,Baseline,udfa_name,FALSE
00-0041244,HAY608012,HaynJa01,Jamal Haynes,Jamal Haynes,RB,Georgia Tech,NA,NA,CIN,0.0037832690868526697,1.000000933924167,0.15957265194689332,0.15774177122291608,0.6826855768301906,Baseline,udfa_name,FALSE
00-0040959,OTT017302,NA,Jaydn Ott,Jaydn Ott,RB,Oklahoma,NA,NA,KC,7.224853034131229e-4,1.000000933924167,0.1588303633584026,0.15848072277376038,0.682688913867837,Baseline,udfa_name,FALSE
00-0041217,TAY388181,TaylJM00,J'Mari Taylor,J'Mari Taylor,RB,Virginia,NA,NA,JAX,2.573641831986606e-4,1.000000933924167,0.15871776252514322,0.15859321332939563,0.6826890241454611,Baseline,udfa_name,FALSE
00-0041433,CAL748214,NA,Kadarius Calloway,Kadarius Calloway,RB,New Mexico State,NA,NA,TB,0.0235288105905056,1.000000933924167,0.16441573501734655,0.15302916838615788,0.6825550965964956,Baseline,udfa_name,FALSE
00-0041350,OWE539873,NA,Kejon Owens,Kejon Owens,RB,Florida International,NA,NA,MIN,-0.003264110069721937,1.000000933924167,0.1578669498586899,0.159446588015642,0.6826864621256681,Baseline,udfa_name,FALSE
00-0041241,BUL521409,BullKe01,Kentrel Bullock,Kentrel Bullock,RB,South Alabama,NA,NA,CIN,0.0022390861995518208,1.000000933924167,0.15919787978294564,0.15811429316301603,0.6826878270540383,Baseline,udfa_name,FALSE
00-0041312,WHI812467,WhitNo00,Noah Whittington,Noah Whittington,RB,Oregon,NA,NA,HOU,-0.006191337946802378,1.000000933924167,0.15716199503812323,0.16015824009547275,0.682679764866404,Baseline,udfa_name,FALSE
00-0041178,HEN713719,HenrRo00,Robert Henry Jr.,Robert Henry Jr.,RB,Texas-San Antonio,NA,NA,WAS,0.005463392939418554,1.000000933924167,0.1599810722880341,0.1573371099923325,0.6826818177196333,Baseline,udfa_name,FALSE
00-0040998,HEM079286,HembRo00,Roman Hemby,Roman Hemby,RB,Indiana,NA,NA,LV,0.0036601165775209665,1.000000933924167,0.15954274174185587,0.1577714596216956,0.6826857986364485,Baseline,udfa_name,FALSE
