player_id,season,week,pred_vol,p_start,p_boom,hit_start,hit_boom,stratum,p_start_platt,p_start_iso,p_start_strat_platt,p_start_strat_iso,p_start_platt_vol,p_boom_platt,p_boom_iso,p_boom_strat_platt,p_boom_strat_iso,p_boom_platt_vol
00-0032426,2016,14,7.81840587258937,0.0675,0.0115,FALSE,FALSE,exante_low,0.08967540326545984,0.15502183406113537,0.18160651817961906,0.12090163934426229,0.15469617277333275,0.038710849448549,0.07511737089201878,0.08439693161269328,0.044534412955465584,0.0875293892838494
00-0032450,2016,14,11.779621101266423,0.133,0.031,FALSE,FALSE,exante_mid,0.14553301996334195,0.15502183406113537,0.25093735517533505,0.1619047619047619,0.2638345094412872,0.06689077499043412,0.07511737089201878,0.13328372749621,0.07066666666666667,0.13828646649381407
00-0032764,2016,14,11.045564749588966,0.1365,0.0255,FALSE,FALSE,exante_mid,0.1482757209148367,0.15502183406113537,0.2424210993028929,0.1619047619047619,0.18592346033510368,0.06008474656326628,0.07511737089201878,0.1673219170894925,0.07066666666666667,0.12975805442012664
00-0032780,2016,14,21.10620610530232,0.5405,0.282,FALSE,FALSE,exante_high,0.42922031598090044,0.4838709677419355,0.4640525533981566,0.4838709677419355,0.5096269338855628,0.2304433557668832,0.24369747899159663,0.2570786602887129,0.24369747899159663,0.3053851488381678
00-0032902,2016,14,8.012660236422272,0.058,0.0075,FALSE,FALSE,exante_low,0.08049985269893224,0.15502183406113537,0.20803244927444514,0.12090163934426229,0.21712831120505144,0.03052691254133081,0.05555555555555555,0.12447598248828293,0.044534412955465584,0.1763901185608033
00-0032972,2016,14,20.131350202156213,0.542,0.3505,FALSE,FALSE,exante_high,0.4302996082192903,0.4838709677419355,0.46526503285205933,0.4838709677419355,0.37878696842017173,0.2641174463061908,0.3793103448275862,0.28781496405750473,0.3793103448275862,0.13414972618328452
00-0033025,2016,14,9.290357550807157,0.0955,0.0245,FALSE,FALSE,exante_low,0.11482143896052788,0.15502183406113537,0.13022457379089725,0.12090163934426229,0.16272342844853024,0.058777218460926525,0.07511737089201878,0.0408189536726334,0.044534412955465584,0.057890776993658785
00-0033045,2016,14,23.996975595111163,0.6585,0.361,FALSE,FALSE,exante_high,0.5188141356917304,0.7,0.5633466966991946,0.7,0.6531066878582161,0.26922520732544186,0.3793103448275862,0.29242370311533555,0.3793103448275862,0.5398179634440433
00-0023500,2016,15,18.84375237289104,0.3725,0.1375,TRUE,FALSE,exante_high,0.315064440655639,0.28793774319066145,0.332634370996827,0.2901960784313726,0.5403780459423599,0.15109944946256026,0.11737089201877934,0.18093135266184254,0.1640826873385013,0.35421436268301687
00-0025394,2016,15,20.219503096252826,0.53,0.334,FALSE,FALSE,exante_high,0.42414375442749425,0.48031496062992124,0.45736776915384625,0.48031496062992124,0.4147839808529584,0.2533048377627804,0.3548387096774194,0.2765590418473148,0.3548387096774194,0.15212675137580048
