player_id,season,week,opportunities,epa_per_opp_obs,total_epa,pred_eff,lo_50_eff,hi_50_eff,lo_80_eff,hi_80_eff,lo_90_eff,hi_90_eff,pred_vol,lo_50_vol,hi_50_vol,lo_80_vol,hi_80_vol,lo_90_vol,hi_90_vol,fold,alpha_fold,pred_tot,lo_50_tot,hi_50_tot,lo_80_tot,hi_80_tot,lo_90_tot,hi_90_tot,it_c,p_start_sim,p_boom_sim,p_start_norm,p_boom_norm,position,med_eff,med_vol,med_tot,fantasy_points_ppr,hit_start,hit_boom
00-0027772,2014,6,7,-0.28793740924447775,-2.015561864711344,0.00335753321359524,-0.18558415386022364,0.18680243536187807,-0.3692530036720556,0.3704712851737101,-0.5245999801305746,0.525818261632229,10.608949806514993,6.720974725067226,14.49692488796276,2.3123847031930804,18.905514909836903,-0.6488983365344545,21.86679794956444,1,0.4731885011830933,0.0356199013367389,-1.72407284082922,1.7953126435026978,-3.8400132185331017,3.911253021206579,-5.439135092939688,5.510374895613166,-2,0.1875,0.069,0.2003875036526126,0.05907453441348726,RB,NA,NA,NA,2.3000000000000003,FALSE,FALSE
00-0027791,2014,6,13,-0.20677930161428565,-2.6881309209857136,-0.03115452698622653,-0.21888926884945445,0.15349732037264727,-0.4025581186612864,0.33716617018447925,-0.5579050951198055,0.4925131466429982,13.748019309781752,9.860044228333988,17.63599439122952,5.451454206459841,22.044584413103664,2.4901711667323063,25.0058674528312,1,0.4731885011830933,-0.42831303859375913,-2.76328262398205,1.906656546794532,-5.570963935636637,4.7143378584491185,-7.692868999285723,6.836242922098204,3,0.302,0.1475,0.3047772241477164,0.11792920935605182,RB,NA,NA,NA,6.2,FALSE,FALSE
00-0027861,2014,6,7,-0.4614966460669946,-3.2304765224689618,7.510401508762873e-4,-0.1845812346904564,0.1878053545316453,-0.3682500845022884,0.3714742043434773,-0.5235970609608074,0.5268211808019962,14.89701765131085,11.009042569863084,18.784992732758617,6.600452547988938,23.193582754632764,3.639169508261403,26.154865794360298,1,0.4731885011830933,0.01118825838444721,-2.055131718809221,2.0775082355781156,-4.539775638871429,4.562152155640324,-6.417545203907279,6.439921720676173,-2,0.3445,0.1545,0.3673434971708254,0.1500323750560602,RB,NA,NA,NA,-0.09999999999999987,FALSE,FALSE
00-0027890,2014,6,25,-0.119138917963719,-2.978472949092975,-0.04364476504976121,-0.1902860938614943,0.1821004953606074,-0.37395494367332627,0.3657693451724394,-0.5293019201318453,0.5211163216309583,15.024939236096486,11.13696415464872,18.912914317544253,6.728374132774574,23.321504339418397,3.767091093047039,26.282787379145933,1,0.4731885011830933,-0.6557599428463698,-3.540011993045715,2.2284921073529755,-7.008177330239806,5.696657444547067,-9.629243175575224,8.317723289882485,1,0.34,0.182,0.35334922780843236,0.15768840475668672,RB,NA,NA,NA,19.8,TRUE,FALSE
00-0027994,2014,6,8,-0.7519502650854133,-6.015602120683306,-0.12946947685362453,-0.3554097803597296,0.0169768088623721,-0.5390786301715615,0.20064565867420409,-0.6944256066300806,0.35599263513272306,13.259664138671418,9.371689057223652,17.147639220119185,4.963099035349506,21.55622924199333,2.001815995621971,24.517512281720865,1,0.4731885011830933,-1.7167217792885543,-3.741039013952125,0.307595455375016,-6.1751767878195505,2.74173322924244,-8.014776334445099,4.58133277586799,1.5,0.2225,0.0785,0.22176224854338503,0.07116817623325815,RB,NA,NA,NA,1.7000000000000002,FALSE,FALSE
00-0028009,2014,6,34,-0.03557783043553979,-1.209646234808353,-0.12210132538013008,-0.3601442221697142,0.01224236705238754,-0.5438130719815462,0.19591121686421953,-0.6991600484400651,0.3512581933227385,20.3173321716512,16.429357090203432,24.205307253098965,12.020767068329286,28.613897274973112,9.059484028601752,31.57518031470065,1,0.4731885011830933,-2.480773186346968,-6.083298402852617,1.1217520301586816,-10.415150427154376,5.45360405446044,-13.688947459313866,8.727401086619928,-3,0.4635,0.2735,0.4719204943661079,0.26137833154917306,RB,NA,NA,NA,26.6,TRUE,TRUE
00-0028011,2014,6,11,-0.07647597114555538,-0.8412356826011091,-0.14342987099878807,-0.37079397446365847,0.00159261475844324,-0.5544628242754904,0.18526146457027523,-0.7098098007340095,0.3406084410287942,15.645270746445794,11.757295664998027,19.53324582789356,7.348705643123882,23.941835849767703,4.387422603396347,26.90311888949524,1,0.4731885011830933,-2.243999164903833,-4.621227618881119,0.13322928907345277,-7.479723055195601,2.9917247253879364,-9.640030891970383,5.15203256216272,1.5,0.281,0.112,0.2911551580082212,0.11102481179858617,RB,NA,NA,NA,3.9000000000000004,FALSE,FALSE
00-0028043,2014,6,5,0.272005062433891,1.360025312169455,-0.07567376206496754,-0.2893839046430847,0.08300268457901701,-0.4730527544549167,0.266671534390849,-0.6283997309134357,0.422018510849368,10.205467802598498,6.317492721150732,14.093442884046263,1.9089026992765863,18.50203290592041,-1.0523803404509486,21.463315945647945,1,0.4731885011830933,-0.7722861422555258,-2.355902091403932,0.81132980689288,-4.260119145487199,2.7155468609761484,-5.699231124675855,4.154658840164802,-2,0.1245,0.0455,0.15324603048233537,0.03932799543820296,RB,NA,NA,NA,8.600000000000001,FALSE,FALSE
00-0028121,2014,6,6,-0.6107282111091384,-3.6643692666548304,-0.13779123344872526,-0.3667508328512755,0.00563575637082616,-0.5504196826631076,0.18930460618265815,-0.7057666591216265,0.3446515826411771,11.579507930281258,7.691532848833491,15.467483011729025,3.2829428269593457,19.87607303360317,0.32165978723181077,22.837356073330703,1,0.4731885011830933,-1.5955546804427505,-3.357937268878734,0.16682790799323377,-5.477112048928083,2.286002688042582,-7.078678322806303,3.887568961920804,-3.25,0.1505,0.046,0.16728800788235051,0.045794236107237,RB,NA,NA,NA,1.1,FALSE,FALSE
00-0029004,2014,6,5,0.8072867103270255,4.0364335516351275,-0.13332656550710562,-0.3633180226089407,0.00906856661316096,-0.5469868724207727,0.19273741642499295,-0.7023338488792917,0.3480843928835119,10.51206132374891,6.624086242301143,14.400036405196676,2.2154962204269975,18.80862642707082,-0.7457868193005375,21.769909466798357,1,0.4731885011830933,-1.4015370326955203,-3.007489513017818,0.20441544762677677,-4.938565101591887,2.1354910362008463,-6.397975417383653,3.594901351992611,-3,0.109,0.0355,0.1406954810978562,0.03503609022799153,RB,NA,NA,NA,8.4,FALSE,FALSE
