position,player_id,player_name,posteam,defteam,week,report_status,pred_vol,p_start,p_boom,p_start_base,p_boom_base,pred_vol_base,n_base_weeks,opp_def_adj_now,implied_total_now,team_spread_now,opp_def_adj_base,implied_total_base,team_spread_base,pff_man_catch_pct,pff_zone_catch_pct,opp_man_rate,opp_zone_rate,delta_start_pp,delta_boom_pp,delta_vol,injury_flag
TE,00-0033110,Tyler Higbee,LA,DEN,3,NA,3.99185153173993,0.14043496328864974,0.03757468480989566,0.2061511269377992,0.06595720507839653,4.534435741920387,2,0.2352074159667829,23.5,2.5,0.3206493050694438,26.25,5,NA,NA,NA,NA,-6.571616364914945,-2.838252026850087,-0.5425842101804568,FALSE
WR,00-0039491,Jalen Coker,CAR,CLE,3,NA,7.06520008018141,0.33403367428615366,0.1778975741239892,0.2683478150450137,0.11771591034966583,6.27273362395727,2,-0.15379313795480987,22.5,2.5,-0.020237196989339068,22.625,-0.25,NA,NA,NA,NA,6.568585924113996,6.018166377432338,0.7924664562241395,FALSE
WR,00-0038976,Marvin Mims Jr.,DEN,LA,3,NA,5.350657116442395,0.1324205022711851,0.05199698568198945,0.1977732410098912,0.0716074988745257,5.9805102531803644,2,-0.07010184899736706,21,-2.5,-0.12340995084658882,20.5,-2.5,NA,NA,NA,NA,-6.535273873870609,-1.9610513192536247,-0.6298531367379692,FALSE
WR,00-0038563,Tre Tucker,LV,NO,3,NA,6.424428954173292,0.14578860167766758,0.00780254777070062,0.20956379721404603,0.08497102544721591,6.504513515374583,2,0.006591834143609615,20.25,-3,0.015960202535747925,20.125,-1.75,NA,NA,NA,NA,-6.377519553637844,-7.716847767651529,-0.08008456120129104,FALSE
RB,00-0038597,Chase Brown,CIN,PIT,3,NA,20.825428811963494,0.5973930685662954,0.34024373704172034,0.5341637896274485,0.28426452685274783,18.634909244027945,2,-0.1966697683307629,23,3.5,-0.13261358604968987,24.125,0.25,NA,NA,NA,NA,6.322927893884689,5.59792101889725,2.1905195679355494,FALSE
TE,00-0033885,David Njoku,LAC,BUF,3,NA,5.101118275764272,0.21591272059668304,0.08619441970929266,0.2781390682417456,0.12146347981658231,5.329672012266392,2,-0.015898676471840373,21.75,-7,0.437668050980914,26.5,7.5,NA,NA,NA,NA,-6.222634764506258,-3.5269060107289656,-0.22855373650211952,FALSE
WR,00-0040867,Makai Lemon,PHI,CHI,3,NA,5.514605015568727,0.17432312815828843,0.06790123456790123,0.236426785003381,0.10625896439791184,6.59127466349951,2,-0.008059166009873803,23,4.5,0.19193530354930702,24,6.5,NA,NA,NA,NA,-6.210365684509256,-3.835772983001061,-1.0766696479307827,FALSE
RB,00-0039040,De'Von Achane,MIA,KC,3,NA,24.055181617789355,0.6626558037397924,0.3947965394186693,0.6010131072907419,0.3491724943728633,20.362835721055,2,-0.09178610717214414,17.5,-10.5,-0.04448614331354436,17.375,-7.75,NA,NA,NA,NA,6.164269644905051,4.562404504580603,3.6923458967343556,FALSE
RB,00-0038611,Chris Rodriguez Jr.,JAX,NE,3,NA,10.586394354302309,0.1136787717182238,0.04561312708534188,0.17494713566874417,0.08632157314100275,11.33811027077624,2,-0.1190087982891694,24.25,3,-0.10359647235257731,23,3,NA,NA,NA,NA,-6.126836395052038,-4.070844605566086,-0.7517159164739304,FALSE
TE,00-0038129,Cade Otton,TB,MIN,3,NA,6.049191203058081,0.3008517456901493,0.14795346487784491,0.36097032675041557,0.1648292183994308,6.242858442499065,2,-0.006384830665816431,20.5,-1.5,0.27685558834145363,24.25,2.5,NA,NA,NA,NA,-6.011858106026629,-1.687575352158588,-0.19366723944098396,FALSE
