cell,bin,n,pred,emp,delta,method,threshold,position
exante_high,"[0.1,0.2)",84,0.17939977652075428,0.15476190476190477,-0.024637871758849517,platt,17+,TE
exante_high,"[0.2,0.3)",434,0.24833436952475962,0.28110599078341014,0.03277162125865052,platt,17+,TE
exante_high,"[0.3,0.4)",147,0.3369882742128175,0.3333333333333333,-0.003654940879484203,platt,17+,TE
exante_high,"[0.4,0.5)",22,0.4296959161876367,0.5454545454545454,0.11575862926690872,platt,17+,TE
exante_low,"[0,0.1)",295,0.014427891214781443,0.01694915254237288,0.0025212613275914387,iso,17+,TE
exante_mid,"[0,0.1)",2556,0.05582625006143919,0.061815336463223784,0.005989086401784596,iso,17+,TE
exante_mid,"[0.1,0.2)",1855,0.14621240001421942,0.1353099730458221,-0.010902426968397327,iso,17+,TE
exante_mid,"[0.2,0.3)",232,0.21434910902233092,0.21551724137931033,0.0011681323569794066,iso,17+,TE
exante_mid,"[0.3,0.4)",7,0.3424878956607032,0.42857142857142855,0.08608353291072535,iso,17+,TE
exante_high,"[0.1,0.2)",69,0.15780822328101274,0.13043478260869565,-0.02737344067231709,iso,17+,TE
exante_high,"[0.2,0.3)",382,0.2246408553264014,0.2696335078534031,0.044992652527001714,iso,17+,TE
exante_high,"[0.3,0.4)",218,0.34818232375307545,0.3532110091743119,0.005028685421236467,iso,17+,TE
exante_high,"[0.4,0.5)",12,0.4150772537170202,0.4166666666666667,0.0015894129496464848,iso,17+,TE
exante_high,"[0.5,0.6)",2,0.5,0.5,0,iso,17+,TE
exante_high,"[0.6,0.7)",2,0.6666666666666666,0,-0.6666666666666666,iso,17+,TE
exante_high,"[0.9,1]",2,1,0.5,-0.5,iso,17+,TE
exante_low,"[0,0.1)",295,0.032014960860894434,0.01694915254237288,-0.015065808318521553,strat_platt,17+,TE
exante_mid,"[0,0.1)",2613,0.06432893892866062,0.060849598163030996,-0.0034793407656296266,strat_platt,17+,TE
exante_mid,"[0.1,0.2)",1837,0.1387590377134286,0.14153511159499182,0.002776073881563229,strat_platt,17+,TE
exante_mid,"[0.2,0.3)",197,0.22176022814051816,0.20812182741116753,-0.01363840072935063,strat_platt,17+,TE
