position,rank,player_id,player_name,player_disp,posteam,defteam,start_pct,boom_pct,disp_vol,p_start_recal,pred_vol
RB,33,00-0040886,Nicholas Singleton,Nicholas Singleton,TEN,PHI,8,3,9,0.07665059204464425,9.217103170839492
RB,34,00-0032104,Ameer Abdullah,Ameer Abdullah,JAX,DEN,8,3,8,0.0751466304784396,8.28481740277391
RB,35,00-0040198,Ollie Gordon II,Ollie Gordon II,MIA,SF,7,2,10,0.07476961367365484,9.760023066291255
RB,36,00-0031595,Michael Burton,Michael Burton,CLE,TB,7,2,9,0.07439217864743863,9.175488389694468
RB,37,00-0037304,Connor Heyward,Connor Heyward,LV,LAC,7,2,8,0.07401432148099468,7.895598042174059
RB,38,00-0038794,Jaleel McLaughlin,Jaleel McLaughlin,CLE,TB,7,3,10,0.07401432148099468,9.66135028419786
RB,39,00-0040238,LeQuint Allen Jr.,LeQuint Allen Jr.,JAX,DEN,7,2,8,0.07401432148099468,8.490874003452307
RB,40,00-0040466,Raheim Sanders,Raheim Sanders,CLE,TB,7,2,9,0.07211856257834542,8.67168634890596
RB,41,00-0039798,Isaiah Davis,Isaiah Davis,NYJ,GB,7,2,9,0.07211856257834542,8.845693868285206
RB,42,00-0039407,Dylan Laube,Dylan Laube,LV,LAC,7,3,9,0.07173808719988922,9.47432807598735
RB,43,00-0039796,Rasheen Ali,Rasheen Ali,BAL,NO,7,2,8,0.07021163023428954,8.440311122258521
RB,44,00-0038488,Brady Russell,Brady Russell,SEA,ARI,7,2,7,0.06906187805088458,7.421139100723129
RB,45,00-0039874,Jaylen Wright,Jaylen Wright,MIA,SF,7,2,9,0.0679077769449322,8.71221207494494
RB,46,00-0039384,Tyrone Tracy Jr.,Tyrone Tracy Jr.,NYG,LA,7,2,9,0.06752208733258755,8.670478778744947
RB,47,00-0036425,DeeJay Dallas,DeeJay Dallas,MIN,CHI,7,2,8,0.06597424671412665,7.976206819858915
RB,48,00-0041125,Seth McGowan,Seth McGowan,IND,KC,6,2,7,0.06363664686121409,7.4792476603287135
RB,49,00-0039746,Will Shipley,Will Shipley,PHI,TEN,6,2,8,0.0592978241457535,7.840184655249786
RB,50,00-0037594,Julius Chestnut,Julius Chestnut,TEN,PHI,6,2,8,0.05528730227909216,7.890030716090234
RB,51,00-0040568,Lan Larison,Lan Larison,NE,PIT,5,2,7,0.04996569967103408,7.08417157123593
RB,52,00-0037120,Tyler Goodson,Tyler Goodson,DAL,WAS,3,2,10,0.02619628428531587,9.662582250033491
TE,1,00-0041395,Eli Raridon,Eli Raridon,NE,PIT,20,11,4,0.20100210244768835,3.914735953806867
TE,2,00-0038547,Luke Schoonmaker,Luke Schoonmaker,DAL,WAS,16,5,4,0.15656991743415247,3.800738293260181
TE,3,00-0034798,Durham Smythe,Durham Smythe,BAL,NO,15,5,4,0.15342208277574815,3.9423898905193577
TE,4,00-0039074,Davis Allen,Davis Allen,LA,NYG,15,4,4,0.15003192471400334,3.821223213813544
TE,5,00-0036637,Noah Gray,Noah Gray,KC,IND,15,4,4,0.14741013643309972,3.8964013729156504
TE,6,00-0040081,Jake Briningstool,Jake Briningstool,KC,IND,15,5,4,0.14546198323137977,3.8465135061112
TE,7,00-0041472,Marlin Klein,Marlin Klein,HOU,CIN,15,5,4,0.1454609444541489,3.998386815335968
TE,8,00-0040879,Matthew Hibner,Matthew Hibner,BAL,NO,14,4,4,0.14315340949933875,3.796502423976625
TE,9,00-0039359,Cade Stover,Cade Stover,HOU,CIN,13,4,4,0.13422101641323428,3.83222799719361
TE,10,00-0034981,Foster Moreau,Foster Moreau,HOU,CIN,13,4,4,0.13365282844419513,3.827604143068133
TE,11,00-0040187,Mitchell Evans,Mitchell Evans,CAR,ATL,13,3,4,0.12617473177824096,3.8403263199044
TE,12,00-0037292,Andrew Ogletree,Andrew Ogletree,IND,KC,12,6,4,0.12230212199554902,3.97108970238504
TE,13,00-0036590,Quintin Morris,Quintin Morris,JAX,DEN,11,3,4,0.11390085045348526,3.770864473237584
TE,14,00-0037805,Jeremy Ruckert,Jeremy Ruckert,NYJ,GB,11,3,4,0.11156866464910307,3.81919909211503
TE,15,00-0038115,Daniel Bellinger,Daniel Bellinger,TEN,PHI,9,4,4,0.09001855752728424,3.89930873576311
TE,16,00-0038710,Blake Whiteheart,Blake Whiteheart,CLE,TB,9,3,4,0.08938470402443816,3.8146656949655062
TE,17,00-0041524,Will Kacmarek,Will Kacmarek,MIA,SF,8,3,4,0.08291934518096664,3.8617516367240254
WR,1,00-0032398,Chris Moore,Chris Moore,BAL,NO,20,13,5,0.201192747916955,4.821875478830326
WR,2,00-0035589,Gary Jennings,Gary Jennings,LAC,LV,19,11,5,0.19055717346503043,4.9763862929878115
WR,3,00-0040172,Jordan Watkins,Jordan Watkins,SF,MIA,13,5,5,0.12807230960425725,4.948324092705745
WR,4,00-0039751,Jordan Whittington,Jordan Whittington (D),LA,NYG,13,5,5,0.126295386581026,4.8673502943645355
WR,5,00-0039868,Troy Franklin,Troy Franklin,DEN,JAX,13,5,5,0.126295386581026,4.818179335480406
WR,6,00-0041399,CJ Daniels,CJ Daniels,LA,NYG,13,4,5,0.12501987531371425,4.948324092705745
WR,7,00-0038359,Xavier Smith,Xavier Smith,LA,NYG,12,4,5,0.1224523839891184,4.642987120503389
WR,8,00-0041550,Brenen Thompson,Brenen Thompson,LAC,LV,12,5,5,0.12219438447060198,4.658078442661695
WR,9,00-0036849,Tutu Atwell,Tutu Atwell,LA,NYG,12,5,5,0.12193615160446486,4.979034179171253
WR,10,00-0035662,Marquise Brown,Marquise Brown,PHI,TEN,12,5,5,0.11960129745061006,4.980895623461515
WR,11,00-0038840,Brycen Tremayne,Brycen Tremayne,CAR,ATL,12,5,5,0.11960129745061006,4.692711595195918
WR,12,00-0040648,Tory Horton,Tory Horton,SEA,ARI,12,3,5,0.11881858422252715,4.964800469493867
WR,13,00-0040930,Camden Brown,Camden Brown,DAL,WAS,12,5,5,0.11672003315977096,4.991024446843091
WR,14,00-0038573,Derius Davis,Derius Davis,LAC,LV,11,3,5,0.11433858514497558,4.530634761610039
WR,15,00-0035406,Lil'Jordan Humphrey,Lil'Jordan Humphrey,DEN,JAX,11,4,5,0.11433858514497558,4.984971952204961
WR,16,00-0041051,Zavion Thomas,Zavion Thomas,CHI,MIN,11,4,5,0.11433858514497558,4.709915617937809
WR,17,00-0031610,Darren Waller,Darren Waller,CAR,ATL,11,3,5,0.11300566459478212,4.64705038570023
WR,18,00-0040075,LaJohntay Wester,LaJohntay Wester,BAL,NO,11,5,5,0.11139639579570929,4.648651072387786
WR,19,00-0036626,Dyami Brown,Dyami Brown,WAS,DAL,11,4,5,0.11112711973386316,4.958180878068755
WR,20,00-0040277,Jahdae Walker,Jahdae Walker,CHI,MIN,11,3,5,0.1108575338171534,4.665174788389075
WR,21,00-0039365,Jacob Cowing,Jacob Cowing,SF,MIA,11,3,5,0.11004689509055718,4.630016242379628
WR,22,00-0040131,Kyle Williams,Kyle Williams,NE,PIT,11,3,5,0.10977604780776398,4.666605003706522
WR,23,00-0036980,Elijah Moore,Elijah Moore,PHI,TEN,11,3,5,0.10868942652833648,4.974177948863949
WR,24,00-0040138,Jaylin Noel,Jaylin Noel,HOU,CIN,11,3,5,0.10787100189753016,4.541906154940988
WR,25,00-0034854,KhaDarel Hodge,KhaDarel Hodge,SF,MIA,11,3,5,0.10787100189753016,4.632378500152996
WR,26,00-0041067,Bryce Lance,Bryce Lance,NO,BAL,11,3,5,0.10650018170324972,4.981879306328761
WR,27,00-0040024,Darius Cooper,Darius Cooper,PHI,TEN,11,3,5,0.10650018170324972,4.608404139875212
WR,28,00-0040646,Jalen Royals,Jalen Royals,KC,IND,11,3,5,0.10622497861390544,4.709467467393028
WR,29,00-0039816,Anthony Gould,Anthony Gould,IND,KC,11,3,5,0.1056735131452562,4.943467862398439
WR,30,00-0038519,Nikko Remigio,Nikko Remigio,KC,IND,10,3,5,0.1042885484342078,4.692711595195918
WR,31,00-0041106,C.J. Williams,C.J. Williams,JAX,DEN,10,3,5,0.1042885484342078,4.658078442661695
WR,32,00-0037132,Britain Covey,Britain Covey,PHI,TEN,10,3,5,0.1031739180821412,4.608404139875212
WR,33,00-0041069,Colbie Young,Colbie Young,CIN,HOU,10,3,5,0.10289431259760257,4.630016242379628
WR,34,00-0038728,Jared Wayne,Jared Wayne,HOU,CIN,10,3,5,0.10149045387664282,4.541906154940988
WR,35,00-0039342,Xavier Legette,Xavier Legette,CAR,ATL,10,3,5,0.10149045387664282,4.9487255484816695
WR,36,00-0040534,Ke'Shawn Williams,Ke'Shawn Williams,CIN,HOU,10,3,5,0.10149045387664282,4.931568220508635
WR,37,00-0037801,KaVontae Turpin,KaVontae Turpin,DAL,WAS,10,3,4,0.10120849514729342,4.4754795404459715
WR,38,00-0040590,Konata Mumpfield,Konata Mumpfield,LA,NYG,10,3,5,0.10092613370278342,4.509654071623872
WR,39,00-0041100,Josh Cameron,Josh Cameron,JAX,DEN,10,3,5,0.10064336645638187,4.625886222189449
WR,40,00-0039589,Kameron Johnson,Kameron Johnson,TB,CLE,10,3,5,0.1000766020464875,4.649833251629236
WR,41,00-0041044,Zachariah Branch,Zachariah Branch,ATL,CAR,10,3,5,0.1000766020464875,4.730309262522169
WR,42,00-0040237,Tez Johnson,Tez Johnson,TB,CLE,10,3,4,0.0997925985435093,4.479927321303
WR,43,00-0040154,Tai Felton,Tai Felton,MIN,CHI,10,3,5,0.0977926716872774,4.702471275244624
WR,44,00-0037091,Bo Melton,Bo Melton,GB,NYJ,10,3,4,0.09721733703907268,4.479927321303
WR,45,00-0040621,Montorie Foster Jr,Montorie Foster Jr,SEA,ARI,10,2,5,0.09635095765701096,4.608404139875212
WR,46,00-0039062,Jonathan Mingo,Jonathan Mingo,DAL,WAS,10,3,4,0.09577107736065602,4.466128821153686
WR,47,00-0040890,Cyrus Allen,Cyrus Allen,KC,IND,10,3,4,0.0954804378368587,4.49668319350011
WR,48,00-0041489,Germie Bernard,Germie Bernard,PIT,NE,9,2,5,0.0946056759381337,4.702471275244624
WR,49,00-0040218,Jimmy Horn Jr.,Jimmy Horn Jr.,CAR,ATL,9,3,4,0.0940200928113162,4.479927321303
WR,50,00-0038090,Skyy Moore,Skyy Moore,GB,NYJ,9,3,4,0.09343254551039404,4.470576602010715
WR,51,00-0036862,Ben Skowronek,Ben Skowronek,PIT,NE,9,3,5,0.09313802504947916,4.72857786673402
WR,52,00-0040506,Myles Price,Myles Price,MIN,CHI,9,3,5,0.09254746958146216,4.71182199453691
WR,53,00-0036463,Chris Blair,Chris Blair,ATL,CAR,9,3,5,0.09225142605093756,4.613260370182518
WR,54,00-0037231,Kevin Austin Jr.,Kevin Austin Jr.,NO,BAL,9,2,5,0.09106204470886084,4.769957779849329
WR,55,00-0038640,Jalen Brooks,Jalen Brooks,ARI,SEA,9,3,5,0.0907633751841332,4.709467467393028
WR,56,00-0035021,Ashton Dulin,Ashton Dulin (O),IND,KC,9,2,4,0.09016441497703048,4.479927321303
WR,57,00-0035208,Olamide Zaccheaus,Olamide Zaccheaus,ATL,CAR,9,3,5,0.09016441497703048,4.628022537324264
WR,58,00-0036630,Tylan Wallace,Tylan Wallace,CLE,TB,9,2,5,0.09016441497703048,4.709357878247216
WR,59,00-0041132,Deion Burks,Deion Burks,IND,KC,9,3,5,0.0898641148805534,4.625160012072322
WR,60,00-0040785,Dohnte Meyers,Dohnte Meyers,CIN,HOU,9,3,4,0.08835422066779511,4.479927321303
WR,61,00-0041397,Kaden Wetjen,Kaden Wetjen,PIT,NE,9,3,5,0.08835422066779511,4.72857786673402
WR,62,00-0036646,Simi Fehoko,Simi Fehoko,ARI,SEA,9,2,5,0.0871359305344633,4.709467467393028
WR,63,00-0040782,Isaiah Bond,Isaiah Bond,CLE,TB,9,3,5,0.0871359305344633,4.700558465814814
WR,64,00-0040164,Jaylin Lane,Jaylin Lane,WAS,DAL,9,2,5,0.08590805249015962,4.509654071623872
WR,65,00-0040894,Malik Benson,Malik Benson,LV,LAC,9,2,5,0.0855995433872816,4.554719632896535
WR,66,00-0037093,Dareke Young,Dareke Young,LV,LAC,9,3,5,0.08529040700271326,4.72857786673402
WR,67,00-0036331,Devin Duvernay,Devin Duvernay,ARI,SEA,8,2,5,0.08404747014621738,4.683360875903632
WR,68,00-0035891,Cody White,Cody White,LV,LAC,8,2,5,0.08025386260204904,4.554906077993523
WR,69,00-0040718,Travis Hunter,Travis Hunter,JAX,DEN,8,2,5,0.0799330924960435,4.654734407609302
WR,70,00-0039920,Malachi Corley,Malachi Corley,CLE,TB,8,2,4,0.07864246534404208,4.485493137862722
WR,71,00-0032951,Laquon Treadwell,Laquon Treadwell,IND,KC,8,2,5,0.07502739020213382,4.549982600263206
WR,72,00-0040582,Arian Smith,Arian Smith,NYJ,GB,7,2,4,0.073687188210607,4.479927321303
WR,73,00-0040705,Chimere Dike,Chimere Dike,TEN,PHI,7,2,5,0.0688763781160224,4.539426850540973
WR,74,00-0041529,Kevin Coleman Jr.,Kevin Coleman Jr.,MIA,SF,7,2,5,0.0688763781160224,4.569092999604198
WR,75,00-0038824,Ryan Miller,Ryan Miller,MIA,SF,7,2,5,0.0688763781160224,4.627514539216204
WR,76,00-0040870,Ja'Kobi Lane,Ja'Kobi Lane,BAL,NO,2,2,5,0.02303358223797115,4.803869340515625
WR,77,00-0041511,Omar Cooper Jr.,Omar Cooper Jr. (O),NYJ,GB,2,2,4,0.01342208159561199,4.470576602010715
WR,78,00-0031235,Odell Beckham Jr.,Odell Beckham Jr.,NYG,LA,2,2,5,0.00213593053446328,4.678913095046603
