nfl_name,dm_name,pos,school,draft_round,draft_pick,draft_team,model_verdict,pred,p_boom,p_bust,games,cum_fp_ppr,fp_pg,cum_opps,opps_pg,snap_share_avg,fp_per_opp,last_week_active,latest_fp_ppr,latest_opportunities,latest_snap_share,model_p_start_latest,model_p_boom_latest,tracker_status,gsis_id,pfr_id,gsis_provisional
Michael Trigg,Michael Trigg,TE,Baylor,NA,NA,DAL,Baseline,-0.15577340126037598,0.12175699488600182,0.1971408878304221,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0040939,TrigMi00,FALSE
Tanner Arkin,Tanner Arkin,TE,Illinois,NA,NA,NE,Baseline,-0.18127742409706116,0.1166338242155774,0.20436152111052663,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041314,ArkiTa00,FALSE
Carnell Tate,Carnell Tate,WR,Ohio State,1,4,TEN,Upside,0.34067434072494507,0.25292889608150093,0.08805573283830301,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041438,TateCa00,FALSE
Jordyn Tyson,Jordyn Tyson,WR,Arizona State,1,8,NOR,Baseline,0.07313269376754761,0.1748251623070698,0.1394355521128973,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041029,TysoJo00,FALSE
Makai Lemon,Makai Lemon,WR,USC,1,20,PHI,Baseline,-0.09018879383802414,0.13565092556451264,0.17929449213392668,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0040867,LemoMa00,FALSE
KC Concepcion,KC Concepcion,WR,Texas A&M,1,24,CLE,Baseline,-0.00332869193516671,0.15566812868458324,0.15727888881718272,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041547,ConcKC00,FALSE
Omar Cooper Jr.,Omar Cooper,WR,Indiana,1,30,NYJ,Baseline,0.09957427531480788,0.18178420878975304,0.13359864437982083,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041511,CoopOm00,FALSE
De'Zhaun Stribling,De'Zhaun-Ryan Stribling,WR,Mississippi,2,33,SFO,Baseline,-0.13649015128612518,0.12573411283795136,0.191785338255449,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041035,StriDe01,FALSE
Denzel Boston,Denzel Boston,WR,Washington,2,39,CLE,Baseline,-0.2346642017364502,0.10640894391628276,0.21997659886899537,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041037,BostDe00,FALSE
Germie Bernard,Germie Bernard,WR,Alabama,2,47,PIT,Baseline,0.1773257851600647,0.20323254739880064,0.11741745020783578,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041489,BernGe00,FALSE
Antonio Williams,Antonio Williams,WR,Clemson,3,71,WAS,Baseline,0.1017329916357994,0.1823599032990819,0.13312964360296478,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041040,WillAn04,FALSE
Malachi Fields,Malachi Fields,WR,Notre Dame,3,74,NYG,Baseline,-0.02222746983170509,0.1511550316491697,0.1619109610737164,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041042,FielMa00,FALSE
Caleb Douglas,Caleb Douglas,WR,Texas Tech,3,75,MIA,Baseline,-0.00780719937756657,0.1545906925038637,0.1583686111838568,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041523,DougCa00,FALSE
Zachariah Branch,Zachariah Branch,WR,Georgia,3,79,ATL,Baseline,-0.02290563844144344,0.1509947169436845,0.16207881493278925,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041044,BranZa00,FALSE
Ja'Kobi Lane,Ja'Kobi Lane,WR,USC,3,80,BAL,Baseline,-0.0673651471734047,0.1407314271200929,0.17332998938316377,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0040870,LaneJa01,FALSE
Chris Brazzell II,Chris Brazzell II,WR,Tennessee,3,83,CAR,Baseline,0.02989214845001697,0.16381464449601202,0.14934973979904345,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041047,BrazCh01,FALSE
Ted Hurst III,Ted Hurst,WR,Georgia State,3,84,TAM,Baseline,0.0407981239259243,0.16654830858138958,0.14680592169932122,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041048,HursTe00,FALSE
Zavion Thomas,Zavion Thomas,WR,LSU,3,89,CHI,Baseline,0.14998356997966766,0.1955234459069571,0.12294173367510482,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041051,ThomZa05,FALSE
Chris Bell,Chris Bell,WR,Louisville,3,94,MIA,Baseline,-0.044782355427742,0.14588389166272492,0.16755428757755672,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041525,BellCh00,FALSE
Brenen Thompson,Brenen Thompson,WR,Mississippi State,4,105,LAC,Baseline,-0.01742571592330932,0.15229337401779464,0.16072571752320838,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041550,ThomBr07,FALSE
Elijah Sarratt,Elijah Sarratt,WR,Indiana,4,115,BAL,Baseline,-0.0972520187497139,0.13410444289502374,0.1811661716502982,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0040876,SarrEl00,FALSE
Kaden Wetjen,Kaden Wetjen,WR,Iowa,4,121,PIT,Baseline,0.03073775209486484,0.1640255540515864,0.14915145675870706,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041397,WetjKa00,FALSE
Skyler Bell,Skyler Bell,WR,Connecticut,4,125,BUF,Baseline,-0.11509965360164642,0.13025085189382016,0.1859498889277383,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041443,BellSk00,FALSE
Bryce Lance,Bryce Lance,WR,North Dakota State,4,136,NOR,Baseline,-0.03928475081920624,0.14715716848472854,0.16616722065263717,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041067,LancBr00,FALSE
Colbie Young,Colbie Young,WR,Georgia,4,140,CIN,Baseline,-0.14766140282154083,0.12341916853740006,0.19487699820649015,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041069,YounCo01,FALSE
Reggie Virgil,Reggie Virgil,WR,Texas Tech,5,143,ARI,Baseline,0.03539076074957847,0.16518925255349057,0.14806353330227226,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041070,VirgRe00,FALSE
Kendrick Law,Kendrick Law,WR,Kentucky,5,168,DET,Baseline,-0.08609966188669205,0.13655179744310056,0.17821649377093016,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041446,LawxKe00,FALSE
Cyrus Allen,Cyrus Allen,WR,Cincinnati,5,176,KAN,Baseline,0.11821403354406355,0.18679259442458107,0.12958633804743205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0040890,AlleCy00,FALSE
Kevin Coleman Jr.,Kevin Coleman,WR,Missouri,5,177,MIA,Baseline,0.1776665300130844,0.20332975047816015,0.11734973260681424,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041529,ColeKe03,FALSE
Barion Brown,Barion Brown,WR,LSU,6,190,NOR,Baseline,0.0885259285569191,0.17885562513825226,0.1360167770792681,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041099,BrowBa02,FALSE
Josh Cameron,Josh Cameron,WR,Baylor,6,191,JAX,Baseline,-0.13113924860954285,0.12685360786215552,0.1903151659132279,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041100,CameJo01,FALSE
Malik Benson,Malik Benson,WR,Oregon,6,195,LVR,Baseline,-0.08438187837600708,0.13693145802087045,0.17776486371649064,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0040894,BensMa00,FALSE
