player_id,posteam,defteam,game_id,rolling_epa_per_opp,wt_carry_share,wt_target_share,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,baseline_carry_share,baseline_target_share,player_name,form_residual,wt_team_total_plays,baseline_team_total_plays,wt_snap_share,baseline_snap_share,games_played_so_far,def_used_fallback,def_rush_epa_adj,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status,own_q_int,own_practice_int,weeks_missed,return_from_absence,above_new_out_share,above_q_share,above_long_out_share
00-0036755,LAC,LV,2025_13_LV_LAC,-0.24308840259543685,0.2423755652618626,0,NA,-0.08752273338819262,TRUE,udfa,0.19011406844106463,0.22950819672131148,Jaret Patterson,-0.15556566920724424,66.24610494774858,63.23529411764706,0.170932944606414,0,11,FALSE,-0.10621549190576679,0.8486281631419317,0,2025,13,10.5,26,NA,NA,0,3,3,1,0,0,0.7693046206669831
00-0036875,NE,NYG,2025_13_NYG_NE,-0.48751459169299316,0.4781015759526148,0.6160072533498714,-0.12188026230289503,-0.12188026230289503,FALSE,r4_5,0.6489028213166145,0.5972222222222222,Rhamondre Stevenson,-0.3656343293900981,66.0452677116389,65.88235294117646,0.5917245749358337,0.6153333333333333,12,FALSE,0.2707030831783999,-0.09238013456185966,-0.14070270918950842,2025,13,7.5,26.5,NA,NA,0,3,0,0,0,0,0
00-0036919,PIT,BUF,2025_13_BUF_PIT,-0.012102311651144684,0.24618606750238872,0.7296844691690498,-0.0943320959041501,-0.0943320959041501,FALSE,r4_5,0.1736111111111111,0.3333333333333333,Kenneth Gainwell,0.08222978425300542,64.84623538670769,67.47058823529412,0.49797041024232325,0.26,11,FALSE,0.06927323426324682,-0.260816454370684,0.18387564574983975,2025,13,-3.5,22,NA,NA,0,3,0,0,0,0,0
00-0036924,ARI,TB,2025_13_ARI_TB,-0.027849479667998694,0.2725326055210227,0.35888233417202997,0.010419455194113691,0.010419455194113691,FALSE,r4_5,0.5932203389830508,0.5238095238095238,Michael Carter,-0.038268934862112386,78.34082318105905,65.47058823529412,0.3918922917990296,0.6166666666666667,11,FALSE,-0.04751023508565679,0.2747950943459347,0.5750334528669936,2025,13,-5.5,21.5,NA,NA,0,3,0,0,0,0.5146088644598255,0
00-0036973,JAX,TEN,2025_13_JAX_TEN,0.07544676783207463,0.6358527220661001,0.7800782417078692,-0.15596594755389,-0.15596594755389,FALSE,r1,0.5067567567567568,0.7123287671232876,Travis Etienne,0.23141271538596464,70.24036495944426,62.05882352941177,0.5684724485617166,0.5393333333333333,11,FALSE,0.048475402683027684,-0.143966554278623,0,2025,13,7.5,25,NA,NA,0,3,0,0,0,0,0
00-0036997,DAL,KC,2025_13_KC_DAL,-0.11296711294529795,0.7964174673391414,0.7137752416519347,-0.14082027208035594,-0.14082027208035594,FALSE,r2_3,0.39714285714285713,0.5982905982905983,Javonte Williams,0.027853159135057995,69.7786851955152,70.58823529411765,0.7749299185514871,0.5217647058823529,11,FALSE,-0.27174627951966224,0.09636993130090994,0.010964474125464436,2025,13,-3.5,24,NA,NA,0,3,0,0,0,0,0
00-0037085,DEN,WAS,2025_13_DEN_WAS,-0.19887895412493325,0.007199714707824278,0.18857610235325395,-0.2814782313611691,-0.2814782313611691,FALSE,r6_udfa,0.18333333333333332,0.15789473684210525,Tyler Badie,0.08259927723623586,65.73793566022505,65.52941176470588,0.19079084096052956,0.10666666666666667,11,FALSE,0.011735977621584886,0.9836265609815522,0,2025,13,6.5,25,NA,NA,0,3,8,1,0,0,0.24177704826317348
00-0037157,ARI,TB,2025_13_ARI_TB,-0.1928625438760825,0.55450914324189,0.5356499048511432,NA,-0.08752273338819262,TRUE,udfa,0.19011406844106463,0.22950819672131148,Bam Knight,-0.10533981048788989,78.34082318105905,65.47058823529412,0.4599551552880864,0.112,11,FALSE,-0.04751023508565679,0.2747950943459347,0.5750334528669936,2025,13,-5.5,21.5,Questionable,Limited Participation in Practice,1,1,0,0,0,0,0
00-0037197,KC,DAL,2025_13_KC_DAL,-0.05092653916724666,0.4872077245786127,0.262291759305693,-0.15677178591572596,-0.15677178591572596,FALSE,r6_udfa,0.5886524822695035,0.42105263157894735,Isiah Pacheco,0.10584524674847931,77.36573971866305,67.23529411764706,0.5894964112433664,0.4757142857142857,11,FALSE,-0.03723356480733025,-0.14186589967104815,0.11396303924062748,2025,13,3.5,27.5,NA,Full Participation in Practice,0,2,4,1,0,0,0
00-0037228,PIT,BUF,2025_13_BUF_PIT,-0.06896402050705877,0.6734333113902058,0.2496163510459553,-0.07511013836986594,-0.07511013836986594,FALSE,udfa,0.31088082901554404,0.47,Jaylen Warren,0.0061461178628071655,64.84623538670769,67.47058823529412,0.46861058914929865,0.44933333333333336,11,FALSE,0.06927323426324682,-0.260816454370684,0.18387564574983975,2025,13,-3.5,22,NA,NA,0,3,0,0,0,0,0
