position,rank,player_id,player_name,player_disp,posteam,defteam,start_pct,boom_pct,disp_vol,report_status,p_start_recal,p_boom_recal,pred_vol
TE,37,00-0039814,Erick All,Erick All,CIN,TB,22,7,5,NA,0.21872350393030465,0.07197041792083021,4.565062456059478
TE,38,00-0035631,Drew Sample,Drew Sample,CIN,TB,22,6,5,NA,0.21730142090524135,0.06486159423812027,4.561455082812168
TE,39,00-0037112,Jake Tonges,Jake Tonges,SF,LA,22,6,5,NA,0.21594732773323527,0.06212839979150592,5.010542430434829
TE,40,00-0036290,Cole Kmet,Cole Kmet,CHI,CAR,22,7,5,NA,0.21578030880108,0.06759537263867949,4.763564208687993
TE,41,00-0037252,Greg Dulcich,Greg Dulcich,MIA,LV,21,10,5,NA,0.21325946811296023,0.09768431652547978,5.458681340868079
TE,42,00-0041483,Eli Stowers,Eli Stowers,PHI,WAS,21,9,5,NA,0.21248692973765176,0.085647269927866,4.8219231178930775
TE,43,00-0034270,Tyler Conklin,Tyler Conklin,DET,NO,21,7,4,NA,0.20715437380746293,0.07087655549962064,4.394682421223934
TE,44,00-0041116,Jack Endries,Jack Endries,CIN,TB,21,6,4,NA,0.20708496924081624,0.06212839979150592,4.457637045120871
TE,45,00-0041503,Nate Boerkircher,Nate Boerkircher,JAX,CLE,21,9,5,NA,0.20554434800979807,0.09057164135716204,4.926816286781288
TE,46,00-0040887,Josh Cuevas,Josh Cuevas,BAL,IND,20,7,5,NA,0.20401268409042805,0.06759537263867949,4.534689625735563
TE,47,00-0041032,Kenyon Sadiq,Kenyon Sadiq,NYJ,TEN,20,9,5,NA,0.20400847442080644,0.08893018460389757,5.283948032637738
TE,48,00-0039074,Davis Allen,Davis Allen,LA,SF,20,5,5,NA,0.20393923815416648,0.05447939311473114,4.5540222315955345
TE,49,00-0035689,Dawson Knox,Dawson Knox,BUF,HOU,20,7,5,NA,0.20355598015903575,0.07087655549962064,4.843626290884969
TE,50,00-0034798,Durham Smythe,Durham Smythe,BAL,IND,20,6,5,NA,0.20338867769625665,0.06048880220568398,4.531215298948904
TE,51,00-0040879,Matthew Hibner,Matthew Hibner,BAL,IND,20,5,5,NA,0.20279752596485853,0.0517493467846333,4.534689625735563
TE,52,00-0038046,Charlie Kolar,Charlie Kolar,LAC,ARI,20,7,4,NA,0.20272761730734795,0.06978275713277497,4.453198540636076
TE,53,00-0036894,Pat Freiermuth,Pat Freiermuth,PIT,ATL,20,7,5,NA,0.20199436825373787,0.0747053227454572,4.893082858145666
TE,54,00-0038547,Luke Schoonmaker,Luke Schoonmaker,DAL,NYG,20,6,5,NA,0.2003233179982714,0.06103530631949193,4.528409014452995
TE,55,00-0041472,Marlin Klein,Marlin Klein,HOU,BUF,20,7,5,NA,0.1997172487627974,0.07197041792083021,4.926816286781288
TE,56,00-0038558,Darnell Washington,Darnell Washington,PIT,ATL,20,6,5,NA,0.1982697788791625,0.06431490573088806,4.857605452358091
TE,57,00-0041041,Oscar Delp,Oscar Delp,NO,DET,20,8,5,NA,0.19569144647916464,0.07525234172431017,4.926816286781288
TE,58,00-0039066,Michael Mayer,Michael Mayer,LV,MIA,19,6,5,NA,0.19162191389933184,0.05884947016740101,4.905668086126094
TE,59,00-0038564,Cameron Latu,Cameron Latu,NE,SEA,19,7,5,NA,0.19089672906888916,0.06759537263867949,4.95664878037601
TE,60,00-0040739,Elijah Arroyo,Elijah Arroyo,SEA,NE,19,6,5,NA,0.19004471298389009,0.06048880220568398,4.623890132776728
