position,player_id,player_name,posteam,defteam,game_id,season,week,report_status,practice_status,thresh_start,thresh_boom,pred_vol,pred_tot,lo_80_tot,hi_80_tot,lo_90_tot,hi_90_tot,p_start,p_boom,p_start_recal,p_boom_recal,recal_method_start,recal_method_boom,kickoff_et,run_ts,as_of,run_mode
QB,00-0029604,Kirk Cousins,ATL,SEA,2025_14_SEA_ATL,2025,14,NA,NA,20,25,1.0687452633516048,-2.002936800026303,-15.417365892624984,11.411492292572378,-18.566042088442806,14.560168488390199,0.133,0.046,0.1660753539747192,0.04208806317547994,platt_vol_vegas,platt,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
QB,00-0040398,Brady Cook,NYJ,MIA,2025_14_MIA_NYJ,2025,14,NA,NA,20,25,2.3840162279087576,-4.148125924031049,-17.56255501662973,9.266303168567632,-20.71123121244755,12.414979364385452,0.0945,0.0245,0.15857710846437323,0.022114241824838794,platt_vol_vegas,platt,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
QB,00-0040206,Riley Leonard,IND,JAX,2025_14_IND_JAX,2025,14,NA,NA,20,25,1.8557266003969266,-5.8461954206758415,-19.26062451327452,7.568233671922839,-22.409300709092342,10.716909867740661,0.059,0.015,0.12293949231824063,0.013404995251069817,platt_vol_vegas,platt,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0036223,Jonathan Taylor,IND,JAX,2025_14_IND_JAX,2025,14,NA,NA,15,20,25.2572448297994,-1.5745656234622945,-8.291890883294826,5.142759636370236,-10.38550642486165,7.2363751779370595,0.704,0.4315,0.7106630499428586,0.48158618235578415,platt_vegas,platt_vegas,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0037248,James Cook,BUF,CIN,2025_14_CIN_BUF,2025,14,NA,NA,15,20,19.30791483021022,0.41513657193356435,-5.375866585012387,6.206139728879515,-7.180771624097371,8.0110447679645,0.5575,0.3175,0.5862658186303956,0.38945656636038567,platt_vegas,platt_vegas,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0039139,Jahmyr Gibbs,DET,DAL,2025_14_DAL_DET,2025,14,NA,NA,15,20,19.03427439687761,-0.33575652588975335,-6.081274570406305,5.409761518626799,-7.872003083179314,7.200490031399808,0.532,0.277,0.5712763621765325,0.3534115288319555,platt_vegas,platt_vegas,2025-12-05T01:15:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0034844,Saquon Barkley,PHI,LAC,2025_14_PHI_LAC,2025,14,NA,NA,15,20,22.146112367364992,-1.542997230560499,-7.789808175612455,4.7038137144914565,-9.736776645041097,6.650782183920099,0.5665,0.302,0.5430968783325162,0.32361089248481606,platt_vegas,platt_vegas,2025-12-09T01:15:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0040122,Ashton Jeanty,LV,DEN,2025_14_DEN_LV,2025,14,NA,NA,15,20,24.33461843620792,-2.7641072394328954,-9.344747334126259,3.8165328552604687,-11.395761665394668,5.867547186528876,0.5895,0.3225,0.5118513927300747,0.2787746101969827,platt_vegas,platt_vegas,2025-12-07T21:05:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0037840,Kyren Williams,LA,ARI,2025_14_LA_ARI,2025,14,NA,Full Participation in Practice,15,20,18.168149085776548,0.08805684843575785,-5.511526576657743,5.687640273529259,-7.256771064843806,7.432884761715322,0.4925,0.269,0.502883452682761,0.32496957334465504,platt_vegas,platt_vegas,2025-12-07T21:25:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0032764,Derrick Henry,BAL,PIT,2025_14_PIT_BAL,2025,14,NA,NA,15,20,18.864824213554364,-0.5722622140913243,-6.289467063348061,5.144942635165412,-8.071371089687187,6.9268466615045385,0.4825,0.2575,0.4787178570593854,0.29941800799710444,platt_vegas,platt_vegas,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
