player_id,posteam,defteam,game_id,rolling_pass_epa_per_db,wt_dropbacks,wt_carries,wt_carry_share,wt_rush_epa_pg,wt_rush_epa_per_carry,prior_pass_epa_per_db,baseline_pass_epa_per_db,is_cold_start,draft_tier,prior_rush_epa_pg,prior_carries_pg,prior_rush_epa_per_carry,player_name,form_residual,wt_team_total_plays,wt_team_pass_rate,wt_snap_share,games_played_so_far,def_used_fallback,def_short_pass_epa_adj,def_deep_pass_epa_adj,def_rush_epa_adj,season,week,team_spread,implied_total,report_status,practice_status
00-0034796,BAL,CIN,2025_13_CIN_BAL,-0.07073703599977436,26.76372010563196,4.706429764350392,0.16984023830110795,0.8841864457548438,0.2590415368407834,0.34126769400909945,0.34126769400909945,FALSE,r1,1.0192727666693557,7.529411764705882,0.1353721643232738,Lamar Jackson,-0.41200473000887383,62.696488428176835,0.4721546202459925,0.956366129013231,11,FALSE,0.16133181450442732,0.3983980516834795,0.08088711250956404,2025,13,NA,NA,NA,Full Participation in Practice
00-0034855,TB,ARI,2025_13_ARI_TB,-0.38191835395252555,33.7467411325944,2.224540388047477,0.06734914390475367,2.4769442105370065,1.0516629792690102,0.17537646872879556,0.17537646872879556,FALSE,r1,0.7565337056428584,3.1176470588235294,0.24266175464016213,Baker Mayfield,-0.5572948226813211,68.96804919604773,0.5823259774581266,0.872690547894186,11,FALSE,-0.30387784527152234,0.20072550426148916,-0.02163288009193122,2025,13,NA,NA,Questionable,Full Participation in Practice
00-0034857,BUF,PIT,2025_13_BUF_PIT,0.13163261863954634,34.75992827542506,4.483229156309353,0.1785218476854022,2.6901027440166447,0.5753900626302574,0.2620970955981718,0.2620970955981718,FALSE,r1,3.652957609205068,5.875,0.6217800185880967,Josh Allen,-0.13046447695862545,64.44453900613601,0.5775150859068199,0.9682791157789008,11,FALSE,-0.43053341635768044,0.5586525147301844,-0.07591644086708665,2025,13,NA,NA,NA,Full Participation in Practice
00-0034869,SEA,MIN,2025_13_MIN_SEA,0.20111923773422186,28.516641078834677,0.793960372846451,0.022388931517864804,-0.47198889853400205,-1.0502210212023815,0.061280787799288826,0.061280787799288826,FALSE,r1,0.2816583770936058,2.6470588235294117,0.10640427579091774,Sam Darnold,0.13983844993493302,63.89421467825899,0.4462838059444253,0.9705828127290896,11,FALSE,-0.060979195658692066,0.5912730913452768,-0.19566735199506105,2025,13,NA,NA,NA,NA
00-0035710,IND,HOU,2025_13_HOU_IND,0.06871990371884229,36.89695996332879,3.1751977228795663,0.12312647429010364,1.7892599417689798,0.552164305582858,-0.09792195024128614,-0.09792195024128614,FALSE,r1,1.566125775007834,6,0.26102096250130563,Daniel Jones,0.16664185396012843,64.44654614825888,0.6194083806781598,0.9817847217892046,11,FALSE,-0.3322970546747849,0.08209981310846771,-0.09067066121211886,2025,13,NA,NA,NA,Full Participation in Practice
00-0036212,MIA,NO,2025_13_NO_MIA,0.03548556161891983,26.9921770329687,0.6170790773550214,0.02893457537859701,-0.7588511124992461,-1.3083459113602582,0.2033800771908375,0.2033800771908375,FALSE,r1,0.2585074071698314,1,NA,Tua Tagovailoa,-0.16789451557191767,60.57538579765782,0.47297869884059385,0.9538822274390315,11,FALSE,-0.1658902955167549,0.43767482536554825,-0.12706024401773267,2025,13,NA,NA,NA,NA
00-0036264,GB,DET,2025_13_GB_DET,0.22280243100644623,31.164594080363205,2.137345145867495,0.07611280840459864,0.2560864618249165,-0.016385993738800654,0.12028905453734351,0.12028905453734351,FALSE,r1,0.6809704726056948,1.2,NA,Jordan Love,0.10251337646910272,64.03582689705266,0.5154127186107692,0.9459369275389673,11,FALSE,-0.18466893204296686,0.07936757882063693,-0.06825639819148059,2025,13,NA,NA,NA,Full Participation in Practice
00-0036355,LAC,LV,2025_13_LV_LAC,-0.13670117676628787,33.555570535625506,5.287911139723045,0.21459935093849564,3.091465680990024,0.5412308753215415,0.12019053901631933,0.12019053901631933,FALSE,r1,0.8852153151687624,2.8823529411764706,0.3071155175075298,Justin Herbert,-0.2568917157826072,66.24610494774858,0.6029338250020029,0.9271968600275371,11,FALSE,-0.07915050215943424,0.36312677418085737,-0.15229668247178754,2025,13,NA,NA,NA,NA
00-0036389,PHI,CHI,2025_13_CHI_PHI,0.18469623875834323,30.131375962492896,6.008960516093369,0.22767395351873115,-0.1012894038109603,0.07002785529224514,0.10010141245011396,0.10010141245011396,FALSE,r2_3,3.454851463066281,8.733333333333333,0.39559367897705505,Jalen Hurts,0.08459482630822927,66.15643406175796,0.49212868560706,0.988408459320403,11,FALSE,-0.14948159088416776,0.2738058594739786,-0.008516829786658553,2025,13,NA,NA,NA,NA
00-0036442,CIN,BAL,2025_13_CIN_BAL,0.0010982294730717721,20.054054054054056,0.918918918918919,0.03995299647473561,-0.7556663268753895,-0.8223427674820414,0.14340122437991612,0.14340122437991612,FALSE,r1,1.163696680103278,1.8235294117647058,0.6381562439276041,Joe Burrow,-0.14230299490684434,67.35044600349522,0.628863849124667,0.6216216216216217,11,FALSE,-0.15112859823664895,0.3194457373917313,-0.21594435811047036,2025,13,NA,NA,NA,Full Participation in Practice
