fold,pe_leaves,pe_lr,pe_min_node,pe_rounds,pe_inner_rmse
79,7,0.05,100,57,0.3146
80,7,0.05,50,60,0.316
81,7,0.05,10,55,0.3184
82,7,0.02,10,179,0.3217
83,7,0.05,100,51,0.3265
84,7,0.02,20,180,0.3234
85,7,0.02,10,146,0.3256
86,7,0.02,10,181,0.3274
87,7,0.02,20,150,0.3306
88,15,0.02,10,123,0.3363
89,7,0.02,10,145,0.3311
90,15,0.05,10,55,0.3283
91,15,0.05,10,55,0.3321
92,7,0.05,10,52,0.3326
93,7,0.02,20,152,0.3301
94,7,0.02,50,126,0.3269
95,7,0.05,10,41,0.3301
96,7,0.05,10,39,0.3273
97,7,0.05,10,64,0.3283
98,7,0.05,20,91,0.3215
99,7,0.02,10,135,0.3201
100,7,0.02,20,190,0.321
101,7,0.02,20,194,0.32
102,7,0.02,50,138,0.3162
103,7,0.02,10,204,0.3116
104,15,0.05,20,43,0.3113
105,7,0.05,10,49,0.3135
106,7,0.05,20,57,0.3148
107,7,0.05,10,58,0.3113
108,7,0.05,10,62,0.3075
109,7,0.05,100,59,0.3048
110,7,0.05,100,80,0.3019
111,7,0.05,100,86,0.3007
112,7,0.05,20,63,0.3038
113,7,0.02,10,142,0.3066
114,7,0.05,10,84,0.3015
115,7,0.05,20,104,0.3059
116,7,0.05,10,90,0.3077
117,7,0.05,10,74,0.3055
118,15,0.05,10,59,0.3033
119,7,0.05,50,92,0.3032
120,15,0.02,10,173,0.3043
121,15,0.02,10,173,0.3029
122,15,0.05,20,99,0.3031
123,31,0.02,10,190,0.3022
124,31,0.02,10,120,0.3077
125,15,0.05,10,40,0.3114
126,15,0.05,10,40,0.312
127,7,0.02,10,165,0.3106
128,15,0.05,10,78,0.3121
129,15,0.02,100,109,0.311
130,7,0.02,100,175,0.3088
131,7,0.02,100,180,0.3105
132,7,0.05,10,84,0.3183
133,7,0.05,20,82,0.3164
134,7,0.05,100,60,0.3156
135,7,0.05,10,97,0.3167
136,7,0.05,10,97,0.3151
137,7,0.02,10,153,0.3159
138,7,0.05,20,56,0.3122
139,7,0.02,10,149,0.3113
140,7,0.05,20,60,0.3094
141,7,0.05,20,60,0.308
142,7,0.05,20,59,0.3083
143,7,0.05,10,70,0.307
144,7,0.02,20,120,0.3049
145,7,0.05,10,99,0.3003
146,7,0.05,100,78,0.2992
147,7,0.05,100,52,0.2984
148,7,0.02,10,174,0.2984
149,7,0.02,50,143,0.2967
150,7,0.05,100,58,0.2968
151,7,0.05,20,51,0.2965
152,7,0.02,20,220,0.2984
153,7,0.05,100,51,0.2968
154,7,0.05,20,127,0.299
155,7,0.05,100,93,0.3013
156,7,0.05,100,93,0.3015
157,7,0.02,100,122,0.3006
158,7,0.05,100,74,0.2987
159,7,0.05,10,78,0.2999
160,7,0.05,50,45,0.3
161,7,0.05,50,45,0.2994
162,7,0.05,100,44,0.2996
163,7,0.05,10,99,0.2987
164,7,0.02,20,158,0.298
165,15,0.05,10,41,0.2923
166,15,0.05,10,41,0.2925
167,7,0.02,10,122,0.2945
168,15,0.05,20,48,0.296
169,7,0.02,20,115,0.2974
170,7,0.05,20,70,0.298
171,7,0.05,20,70,0.2997
172,31,0.05,50,42,0.3021
173,31,0.05,100,38,0.3037
174,15,0.02,20,147,0.3036
175,15,0.05,100,50,0.3036
176,15,0.05,100,50,0.3065
177,7,0.05,20,65,0.30620000000000003
178,7,0.05,20,50,0.3058
179,7,0.02,10,162,0.3064
180,7,0.05,20,69,0.307
181,7,0.05,20,69,0.3054
182,15,0.02,20,106,0.3065
183,7,0.02,20,135,0.3076
184,15,0.05,50,43,0.3103
185,7,0.02,20,135,0.3094
186,7,0.02,20,135,0.3133
187,15,0.02,10,106,0.3148
188,7,0.02,10,132,0.314
189,7,0.05,10,45,0.3143
190,15,0.05,10,62,0.315
