fold,pt_num_leaves,pt_lr,pt_min_node,pt_rounds,pt_inner_rmse,vl_num_leaves,vl_lr,vl_min_node,vl_rounds,vl_inner_rmse
96,7,0.05,50,133,6.0485,7,0.05,10,97,4.3285
97,7,0.05,10,125,6.1348,7,0.05,10,93,4.3603
98,15,0.02,10,167,6.1228,7,0.05,20,67,4.3793
99,15,0.02,10,189,6.1182,7,0.02,50,218,4.4139
100,31,0.02,50,178,6.1641,7,0.05,10,89,4.4328
101,31,0.02,50,178,6.1808,7,0.05,10,90,4.4199
102,7,0.05,100,250,6.2172,7,0.05,50,100,4.3771
103,7,0.05,50,116,6.1276,7,0.05,20,90,4.3623
104,7,0.02,20,266,6.1467,7,0.02,50,213,4.3535
105,7,0.02,20,319,6.1241,15,0.05,10,81,4.3689
106,7,0.02,20,319,6.1529,15,0.05,10,80,4.401
107,15,0.02,100,266,6.1242,15,0.02,10,185,4.4365
108,15,0.02,50,230,6.0939,15,0.05,50,77,4.4698
109,7,0.02,50,290,6.0554,15,0.02,20,180,4.4836
110,31,0.02,100,178,6.0927,15,0.05,50,70,4.5079
111,31,0.02,100,178,6.058,15,0.05,50,70,4.5218
112,7,0.05,50,90,6.0629,15,0.02,50,181,4.5224
113,7,0.02,50,238,6.0282,15,0.02,50,172,4.5368
114,15,0.02,50,235,6.1015,15,0.02,50,169,4.4982
115,7,0.02,50,376,6.1605,15,0.05,50,61,4.5758
116,7,0.02,50,376,6.1167,15,0.02,50,164,4.5963
