position,rank,player_id,player_name,player_disp,posteam,defteam,boom_pct,start_pct,disp_vol,boom_bar,p_boom_recal,board
RB,1,00-0036223,Jonathan Taylor,Jonathan Taylor,IND,HOU,49,74,26,20,0.4926300045635692,flex
RB,2,00-0032764,Derrick Henry,Derrick Henry,BAL,DAL,46,70,20,20,0.4630996630860508,flex
RB,3,00-0039139,Jahmyr Gibbs,Jahmyr Gibbs,DET,NYJ,45,70,21,20,0.4453855926968735,flex
WR,4,00-0038543,Jaxon Smith-Njigba,Jaxon Smith-Njigba,SEA,WAS,42,61,9,20,0.41524691358024696,flex
WR,5,00-0039075,Puka Nacua,Puka Nacua,LA,DEN,42,61,9,20,0.41524691358024696,flex
RB,6,00-0037248,James Cook,James Cook,BUF,LAC,40,66,21,20,0.40261806080308904,flex
RB,7,00-0039040,De'Von Achane,De'Von Achane,MIA,KC,39,66,24,20,0.3947965394186693,flex
TE,8,00-0033288,George Kittle,George Kittle,SF,ARI,39,56,7,17,0.39265772470844007,flex
WR,9,00-0036963,Amon-Ra St. Brown,Amon-Ra St. Brown,DET,NYJ,38,58,10,20,0.37662337662337664,flex
TE,10,00-0037744,Trey McBride,Trey McBride,ARI,SF,35,59,8,17,0.3511389818860888,flex
RB,11,00-0040122,Ashton Jeanty,Ashton Jeanty,LV,NO,35,59,22,20,0.34536383195351783,flex
RB,12,00-0038597,Chase Brown,Chase Brown,CIN,PIT,34,60,21,20,0.34024373704172034,flex
RB,13,00-0037840,Kyren Williams,Kyren Williams,LA,DEN,34,58,17,20,0.33625208665069944,flex
TE,14,00-0038933,Dalton Kincaid,Dalton Kincaid,BUF,LAC,34,54,7,17,0.3358040950075521,flex
TE,15,00-0039065,Sam LaPorta,Sam LaPorta,DET,NYJ,32,47,7,17,0.3177655694353598,flex
WR,16,00-0040667,Matthew Golden,Matthew Golden,GB,ATL,31,48,8,20,0.30948979591836734,flex
TE,17,00-0034753,Mark Andrews,Mark Andrews,BAL,DAL,30,54,6,17,0.30194281143574714,flex
WR,18,00-0037239,Chris Olave,Chris Olave,NO,LV,29,54,10,20,0.2916666666666667,flex
WR,19,00-0036322,Justin Jefferson,Justin Jefferson,MIN,TB,29,48,9,20,0.2916666666666667,flex
WR,20,00-0036912,DeVonta Smith,DeVonta Smith,PHI,CHI,29,49,9,20,0.2911392405063291,flex
WR,21,00-0036900,Ja'Marr Chase,Ja'Marr Chase,CIN,PIT,29,46,9,20,0.2911392405063291,flex
TE,22,00-0030506,Travis Kelce,Travis Kelce,KC,MIA,29,49,7,17,0.2868498537949796,flex
TE,23,00-0040128,Tyler Warren,Tyler Warren,IND,HOU,29,47,7,17,0.28624320738997955,flex
WR,24,00-0037740,Garrett Wilson,Garrett Wilson,NYJ,DET,28,43,10,20,0.27710843373493976,flex
RB,25,00-0033280,Christian McCaffrey,Christian McCaffrey,SF,ARI,27,51,16,20,0.2698338139798299,flex
WR,26,00-0036358,CeeDee Lamb,CeeDee Lamb,DAL,BAL,26,46,8,20,0.2624254473161034,flex
WR,27,00-0037247,George Pickens,George Pickens,DAL,BAL,26,46,8,20,0.2624254473161034,flex
RB,28,00-0036275,D'Andre Swift,D'Andre Swift,CHI,PHI,26,50,18,20,0.25555624866847293,flex
RB,29,00-0038542,Bijan Robinson,Bijan Robinson,ATL,GB,25,49,18,20,0.2496288899873179,flex
RB,30,00-0040715,Cam Skattebo,Cam Skattebo,NYG,TEN,25,49,18,20,0.24908669911432577,flex
WR,31,00-0035659,Terry McLaurin,Terry McLaurin,WAS,SEA,25,37,8,20,0.2463119266055046,flex
WR,32,00-0035676,A.J. Brown,A.J. Brown,NE,JAX,24,39,7,20,0.2363914081145585,flex
TE,33,00-0039338,Brock Bowers,Brock Bowers,LV,NO,23,42,6,17,0.23077171364173055,flex
WR,34,00-0038997,Josh Downs,Josh Downs,IND,HOU,23,37,7,20,0.2293914081145585,flex
WR,35,00-0041037,Denzel Boston,Denzel Boston,CLE,CAR,23,36,7,20,0.2293914081145585,flex
WR,36,00-0038124,Christian Watson,Christian Watson,GB,ATL,22,44,8,20,0.22448979591836735,flex
WR,37,00-0040124,Tetairoa McMillan,Tetairoa McMillan,CAR,CLE,22,43,8,20,0.22448979591836735,flex
WR,38,00-0037238,Drake London,Drake London,ATL,GB,22,41,9,20,0.22448979591836735,flex
WR,39,00-0031381,Davante Adams,Davante Adams,LA,DEN,22,41,8,20,0.22448979591836735,flex
WR,40,00-0039067,Rashee Rice,Rashee Rice,KC,MIA,22,40,8,20,0.22264875239923224,flex
WR,41,00-0035640,DK Metcalf,DK Metcalf,PIT,CIN,22,39,9,20,0.22264875239923224,flex
WR,42,00-0038393,Dontayvion Wicks,Dontayvion Wicks,PHI,CHI,22,35,7,20,0.2223914081145585,flex
TE,43,00-0040737,Terrance Ferguson,Terrance Ferguson,LA,DEN,22,37,6,17,0.2199534648778449,flex
RB,44,00-0037228,Jaylen Warren,Jaylen Warren,PIT,CIN,22,40,17,20,0.21770966095315863,flex
WR,45,00-0036550,Rashod Bateman,Rashod Bateman,BAL,DAL,22,39,7,20,0.21639140811455848,flex
RB,46,00-0036555,Chuba Hubbard,Chuba Hubbard,CAR,CLE,21,37,18,20,0.20903066605044357,flex
WR,47,00-0036554,Nico Collins,Nico Collins,HOU,IND,21,37,9,20,0.2061392405063291,flex
WR,48,00-0038618,Xavier Hutchinson,Xavier Hutchinson,HOU,IND,20,34,7,20,0.19836717428087983,flex
TE,49,00-0040663,Harold Fannin Jr.,Harold Fannin Jr.,CLE,CAR,19,38,7,17,0.1947367414234626,flex
TE,50,00-0034829,Mike Gesicki,Mike Gesicki,CIN,PIT,19,43,7,17,0.19365177606879028,flex
RB,51,00-0040719,Bhayshul Tuten,Bhayshul Tuten,JAX,NE,19,32,16,20,0.18922145938290796,flex
TE,52,00-0033090,Hunter Henry,Hunter Henry,NE,JAX,19,35,6,17,0.1855096134964065,flex
WR,53,00-0040129,Emeka Egbuka,Emeka Egbuka,TB,MIN,18,38,8,20,0.1782477341389728,flex
WR,54,00-0038606,Parker Washington,Parker Washington,JAX,NE,18,36,7,20,0.1782477341389728,flex
WR,55,00-0037240,Jameson Williams,Jameson Williams,DET,NYJ,18,37,7,20,0.1778975741239892,flex
WR,56,00-0036613,Jaylen Waddle,Jaylen Waddle,DEN,LA,18,35,8,20,0.1778975741239892,flex
WR,57,00-0039337,Malik Nabers,Malik Nabers,NYG,TEN,18,35,8,20,0.1778975741239892,flex
WR,58,00-0039424,Devaughn Vele,Devaughn Vele,NO,LV,18,35,7,20,0.1778975741239892,flex
WR,59,00-0036410,Tee Higgins,Tee Higgins,CIN,PIT,18,34,7,20,0.1778975741239892,flex
WR,60,00-0039491,Jalen Coker,Jalen Coker,CAR,CLE,18,33,7,20,0.1778975741239892,flex
WR,61,00-0035719,Deebo Samuel Sr.,Deebo Samuel Sr.,SF,ARI,18,32,7,20,0.1778975741239892,flex
WR,62,00-0039894,Xavier Worthy,Xavier Worthy,KC,MIA,18,31,6,20,0.1778975741239892,flex
WR,63,00-0039064,Zay Flowers,Zay Flowers,BAL,DAL,18,39,8,20,0.17742544731610338,flex
RB,64,00-0040666,Omarion Hampton,Omarion Hampton,LAC,BUF,18,38,19,20,0.17597199896114574,flex
RB,65,00-0033293,Aaron Jones,Aaron Jones,MIN,TB,18,33,19,20,0.1754330550883002,flex
RB,66,00-0033906,Alvin Kamara,Alvin Kamara,NO,LV,17,29,15,20,0.17498957986922917,flex
RB,67,00-0038134,Kenneth Walker III,Kenneth Walker III,KC,MIA,17,43,20,20,0.17197076268070677,flex
WR,68,00-0039901,Keon Coleman,Keon Coleman,BUF,LAC,17,30,6,20,0.17068075117370893,flex
RB,69,00-0036997,Javonte Williams,Javonte Williams,DAL,BAL,17,39,19,20,0.16754721146507962,flex
RB,70,00-0036158,J.K. Dobbins,J.K. Dobbins,DEN,LA,16,27,15,20,0.16460244311035652,flex
TE,71,00-0036970,Kyle Pitts,Kyle Pitts,ATL,GB,16,27,5,17,0.16421308319781663,flex
TE,72,00-0041032,Kenyon Sadiq,Kenyon Sadiq,NYJ,DET,16,28,5,17,0.1618934646450375,flex
TE,73,00-0038046,Charlie Kolar,Charlie Kolar,LAC,BUF,16,31,5,17,0.1607993720638996,flex
TE,74,00-0039066,Michael Mayer,Michael Mayer,LV,NO,16,33,6,17,0.15776561763285532,flex
WR,75,00-0038621,DeMario Douglas,DeMario Douglas,NE,JAX,15,28,6,20,0.15290123456790122,flex
WR,76,00-0035535,Darius Slayton,Darius Slayton,IND,HOU,15,25,6,20,0.14953424657534248,flex
RB,77,00-0040784,Quinshon Judkins,Quinshon Judkins,CLE,CAR,15,30,19,20,0.14881719341087482,flex
TE,78,00-0038129,Cade Otton,Cade Otton,TB,MIN,15,30,6,17,0.14795346487784491,flex
TE,79,00-0040189,Oronde Gadsden II,Oronde Gadsden II,LAC,BUF,15,26,4,17,0.14538724910356465,flex
WR,80,00-0031408,Mike Evans,Mike Evans,SF,ARI,14,30,7,20,0.14439140811455847,flex
WR,81,00-0039890,Adonai Mitchell,Adonai Mitchell,NYJ,DET,14,30,7,20,0.14439140811455847,flex
WR,82,00-0038544,Quentin Johnston,Quentin Johnston,LAC,BUF,14,28,7,20,0.14439140811455847,flex
WR,83,00-0039410,Ryan Flournoy,Ryan Flournoy,DAL,BAL,14,28,7,20,0.14439140811455847,flex
WR,84,00-0038117,Wan'Dale Robinson,Wan'Dale Robinson,TEN,NYG,14,27,7,20,0.14439140811455847,flex
WR,85,00-0040727,Tre Harris,Tre Harris,LAC,BUF,14,26,7,20,0.14439140811455847,flex
WR,86,00-0039893,Brian Thomas Jr.,Brian Thomas Jr.,JAX,NE,14,25,7,20,0.14439140811455847,flex
TE,87,00-0034383,Dalton Schultz,Dalton Schultz,HOU,IND,14,35,6,17,0.14249826463702156,flex
RB,88,00-0038120,Breece Hall,Breece Hall,NYJ,DET,14,35,19,20,0.14105323330837896,flex
WR,89,00-0039792,Devontez Walker,Devontez Walker,BAL,DAL,14,21,5,20,0.1399012345679012,flex
TE,90,00-0037838,Isaiah Likely,Isaiah Likely,NYG,TEN,13,30,6,17,0.13431055578647547,flex
WR,91,00-0032775,Demarcus Robinson,Demarcus Robinson,SF,ARI,13,25,5,20,0.13253424657534246,flex
TE,92,00-0038996,Tucker Kraft,Tucker Kraft,GB,ATL,13,26,5,17,0.12939532908455895,flex
RB,93,00-0038551,Kendre Miller,Kendre Miller,NO,LV,13,22,12,20,0.12856793053897891,flex
WR,94,00-0039855,Jalen McMillan,Jalen McMillan,TB,MIN,12,22,5,20,0.12399698568198944,flex
RB,95,00-0036425,DeeJay Dallas,DeeJay Dallas,MIN,TB,12,18,9,20,0.12355176383007636,flex
RB,96,00-0040734,TreVeyon Henderson,TreVeyon Henderson,NE,JAX,12,30,16,20,0.12338373010067956,flex
RB,97,00-0038797,Emanuel Wilson,Emanuel Wilson,SEA,WAS,12,19,11,20,0.1200351522863202,flex
TE,98,00-0040126,Colston Loveland,Colston Loveland,CHI,PHI,12,21,5,17,0.11955971202915788,flex
WR,99,00-0040170,Elic Ayomanor,Elic Ayomanor,TEN,NYG,12,21,6,20,0.11885964912280704,flex
RB,100,00-0036893,Najee Harris,Najee Harris,NYG,TEN,12,18,10,20,0.11879274900493338,flex
WR,101,00-0035544,Tom Kennedy,Tom Kennedy,DET,NYJ,12,19,5,20,0.11824250681198913,flex
TE,102,00-0035229,T.J. Hockenson,T.J. Hockenson,MIN,TB,12,29,6,17,0.11518638695848704,flex
TE,103,00-0041395,Eli Raridon,Eli Raridon,NE,JAX,12,20,4,17,0.11502144332118552,flex
RB,104,00-0038555,Tank Bigsby,Tank Bigsby,PHI,CHI,11,19,10,20,0.1147435914692781,flex
WR,105,00-0034960,Jakobi Meyers,Jakobi Meyers,JAX,NE,11,27,6,20,0.11428571428571428,flex
WR,106,00-0034348,Courtland Sutton,Courtland Sutton,DEN,LA,11,26,7,20,0.11428571428571428,flex
WR,107,00-0041042,Malachi Fields,Malachi Fields,NYG,TEN,11,27,7,20,0.11336717428087986,flex
WR,108,00-0038559,Michael Wilson,Michael Wilson,ARI,SF,11,26,7,20,0.11336717428087986,flex
WR,109,00-0038994,Jordan Addison,Jordan Addison,MIN,TB,11,24,7,20,0.11336717428087986,flex
WR,110,00-0039915,Ladd McConkey,Ladd McConkey,LAC,BUF,11,23,6,20,0.11336717428087986,flex
WR,111,00-0038619,Andrei Iosivas,Andrei Iosivas,CIN,PIT,11,18,5,20,0.11324250681198912,flex
RB,112,00-0040730,RJ Harvey,RJ Harvey,DEN,LA,11,21,11,20,0.11237882771752092,flex
TE,113,00-0036040,Juwan Johnson,Juwan Johnson,NO,LV,11,28,6,17,0.10807762304453104,flex
TE,114,00-0038935,Brenton Strange,Brenton Strange,JAX,NE,11,26,5,17,0.1064368193651314,flex
RB,115,00-0041512,Jadarian Price,Jadarian Price,SEA,WAS,11,23,15,20,0.10589522587250222,flex
WR,116,00-0041550,Brenen Thompson,Brenen Thompson,LAC,BUF,11,18,5,20,0.1052425068119891,flex
RB,117,00-0039299,George Holani,George Holani,SEA,WAS,10,17,10,20,0.10266750314514736,flex
WR,118,00-0039880,Malik Washington,Malik Washington,MIA,KC,10,25,7,20,0.1020408163265306,flex
WR,119,00-0032464,Kalif Raymond,Kalif Raymond,CHI,PHI,10,24,7,20,0.1020408163265306,flex
WR,120,00-0037261,Khalil Shakir,Khalil Shakir,BUF,LAC,10,23,6,20,0.1020408163265306,flex
RB,121,00-0041027,Jeremiyah Love,Jeremiyah Love,ARI,SF,10,23,16,20,0.10085899189342278,flex
RB,122,00-0035261,Tony Pollard,Tony Pollard,TEN,NYG,9,20,16,20,0.09372659653607604,flex
RB,123,00-0035685,David Montgomery,David Montgomery,HOU,IND,9,21,14,20,0.09304183797223796,flex
RB,124,00-0040583,Woody Marks,Woody Marks,HOU,IND,9,22,15,20,0.09235606154205768,flex
RB,125,00-0037525,Jordan Mason,Jordan Mason,MIN,TB,9,20,15,20,0.09235606154205768,flex
TE,126,00-0039793,AJ Barner,AJ Barner,SEA,WAS,9,19,5,17,0.09221308319781664,flex
RB,127,00-0039361,Bucky Irving,Bucky Irving,TB,MIN,9,32,20,20,0.08839465429415246,flex
TE,128,00-0040194,Jackson Hawes,Jackson Hawes,BUF,LAC,9,20,4,17,0.08838303089529724,flex
WR,129,00-0040582,Arian Smith,Arian Smith,NYJ,DET,9,15,4,20,0.08803206412825651,flex
TE,130,00-0039824,Jared Wiley,Jared Wiley,KC,MIA,9,21,5,17,0.08674157112212656,flex
TE,131,00-0033885,David Njoku,David Njoku,LAC,BUF,9,22,5,17,0.08619441970929266,flex
WR,132,00-0041438,Carnell Tate,Carnell Tate,TEN,NYG,9,26,7,20,0.08568075117370892,flex
WR,133,00-0036252,Michael Pittman,Michael Pittman,PIT,CIN,9,23,7,20,0.08568075117370892,flex
WR,134,00-0038104,Tyquan Thornton,Tyquan Thornton,KC,MIA,9,23,5,20,0.08568075117370892,flex
WR,135,00-0041523,Caleb Douglas,Caleb Douglas,MIA,KC,9,22,7,20,0.08568075117370892,flex
RB,136,00-0039811,MarShawn Lloyd,MarShawn Lloyd,GB,ATL,8,20,14,20,0.08334037719413229,flex
WR,137,00-0040669,Isaac TeSlaa,Isaac TeSlaa,DET,NYJ,8,23,6,20,0.08280254777070063,flex
WR,138,00-0040735,Luther Burden III,Luther Burden III,CHI,PHI,8,23,7,20,0.08280254777070063,flex
WR,139,00-0041547,KC Concepcion,KC Concepcion,CLE,CAR,8,21,7,20,0.08280254777070063,flex
WR,140,00-0039739,Roman Wilson,Roman Wilson,PIT,CIN,8,20,6,20,0.08280254777070063,flex
WR,141,00-0041048,Ted Hurst III,Ted Hurst III,TB,MIN,8,20,6,20,0.08280254777070063,flex
RB,142,00-0041052,Kaelon Black,Kaelon Black,SF,ARI,8,19,13,20,0.08158313010210981,flex
RB,143,00-0037263,Tyler Allgeier,Tyler Allgeier,ARI,SF,8,19,14,20,0.08087790923723169,flex
TE,144,00-0038041,Jake Ferguson,Jake Ferguson,DAL,BAL,8,26,5,17,0.08017595960863448,flex
RB,145,00-0036139,Rico Dowdle,Rico Dowdle,PIT,CIN,8,22,14,20,0.07963075832166443,flex
TE,146,00-0036894,Pat Freiermuth,Pat Freiermuth,PIT,CIN,8,21,5,17,0.07962885748789429,flex
TE,147,00-0040736,Mason Taylor,Mason Taylor,NYJ,DET,8,21,5,17,0.07962885748789429,flex
TE,148,00-0039847,Theo Johnson,Theo Johnson,NYG,TEN,8,19,5,17,0.07579937206389958,flex
TE,149,00-0033881,Evan Engram,Evan Engram,DEN,LA,8,20,5,17,0.07525234172431017,flex
TE,150,00-0040584,Gunnar Helm,Gunnar Helm,TEN,NYG,8,20,5,17,0.07525234172431017,flex
TE,151,00-0035644,Noah Fant,Noah Fant,NO,LV,7,20,5,17,0.0747053227454572,flex
TE,152,00-0040363,Keleki Latu,Keleki Latu,BUF,LAC,7,20,4,17,0.0730643395520422,flex
TE,153,00-0040390,Jackson Meeks,Jackson Meeks,DET,NYJ,7,19,4,17,0.07197041792083021,flex
TE,154,00-0034270,Tyler Conklin,Tyler Conklin,DET,NYJ,7,18,4,17,0.07197041792083021,flex
WR,155,00-0034827,DJ Moore,DJ Moore,BUF,LAC,7,22,7,20,0.06939140811455846,flex
WR,156,00-0033921,Chris Godwin Jr.,Chris Godwin Jr.,TB,MIN,7,20,6,20,0.0681265206812652,flex
WR,157,00-0037816,Romeo Doubs,Romeo Doubs,NE,JAX,7,20,6,20,0.0681265206812652,flex
WR,158,00-0037545,Rashid Shaheed,Rashid Shaheed,SEA,WAS,7,19,6,20,0.0681265206812652,flex
WR,159,00-0033307,Kendrick Bourne,Kendrick Bourne,ARI,SF,7,19,6,20,0.0681265206812652,flex
WR,160,00-0041067,Bryce Lance,Bryce Lance,NO,LV,7,19,6,20,0.0681265206812652,flex
WR,161,00-0036040,Juwan Johnson,Juwan Johnson,NO,LV,7,18,6,20,0.0681265206812652,flex
WR,162,00-0031588,Stefon Diggs,Stefon Diggs,WAS,SEA,7,20,7,20,0.06790123456790123,flex
WR,163,00-0030279,Keenan Allen,Keenan Allen,IND,HOU,7,19,6,20,0.06790123456790123,flex
WR,164,00-0032398,Chris Moore,Chris Moore,BAL,DAL,7,19,5,20,0.06790123456790123,flex
WR,165,00-0040867,Makai Lemon,Makai Lemon,PHI,CHI,7,17,6,20,0.06790123456790123,flex
TE,166,00-0038643,Brayden Willis,Brayden Willis,SF,ARI,7,19,4,17,0.0665017969186095,flex
TE,167,00-0037005,Tommy Tremble,Tommy Tremble,CAR,CLE,7,18,5,17,0.0665017969186095,flex
RB,168,00-0040242,Jacory Croskey-Merritt,Jacory Croskey-Merritt,WAS,SEA,7,16,14,20,0.06571191043523478,flex
TE,169,00-0031610,Darren Waller,Darren Waller,CAR,CLE,6,19,5,17,0.06486159423812027,flex
TE,170,00-0040739,Elijah Arroyo,Elijah Arroyo,SEA,WAS,6,14,4,17,0.06431490573088806,flex
RB,171,00-0041496,Jonah Coleman,Jonah Coleman,DEN,LA,6,16,13,20,0.06310649415840623,flex
TE,172,00-0041510,Max Klare,Max Klare,LA,DEN,6,18,4,17,0.06267498756057978,flex
TE,173,00-0035689,Dawson Knox,Dawson Knox,BUF,LAC,6,20,4,17,0.06048880220568398,flex
TE,174,00-0036244,Colby Parkinson,Colby Parkinson,LA,DEN,6,19,5,17,0.05939588329461221,flex
TE,175,00-0040225,Thomas Fidone II,Thomas Fidone II,NYG,TEN,6,15,4,17,0.05884947016740101,flex
TE,176,00-0036556,Brevin Jordan,Brevin Jordan,HOU,IND,6,17,5,17,0.05775674085216733,flex
TE,177,00-0041558,Sam Roush,Sam Roush,CHI,PHI,6,13,4,17,0.05775674085216733,flex
WR,178,00-0033908,Cooper Kupp,Cooper Kupp,SEA,WAS,6,18,5,20,0.05753424657534246,flex
WR,179,00-0038608,Kayshon Boutte,Kayshon Boutte,HOU,IND,6,18,5,20,0.05753424657534246,flex
WR,180,00-0040172,Jordan Watkins,Jordan Watkins,SF,ARI,6,18,5,20,0.05753424657534246,flex
WR,181,00-0040876,Elijah Sarratt,Elijah Sarratt,BAL,DAL,6,16,5,20,0.05753424657534246,flex
WR,182,00-0036259,Jauan Jennings,Jauan Jennings,MIN,TB,6,15,5,20,0.05753424657534246,flex
TE,183,00-0039356,Ja'Tavion Sanders,Ja'Tavion Sanders,CAR,CLE,6,17,5,17,0.05721042642175668,flex
TE,184,00-0036825,Feleipe Franks,Feleipe Franks,CAR,CLE,6,15,4,17,0.05721042642175668,flex
TE,185,00-0040598,Mark Redman,Mark Redman,GB,ATL,6,16,4,17,0.05666414667361906,flex
TE,186,00-0032392,Austin Hooper,Austin Hooper,ATL,GB,6,16,5,17,0.05666414667361906,flex
TE,187,00-0034959,Andrew Beck,Andrew Beck,NYJ,DET,6,14,4,17,0.05557169491281011,flex
TE,188,00-0033757,Robert Tonyan,Robert Tonyan,PIT,CIN,6,13,4,17,0.05557169491281011,flex
TE,189,00-0039041,Elijah Higgins,Elijah Higgins,ARI,SF,5,14,4,17,0.05447939311473114,flex
TE,190,00-0038589,Josh Whyle,Josh Whyle,GB,ATL,5,16,4,17,0.05393330088542496,flex
TE,191,00-0040058,Nick Kallerup,Nick Kallerup,SEA,WAS,5,15,4,17,0.05338724910356462,flex
TE,192,00-0037004,Hunter Long,Hunter Long,ARI,SF,5,13,4,17,0.05284123879349835,flex
TE,193,00-0036876,Kylen Granson,Kylen Granson,TEN,NYG,5,13,4,17,0.05284123879349835,flex
RB,194,00-0040236,Kyle Monangai,Kyle Monangai,CHI,PHI,5,13,12,20,0.05278689650370349,flex
RB,195,00-0040142,Kaleb Johnson,Kaleb Johnson,GB,ATL,5,13,12,20,0.05239526498805072,flex
TE,196,00-0040887,Josh Cuevas,Josh Cuevas,BAL,DAL,5,21,4,17,0.05229527099915489,flex
TE,197,00-0041314,Tanner Arkin,Tanner Arkin,NE,JAX,5,16,4,17,0.05229527099915489,flex
WR,198,00-0033555,Mack Hollins,Mack Hollins,NE,JAX,5,16,5,20,0.05199698568198945,flex
WR,199,00-0041443,Skyler Bell,Skyler Bell,BUF,LAC,5,15,5,20,0.05199698568198945,flex
WR,200,00-0041399,CJ Daniels,CJ Daniels,LA,DEN,5,14,5,20,0.05199698568198945,flex
WR,201,00-0039451,Isaiah Williams,Isaiah Williams,NYJ,DET,5,14,6,20,0.05199698568198945,flex
WR,202,00-0037741,Jahan Dotson,Jahan Dotson,ATL,GB,5,13,6,20,0.05199698568198945,flex
WR,203,00-0038976,Marvin Mims Jr.,Marvin Mims Jr.,DEN,LA,5,13,5,20,0.05199698568198945,flex
TE,204,00-0031484,Chris Manhertz,Chris Manhertz,NYG,TEN,5,14,4,17,0.0517493467846333,flex
TE,205,00-0039518,Treyton Welch,Treyton Welch,NO,LV,5,16,4,17,0.05120346723481726,flex
TE,206,00-0036754,Brock Wright,Brock Wright,DET,NYJ,5,15,4,17,0.05011184657662508,flex
TE,207,00-0036628,John Bates,John Bates,WAS,SEA,5,13,5,17,0.05011184657662508,flex
TE,208,00-0041133,Dallen Bentley,Dallen Bentley,DEN,LA,5,15,4,17,0.04956610774783282,flex
TE,209,00-0038783,Nate Adkins,Nate Adkins,DEN,LA,5,15,4,17,0.04847477896508845,flex
TE,210,00-0041094,Bauer Sharp,Bauer Sharp,TB,MIN,5,14,4,17,0.04847477896508845,flex
TE,211,00-0041131,Carsen Ryan,Carsen Ryan,CLE,CAR,5,13,4,17,0.04792919143411586,flex
TE,212,00-0036887,Luke Farrell,Luke Farrell,SF,ARI,5,16,4,17,0.04738365680131323,flex
TE,213,00-0041116,Jack Endries,Jack Endries,CIN,PIT,5,15,4,17,0.04738365680131323,flex
TE,214,00-0037252,Greg Dulcich,Greg Dulcich,MIA,KC,5,14,5,17,0.04738365680131323,flex
TE,215,00-0038488,Brady Russell,Brady Russell,SEA,WAS,5,13,4,17,0.04738365680131323,flex
TE,216,00-0033576,Eric Saubert,Eric Saubert,SEA,WAS,5,13,4,17,0.04738365680131323,flex
TE,217,00-0035249,Josh Oliver,Josh Oliver,MIN,TB,5,14,4,17,0.04683817634331945,flex
TE,218,00-0036590,Quintin Morris,Quintin Morris,JAX,NE,5,13,4,17,0.04683817634331945,flex
TE,219,00-0034613,Tanner Hudson,Tanner Hudson,CIN,PIT,5,15,4,17,0.04629275136441496,flex
TE,220,00-0039814,Erick All,Erick All,CIN,PIT,5,14,4,17,0.04629275136441496,flex
RB,221,00-0035537,Ty Johnson,Ty Johnson,BUF,LAC,5,12,10,20,0.04601911066047645,flex
TE,222,00-0040215,Gavin Bartholomew,Gavin Bartholomew,MIN,TB,5,15,4,17,0.04574738319746326,flex
TE,223,00-0036290,Cole Kmet,Cole Kmet,CHI,PHI,5,14,4,17,0.04574738319746326,flex
TE,224,00-0041472,Marlin Klein,Marlin Klein,HOU,IND,5,13,4,17,0.04574738319746326,flex
RB,225,00-0038611,Chris Rodriguez Jr.,Chris Rodriguez Jr.,JAX,NE,5,11,11,20,0.04561312708534188,flex
TE,226,00-0037311,Ko Kieft,Ko Kieft,TB,MIN,5,14,4,17,0.04520207320489637,flex
RB,227,00-0034844,Saquon Barkley,Saquon Barkley,PHI,CHI,4,24,16,20,0.04461450299968836,flex
TE,228,00-0039359,Cade Stover,Cade Stover,HOU,IND,4,12,4,17,0.04411163334672653,flex
RB,229,00-0039032,Tyjae Spears,Tyjae Spears,TEN,NYG,4,11,11,20,0.04397947090351627,flex
RB,230,00-0039391,Kimani Vidal,Kimani Vidal,LAC,BUF,4,11,11,20,0.04397947090351627,flex
WR,231,00-0040729,Jack Bech,Jack Bech,LV,NO,4,14,5,20,0.04385964912280701,flex
WR,232,00-0034837,Calvin Ridley,Calvin Ridley,TEN,NYG,4,14,5,20,0.04385964912280701,flex
WR,233,00-0036309,Darnell Mooney,Darnell Mooney,NYG,TEN,4,14,5,20,0.04385964912280701,flex
WR,234,00-0040534,Ke'Shawn Williams,Ke'Shawn Williams,CIN,PIT,4,13,5,20,0.04385964912280701,flex
WR,235,00-0034272,Marquez Valdes-Scantling,Marquez Valdes-Scantling,LAC,BUF,4,12,5,20,0.04385964912280701,flex
WR,236,00-0031610,Darren Waller,Darren Waller,CAR,CLE,4,12,5,20,0.04385964912280701,flex
WR,237,00-0040648,Tory Horton,Tory Horton,SEA,WAS,4,12,5,20,0.04385964912280701,flex
WR,238,00-0035662,Marquise Brown,Marquise Brown,PHI,CHI,4,12,5,20,0.04385964912280701,flex
WR,239,00-0041070,Reggie Virgil,Reggie Virgil,ARI,SF,4,11,5,20,0.04385964912280701,flex
WR,240,00-0040138,Jaylin Noel,Jaylin Noel,HOU,IND,4,11,5,20,0.04385964912280701,flex
WR,241,00-0041106,C.J. Williams,C.J. Williams,JAX,NE,4,11,5,20,0.04385964912280701,flex
WR,242,00-0039355,Luke McCaffrey,Luke McCaffrey,WAS,SEA,4,10,5,20,0.04385964912280701,flex
TE,243,00-0038498,E.J. Jenkins,E.J. Jenkins,PHI,CHI,4,15,4,17,0.04356650636336336,flex
TE,244,00-0036422,Adam Trautman,Adam Trautman,DEN,LA,4,15,4,17,0.04356650636336336,flex
TE,245,00-0039050,Payne Durham,Payne Durham,TB,MIN,4,15,4,17,0.04356650636336336,flex
TE,246,00-0038564,Cameron Latu,Cameron Latu,NE,JAX,4,15,4,17,0.04302144332118553,flex
TE,247,00-0037304,Connor Heyward,Connor Heyward,LV,NO,4,14,4,17,0.04302144332118553,flex
TE,248,00-0037809,Chig Okonkwo,Chig Okonkwo,WAS,SEA,4,13,5,17,0.04302144332118553,flex
TE,249,00-0036187,Reggie Gilliam,Reggie Gilliam,NE,JAX,4,13,4,17,0.04247644574696996,flex
