position,rank,player_id,player_name,player_disp,posteam,defteam,boom_pct,start_pct,disp_vol,boom_bar,p_boom_recal,board
RB,338,00-0039603,British Brooks,British Brooks,HOU,IND,3,9,9,20,0.03021400869961866,flex
RB,339,00-0038794,Jaleel McLaughlin,Jaleel McLaughlin,CLE,CAR,3,8,9,20,0.03021400869961866,flex
TE,340,00-0039530,Brevyn Spann-Ford,Brevyn Spann-Ford,DAL,BAL,3,14,4,17,0.02996373927867712,flex
TE,341,00-0039686,Colson Yankoff,Colson Yankoff,WAS,SEA,3,9,4,17,0.02942089259379163,flex
RB,342,00-0036842,Kene Nwangwu,Kene Nwangwu,NYJ,DET,3,9,9,20,0.02930132095265511,flex
TE,343,00-0039074,Davis Allen,Davis Allen,LA,DEN,3,13,4,17,0.02887816647662592,flex
RB,344,00-0039796,Rasheen Ali,Rasheen Ali,BAL,DAL,3,10,8,20,0.02884203232726897,flex
RB,345,00-0040179,DJ Giddens,DJ Giddens,IND,HOU,3,9,9,20,0.02884203232726897,flex
TE,346,00-0039912,Ben Sinnott,Ben Sinnott,WAS,SEA,3,9,4,17,0.02833556413937982,flex
RB,347,00-0038489,Ben VanSumeren,Ben VanSumeren,KC,MIA,3,9,8,20,0.02791731102888547,flex
TE,348,00-0038558,Darnell Washington,Darnell Washington,PIT,CIN,3,11,4,17,0.02779308891056006,flex
TE,349,00-0034365,Ian Thomas,Ian Thomas,LV,NO,3,11,4,17,0.02779308891056006,flex
TE,350,00-0041524,Will Kacmarek,Will Kacmarek,MIA,KC,3,10,4,17,0.02779308891056006,flex
RB,351,00-0039471,Frank Gore Jr.,Frank Gore Jr.,BUF,LAC,3,9,8,20,0.0274517694282458,flex
RB,352,00-0040078,Brashard Smith,Brashard Smith,KC,MIA,3,9,8,20,0.02651403222322637,flex
RB,353,00-0040208,Tahj Brooks,Tahj Brooks,CIN,PIT,3,9,10,20,0.02604171106345382,flex
RB,354,00-0040886,Nicholas Singleton,Nicholas Singleton,TEN,NYG,3,8,9,20,0.02604171106345382,flex
TE,355,00-0041077,Justin Joly,Justin Joly,MIA,KC,3,12,4,17,0.02562453010478809,flex
RB,356,00-0036265,AJ Dillon,AJ Dillon,CAR,CLE,3,8,9,20,0.02556699914983386,flex
RB,357,00-0038705,Emari Demercado,Emari Demercado,DAL,BAL,3,7,9,20,0.02556699914983386,flex
RB,358,00-0041326,CJ Donaldson,CJ Donaldson,NO,LV,3,7,8,20,0.02556699914983386,flex
RB,359,00-0040466,Raheim Sanders,Raheim Sanders,CLE,CAR,3,7,8,20,0.02556699914983386,flex
RB,360,00-0039407,Dylan Laube,Dylan Laube,LV,NO,3,7,9,20,0.02508982531954969,flex
RB,361,00-0029892,Kyle Juszczyk,Kyle Juszczyk,SF,ARI,2,8,7,20,0.0246101145801613,flex
RB,362,00-0038896,Jacob Saylors,Jacob Saylors,DET,NYJ,2,8,8,20,0.0246101145801613,flex
RB,363,00-0040878,Mike Washington Jr.,Mike Washington Jr.,LV,NO,2,7,9,20,0.0246101145801613,flex
RB,364,00-0039874,Jaylen Wright,Jaylen Wright,MIA,KC,2,7,9,20,0.0246101145801613,flex
RB,365,00-0033526,Samaje Perine,Samaje Perine,CIN,PIT,2,8,8,20,0.02412778780195284,flex
RB,366,00-0039798,Isaiah Davis,Isaiah Davis,NYJ,DET,2,8,9,20,0.02412778780195284,flex
RB,367,00-0037557,Ronnie Rivers,Ronnie Rivers,LA,DEN,2,8,8,20,0.02412778780195284,flex
RB,368,00-0041398,Riley Nowakowski,Riley Nowakowski,PIT,CIN,2,8,9,20,0.02412778780195284,flex
RB,369,00-0038738,Hunter Luepke,Hunter Luepke,DAL,BAL,2,8,8,20,0.02364276137700072,flex
RB,370,00-0039746,Will Shipley,Will Shipley,PHI,CHI,2,8,9,20,0.02364276137700072,flex
