player_id,player_name,games,cpg,bias_tot,bias_rush,t_tot
00-0033537,Deshaun Watson,72,5.027777777777778,0.6627510644134124,0.7443944546824889,0.47854929314369643
00-0033869,Mitchell Trubisky,60,3.266666666666667,0.565709113273049,0.336461307266297,0.45014798998027955
00-0033873,Patrick Mahomes,125,3.088,4.74319817001447,1.0482453306861939,5.300475618443077
00-0034771,Mason Rudolph,24,2.166666666666667,1.2128710095052404,-0.18764047287394212,0.5477208218484004
00-0034796,Lamar Jackson,104,9.269230769230766,2.012030824609644,0.22754827060466792,1.788928107534554
00-0034855,Baker Mayfield,123,2.333333333333334,-0.7055679146140559,0.2740559866848672,-0.6664468986181205
00-0034857,Josh Allen,125,6.16,2.131211290436116,1.3810750193205341,2.5568873200862825
00-0034869,Sam Darnold,91,2.4065934065934065,-0.8164289800600553,0.03715507410342038,-0.665742394262011
00-0035228,Kyler Murray,85,5.788235294117647,-0.36658089866361004,0.16697930613636638,-0.3553111027254664
00-0035289,Gardner Minshew,51,2.5882352941176467,-0.9402553153177575,-0.4609591016957297,-0.7420492248956403
00-0035704,Drew Lock,28,2.7142857142857144,-1.4668271118154028,0.44475982565859873,-0.5797095675775251
00-0035710,Daniel Jones,78,4.8589743589743595,-2.071590703191365,0.012374100473641424,-1.4691871551873656
00-0036212,Tua Tagovailoa,76,1.6447368421052628,1.2333513593073553,-0.5860298897097892,1.0038147030436873
00-0036264,Jordan Love,47,2.021276595744681,2.7643843603902662,0.39991237434287324,2.18449289467779
00-0036355,Justin Herbert,95,3.1368421052631583,-0.7320144917959216,0.13588845514564427,-0.596703227261841
00-0036389,Jalen Hurts,81,8.469135802469134,0.44186581757990295,0.5877648305258375,0.403909894974834
00-0036442,Joe Burrow,77,2.363636363636364,1.3489210512993284,0.036597939010616594,0.9059436636434408
00-0036898,Davis Mills,34,1.5882352941176472,-2.0286662213038738,-0.1890973306872376,-1.065317072344368
00-0036945,Justin Fields,49,8.673469387755102,-1.0368855412791074,0.9568780491063533,-0.7466068427054062
00-0036971,Trevor Lawrence,76,3.644736842105263,-0.47694760184890406,-0.34991208160286563,-0.40581152103111606
00-0036972,Mac Jones,56,2.3035714285714284,-0.707755438195436,-0.17951212055980822,-0.5321794449357613
00-0037013,Zach Wilson,33,2.3636363636363638,-5.50796440226541,-0.945553378362154,-3.083232972018059
00-0037834,Brock Purdy,46,2.7608695652173916,3.972827067482713,0.9230888988384857,2.496926695547235
00-0038102,Kenny Pickett,25,2.84,-0.29181527754351405,-0.007879061350991281,-0.1434246646240512
00-0038122,Desmond Ridder,20,3.25,-3.4083001074992,-1.1948553876706036,-1.6105184191993673
00-0039150,Bryce Young,44,2.5454545454545454,-3.806917477154872,0.30399851770390424,-2.122279367284358
00-0039163,C.J. Stroud,44,2.5681818181818183,-0.19723495332424765,0.24665126449828342,-0.12094022023851408
00-0039732,Bo Nix,34,4.235294117647059,2.1171664440523252,0.34321718809941837,1.0918936672358361
00-0039851,Drake Maye,27,4.814814814814815,6.165924642960847,1.1006408231614022,3.2432458138411344
00-0039910,Jayden Daniels,23,8.217391304347826,4.33666192496254,1.9062876247112028,2.061026736062537
00-0039918,Caleb Williams,34,4.147058823529412,0.5536894923123499,0.18794807340920494,0.2892154522263436
