cell,bin,n,pred,emp,delta,method,threshold,position
exante_high,"[0.1,0.2)",1,0.1790530176375104,1,0.8209469823624896,strat_platt,20+,WR
exante_high,"[0.2,0.3)",222,0.28224562041675016,0.2882882882882883,0.006042667871538121,strat_platt,20+,WR
exante_high,"[0.3,0.4)",771,0.3369166063627214,0.32814526588845655,-0.008771340474264866,strat_platt,20+,WR
exante_high,"[0.4,0.5)",38,0.42647811798966323,0.4473684210526316,0.02089030306296835,strat_platt,20+,WR
exante_low,"[0,0.1)",2165,0.02585642017621783,0.03002309468822171,0.004166674512003879,strat_iso,20+,WR
exante_low,"[0.1,0.2)",1,0.1725055432372506,0,-0.1725055432372506,strat_iso,20+,WR
exante_mid,"[0,0.1)",4947,0.06339623947897552,0.06145138467758237,-0.001944854801393149,strat_iso,20+,WR
exante_mid,"[0.1,0.2)",4659,0.15706236388973072,0.1579738141232024,9.114502334716945e-4,strat_iso,20+,WR
exante_mid,"[0.2,0.3)",1925,0.251668395498092,0.2587012987012987,0.0070329032032067085,strat_iso,20+,WR
exante_mid,"[0.3,0.4)",7,0.3394762616124845,0.2857142857142857,-0.05376197589819881,strat_iso,20+,WR
exante_high,"[0.1,0.2)",3,0.16591970121381885,0.6666666666666666,0.5007469654528478,strat_iso,20+,WR
exante_high,"[0.2,0.3)",322,0.27903359685102785,0.32298136645962733,0.043947769608599474,strat_iso,20+,WR
exante_high,"[0.3,0.4)",568,0.32969767716528864,0.3221830985915493,-0.007514578573739328,strat_iso,20+,WR
exante_high,"[0.4,0.5)",124,0.4077170035379294,0.31451612903225806,-0.09320087450567133,strat_iso,20+,WR
exante_high,"[0.5,0.6)",11,0.5431868341137783,0.5454545454545454,0.002267711340767087,strat_iso,20+,WR
exante_high,"[0.6,0.7)",4,0.618633350776208,0.25,-0.36863335077620796,strat_iso,20+,WR
exante_low,"[0,0.1)",2166,0.039008476638728404,0.030009233610341645,-0.008999243028386759,platt_vol,20+,WR
exante_mid,"[0,0.1)",5102,0.06900014032658347,0.06330850646805175,-0.0056916338585317194,platt_vol,20+,WR
exante_mid,"[0.1,0.2)",4334,0.14244754537725693,0.15712967235809874,0.014682126980841814,platt_vol,20+,WR
exante_mid,"[0.2,0.3)",1925,0.2399339543717521,0.25142857142857145,0.01149461705681934,platt_vol,20+,WR
exante_mid,"[0.3,0.4)",177,0.31783072273889523,0.2937853107344633,-0.024045412004431943,platt_vol,20+,WR
exante_high,"[0.2,0.3)",225,0.2796820393616096,0.28888888888888886,0.009206849527279237,platt_vol,20+,WR
exante_high,"[0.3,0.4)",646,0.3441264024285225,0.3204334365325077,-0.023692965896014773,platt_vol,20+,WR
exante_high,"[0.4,0.5)",144,0.43205251548558954,0.3888888888888889,-0.043163626596700644,platt_vol,20+,WR
exante_high,"[0.5,0.6)",17,0.5352647679627364,0.4117647058823529,-0.12350006208038344,platt_vol,20+,WR
exante_low,"[0,0.1)",2157,0.03960149840010003,0.03013444598980065,-0.009467052410299378,platt_vegas,20+,WR
exante_low,"[0.1,0.2)",9,0.10636809159037186,0,-0.10636809159037186,platt_vegas,20+,WR
exante_mid,"[0,0.1)",5144,0.06607413617309071,0.06259720062208399,-0.003476935551006727,platt_vegas,20+,WR
exante_mid,"[0.1,0.2)",4332,0.14256082209856266,0.157202216066482,0.01464139396791933,platt_vegas,20+,WR
