bin,n,pred,emp,delta,method,threshold,position
"[0.4,0.5)",24,0.4303125,0.4583333333333333,0.028020833333333328,raw,17+,TE
"[0.5,0.6)",3,0.5298333333333334,0,-0.5298333333333334,raw,17+,TE
"[0,0.1)",2918,0.05863577168772892,0.05483207676490747,-0.0038036949228214476,platt,17+,TE
"[0.1,0.2)",1868,0.14256381106037372,0.14507494646680943,0.002511135406435716,platt,17+,TE
"[0.2,0.3)",636,0.23804590265426626,0.23742138364779874,-6.24519006467511e-4,platt,17+,TE
"[0.3,0.4)",179,0.340107588738676,0.3854748603351955,0.04536727159651949,platt,17+,TE
"[0.4,0.5)",28,0.42837587909099223,0.42857142857142855,1.9554948043631892e-4,platt,17+,TE
"[0.5,0.6)",3,0.5367524971758956,0,-0.5367524971758956,platt,17+,TE
"[0,0.1)",2866,0.052018375612002815,0.05408234473133287,0.0020639691193300516,iso,17+,TE
"[0.1,0.2)",2036,0.14872640580149188,0.1468565815324165,-0.0018698242690753653,iso,17+,TE
"[0.2,0.3)",531,0.23916984871654848,0.24858757062146894,0.009417721904920462,iso,17+,TE
"[0.3,0.4)",132,0.3263890606930785,0.3484848484848485,0.022095787791770016,iso,17+,TE
"[0.4,0.5)",28,0.4770584794875273,0.5,0.022941520512472724,iso,17+,TE
"[0.5,0.6)",38,0.5220919360569496,0.4473684210526316,-0.07472351500431801,iso,17+,TE
"[0.8,0.9)",1,0.8275862068965517,0,-0.8275862068965517,iso,17+,TE
"[0,0.1)",2897,0.06023450611849313,0.05384880911287539,-0.006385697005617745,strat_platt,17+,TE
"[0.1,0.2)",1937,0.1418066066097636,0.1476510067114094,0.0058444001016458025,strat_platt,17+,TE
"[0.2,0.3)",578,0.23998409415736874,0.2370242214532872,-0.0029598727040815453,strat_platt,17+,TE
"[0.3,0.4)",185,0.3412112587183604,0.3783783783783784,0.03716711966001801,strat_platt,17+,TE
"[0.4,0.5)",31,0.4276338635395079,0.41935483870967744,-0.00827902482983045,strat_platt,17+,TE
"[0.5,0.6)",3,0.5450066430710686,0.3333333333333333,-0.2116733097377353,strat_platt,17+,TE
"[0.6,0.7)",1,0.6002260597441499,0,-0.6002260597441499,strat_platt,17+,TE
"[0,0.1)",2869,0.051797741119357144,0.05437434646218194,0.002576605342824799,strat_iso,17+,TE
"[0.1,0.2)",2062,0.14828876290982537,0.14791464597478177,-3.7411693504360577e-4,strat_iso,17+,TE
"[0.2,0.3)",457,0.23436052661314136,0.23851203501094093,0.004151508397799569,strat_iso,17+,TE
"[0.3,0.4)",177,0.33300245519337746,0.3502824858757062,0.01728003068232875,strat_iso,17+,TE
"[0.4,0.5)",35,0.46810582395665906,0.4857142857142857,0.017608461757626648,strat_iso,17+,TE
"[0.5,0.6)",31,0.5236733236436791,0.45161290322580644,-0.0720604204178727,strat_iso,17+,TE
"[0.8,0.9)",1,0.8275862068965517,0,-0.8275862068965517,strat_iso,17+,TE
"[0,0.1)",2884,0.06108721188522063,0.05547850208044383,-0.005608709804776797,platt_vol,17+,TE
"[0.1,0.2)",1854,0.1428377370459778,0.1429341963322546,9.6459286276801e-5,platt_vol,17+,TE
"[0.2,0.3)",589,0.2392099063051461,0.22241086587436332,-0.016799040430782786,platt_vol,17+,TE
"[0.3,0.4)",239,0.34118531546886105,0.32217573221757323,-0.01900958325128782,platt_vol,17+,TE
"[0.4,0.5)",58,0.43686003497257764,0.4482758620689655,0.011415827096387887,platt_vol,17+,TE
"[0.5,0.6)",7,0.5577298361953226,0.42857142857142855,-0.12915840762389402,platt_vol,17+,TE
"[0.6,0.7)",1,0.6003775126384798,1,0.3996224873615202,platt_vol,17+,TE
"[0,0.1)",2943,0.0585337121746208,0.05708460754332314,-0.0014491046312976597,platt_vegas,17+,TE
"[0.1,0.2)",1858,0.1425236576873998,0.14316469321851452,6.410355311147198e-4,platt_vegas,17+,TE
"[0.2,0.3)",615,0.24038002909066788,0.22926829268292684,-0.011111736407741046,platt_vegas,17+,TE
"[0.3,0.4)",162,0.34278181372470895,0.42592592592592593,0.08314411220121698,platt_vegas,17+,TE
"[0.4,0.5)",46,0.4328276281239351,0.34782608695652173,-0.08500154116741337,platt_vegas,17+,TE
"[0.5,0.6)",8,0.5371999398047982,0.375,-0.1621999398047982,platt_vegas,17+,TE
"[0,0.1)",2857,0.0623755551746953,0.054252712635631785,-0.008122842539063514,platt_vol_vegas,17+,TE
"[0.1,0.2)",1893,0.14128434391150846,0.14315900686740624,0.0018746629558977768,platt_vol_vegas,17+,TE
"[0.2,0.3)",559,0.24163075455655994,0.20930232558139536,-0.03232842897516458,platt_vol_vegas,17+,TE
"[0.3,0.4)",212,0.34263509310360474,0.3443396226415094,0.0017045295379046754,platt_vol_vegas,17+,TE
"[0.4,0.5)",87,0.4420124752287467,0.40229885057471265,-0.03971362465403405,platt_vol_vegas,17+,TE
"[0.5,0.6)",20,0.5430939484802875,0.55,0.006906051519712575,platt_vol_vegas,17+,TE
"[0.6,0.7)",4,0.655281912856408,0.25,-0.405281912856408,platt_vol_vegas,17+,TE
