player_id,posteam,defteam,game_id,rolling_epa_per_opp,wt_target_share,wt_air_yards_share,wt_air_yards_per_target,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,player_name,form_residual,wt_team_total_plays,wt_snap_share,games_played_so_far,def_used_fallback,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,report_status,practice_status
00-0035208,CHI,GB,2025_14_CHI_GB,0.14148157604107575,0.10768250059833288,0.08224115588607785,6.153178625055884,0.3919108223972921,0.3919108223972921,FALSE,udfa,Olamide Zaccheaus,-0.25042924635621633,76.4447513486276,0.3655149726735436,12,FALSE,-0.4031119853913208,0.6519371788643358,2025,14,NA,NA
00-0035359,ATL,SEA,2025_14_SEA_ATL,0.06337046332656932,0.07912830828307651,0.1346857202353695,12.123030565521983,NA,0.21464330413841848,TRUE,udfa,David Sills,-0.15127284081184916,63.84622696041835,0.6728858524287094,12,FALSE,-0.5762599486191089,-0.4603059245280793,2025,14,NA,NA
00-0035406,DEN,LV,2025_14_DEN_LV,-0.2457719297472474,0.10608534265058005,0.1657166664514682,8.76846452866861,-0.1920554847397119,-0.1920554847397119,FALSE,udfa,Lil'Jordan Humphrey,-0.0537164450075355,64.94155020130405,0.4783920786139091,12,FALSE,-0.5131413773632186,0.5294431174058009,2025,14,NA,NA
00-0035640,PIT,BAL,2025_14_PIT_BAL,-0.10869642610833896,0.20710366725632146,0.3270965600926259,7.878824241327001,0.2125644488297593,0.2125644488297593,FALSE,r2_3,DK Metcalf,-0.3212608749380983,59.05683363639887,0.8620134786924422,12,FALSE,-0.23541756482623943,0.43614994651709116,2025,14,NA,Full Participation in Practice
00-0035659,WAS,MIN,2025_14_WAS_MIN,0.584247336304246,0.18406695701107162,0.39007794112421124,16.464546541378713,0.6001687134410948,0.6001687134410948,FALSE,r2_3,Terry McLaurin,-0.015921377136848824,70.45583528963684,0.6240142336879677,12,FALSE,-0.27711013605710483,0.16590770771197696,2025,14,NA,NA
00-0035676,PHI,LAC,2025_14_PHI_LAC,0.6110152304404664,0.27523157625535877,0.3393771933257649,12.303709181075494,0.6372285156293539,0.6372285156293539,FALSE,r2_3,A.J. Brown,-0.026213285188887547,64.96153398912334,0.9141346285101815,12,FALSE,-0.11319925340815756,-0.9508964092456224,2025,14,NA,NA
00-0035719,WAS,MIN,2025_14_WAS_MIN,0.16607846783902713,0.20612123034042396,0.10013436410206587,4.6492197135687565,0.1366813054662922,0.1366813054662922,FALSE,r2_3,Deebo Samuel Sr.,0.02939716237273493,70.45583528963684,0.7293633264293936,12,FALSE,-0.27711013605710483,0.16590770771197696,2025,14,NA,NA
00-0035876,ARI,LA,2025_14_LA_ARI,-0.014267234364524484,0.017241379310344827,0.01288659793814433,5,NA,0.21464330413841848,TRUE,udfa,Andre Baccellia,-0.22891053850294296,73.67543955738388,0.12456754130223517,12,FALSE,-0.33063361876167413,0.23261649082745056,2025,14,NA,NA
00-0036040,NO,TB,2025_14_NO_TB,0.5661390530167172,0.1600829819826572,0.16835123781977043,7.840215077156856,0.2480966281385524,0.2480966281385524,FALSE,udfa,Juwan Johnson,0.3180424248781648,69.39017932828992,0.6948664685926917,12,FALSE,-0.40562004630445153,0.1368271243341237,2025,14,NA,NA
00-0036252,IND,JAX,2025_14_IND_JAX,-0.04184702270447091,0.1825150493616019,0.21909711196800224,8.327633042214398,0.01105751855109637,0.01105751855109637,FALSE,r2_3,Michael Pittman,-0.05290454125556728,62.90992296686277,0.8264612281148199,12,FALSE,-0.34674485043919423,-0.38044892281171694,2025,14,NA,NA
