fold,eff_num_leaves,eff_lr,eff_min_node,eff_rounds,eff_inner_rmse
141,7,0.02,10,76,0.6945
142,63,0.02,50,45,0.7005
143,7,0.02,20,100,0.7046
144,31,0.05,20,12,0.6954
145,31,0.02,50,51,0.6896
146,31,0.02,100,44,0.6884
147,63,0.02,50,48,0.6854
148,63,0.05,20,18,0.6818
149,63,0.02,50,42,0.6961
150,7,0.05,50,15,0.6933
151,7,0.05,50,15,0.6911
152,15,0.02,20,60,0.6945
153,63,0.02,10,19,0.6872
154,7,0.05,10,47,0.6802
155,31,0.05,100,19,0.6814
156,31,0.05,100,19,0.679
157,31,0.02,10,60,0.6816
158,15,0.02,100,57,0.6848
159,7,0.02,20,86,0.6793
160,31,0.05,100,19,0.6724
161,31,0.05,100,19,0.6744
162,31,0.05,100,15,0.6678
163,15,0.02,100,53,0.6664
164,15,0.05,100,10,0.6662
165,7,0.05,10,22,0.6716
166,7,0.05,10,22,0.6765
167,63,0.05,20,7,0.6595
168,63,0.05,10,4,0.664
169,63,0.05,50,8,0.6719
170,63,0.05,50,5,0.67490000000000006
171,63,0.05,50,5,0.6764
172,63,0.05,50,7,0.6721
173,63,0.05,20,15,0.6693
174,31,0.02,50,19,0.6715
175,31,0.05,100,15,0.6608
176,31,0.05,100,15,0.6616
177,7,0.05,100,25,0.6711
178,7,0.02,50,48,0.6674
179,31,0.05,50,19,0.6681
180,7,0.02,100,68,0.6662
181,7,0.02,100,75,0.6685
182,31,0.02,100,28,0.6676
183,15,0.02,100,40,0.6706
184,63,0.02,20,24,0.675
185,15,0.05,50,17,0.6717
186,15,0.05,50,17,0.6704
187,7,0.05,50,12,0.656
188,63,0.05,10,8,0.6536
189,63,0.05,50,9,0.6545
190,7,0.05,100,11,0.6571
191,7,0.05,100,11,0.656
192,31,0.02,50,45,0.6639
193,31,0.05,50,19,0.6632
194,15,0.05,20,33,0.663
195,7,0.05,20,85,0.6629
196,7,0.05,20,85,0.6641
197,7,0.05,20,64,0.662
198,7,0.02,10,136,0.6745
199,7,0.05,20,91,0.6742
200,31,0.02,10,86,0.6772
201,15,0.02,10,86,0.6763
202,31,0.05,10,59,0.6753
203,31,0.05,10,31,0.6736
204,31,0.05,10,35,0.6803
