fold,pt_num_leaves,pt_lr,pt_min_node,pt_rounds,pt_inner_rmse,vl_num_leaves,vl_lr,vl_min_node,vl_rounds,vl_inner_rmse
85,15,0.05,100,75,7.09,7,0.05,100,108,2.6203
86,15,0.05,100,75,7.2418,7,0.05,100,108,2.6476
87,7,0.02,20,200,7.3189,31,0.05,20,40,2.6434
88,7,0.05,100,79,7.2723,7,0.05,20,69,2.6437
89,7,0.05,100,74,7.3253,7,0.02,10,251,2.6274
90,7,0.05,100,100,7.3318,7,0.02,100,181,2.6415
91,15,0.02,20,195,7.3454,7,0.02,100,181,2.6551
92,15,0.05,100,89,7.3595,7,0.02,50,187,2.6849
93,7,0.02,50,195,7.3724,7,0.02,10,234,2.6802
94,15,0.05,50,57,7.328,7,0.05,10,80,2.6608
95,7,0.05,50,68,7.3226,7,0.05,100,85,2.6377
96,7,0.05,50,64,7.3499,7,0.05,100,85,2.661
97,7,0.05,50,67,7.3373,7,0.02,20,195,2.6971
98,15,0.02,100,144,7.2911,7,0.02,10,184,2.691
99,7,0.02,10,221,7.3279,7,0.05,20,76,2.7068
100,15,0.05,100,50,7.3165,7,0.05,100,75,2.6866
101,15,0.05,100,67,7.3119,7,0.05,100,75,2.6845
102,7,0.02,100,208,7.3132,7,0.02,10,172,2.6884
103,7,0.02,100,171,7.2372,7,0.02,20,198,2.682
104,15,0.05,100,62,7.2589,7,0.05,20,85,2.6823
105,31,0.02,20,123,7.2596,7,0.02,20,264,2.7005
106,31,0.02,20,145,7.2573,7,0.05,10,86,2.716
107,15,0.02,20,188,7.2884,7,0.05,10,70,2.744
108,15,0.05,20,85,7.1589,7,0.02,10,190,2.7114
109,15,0.02,20,163,7.1437,7,0.02,20,165,2.7312
110,15,0.05,50,59,7.1862,7,0.05,100,70,2.7268
111,15,0.05,50,60,7.2071,7,0.02,10,219,2.7167
112,7,0.05,100,68,7.1916,7,0.05,10,120,2.7348
113,7,0.02,20,205,7.1447,7,0.02,20,211,2.7216
114,7,0.02,100,175,7.1605,7,0.02,10,212,2.7075
115,15,0.02,50,125,7.2776,7,0.02,10,170,2.7281
