position,player_id,player_name,posteam,defteam,week,report_status,pred_vol,p_start,p_boom,p_start_base,p_boom_base,pred_vol_base,n_base_weeks,opp_def_adj_now,implied_total_now,team_spread_now,opp_def_adj_base,implied_total_base,team_spread_base,delta_start_pp,delta_boom_pp,delta_vol,injury_flag
QB,00-0033119,Jacoby Brissett,ARI,HOU,15,NA,2.12371749179619,0.1615,0.04687538773752207,0.222,0.08789465274643228,2.076879721548436,2,-0.2053267418249183,NA,NA,-0.004927304749160873,NA,NA,-6.05,-4.101926500891021,0.04683777024775404,FALSE
QB,00-0033106,Jared Goff,DET,LA,15,NA,1.3804781114521651,0.3055,0.14595594900423217,0.35675,0.1694733447336353,1.3676157363498787,2,0.041624795430191486,NA,NA,0.0687472743030878,NA,NA,-5.125000000000002,-2.351739572940312,0.012862375102286494,FALSE
WR,00-0035640,DK Metcalf,PIT,MIA,15,NA,7.648799042640828,0.3572331840247749,0.18381184816947407,0.3066662832534559,0.15532722012757638,7.578763261422715,2,0.04044046943311952,NA,NA,0.001943321129066436,NA,NA,5.056690077131898,2.848462804189769,0.07003578121811316,FALSE
WR,00-0038563,Tre Tucker,LV,PHI,15,NA,6.720890875586392,0.2141553116133399,0.09328472851351192,0.2633532727818164,0.12313464445967885,6.920356847889943,2,-0.3491337139343483,NA,NA,0.032833295840005564,NA,NA,-4.919796116847652,-2.9849915946166927,-0.19946597230355145,FALSE
TE,00-0038041,Jake Ferguson,DAL,MIN,15,Questionable,5.864676929413995,0.30900163549268794,0.121876237444352,0.25992176803657713,0.09329030492810557,5.44511680087837,2,0.25116531359950656,NA,NA,-0.10575866471826169,NA,NA,4.9079867456110815,2.858593251624643,0.4195601285356245,TRUE
TE,00-0034351,Dallas Goedert,PHI,LV,15,NA,6.2217195697876875,0.35807778499803633,0.1600175481144791,0.3096065092985957,0.13477931875234528,5.8228085730751715,2,0.07914844598461368,NA,NA,0.4691251281681409,NA,NA,4.847127569944066,2.5238229362133824,0.39891099671251595,FALSE
WR,00-0035659,Terry McLaurin,WAS,NYG,15,NA,7.21498358581853,0.3137508733463186,0.1612799853097049,0.2653755326854942,0.1242143475564651,6.4149396328913895,2,0.14706383975301746,NA,NA,0.02467518665502296,NA,NA,4.837534066082444,3.706563775323979,0.8000439529271404,FALSE
QB,00-0029604,Kirk Cousins,ATL,TB,15,NA,1.0640881325022706,0.2085,0.07628329890275393,0.16125,0.05029268058910707,1.0850824673548114,2,0.12938230389555067,NA,NA,-0.03999710779203999,NA,NA,4.724999999999999,2.599061831364686,-0.020994334852540764,FALSE
WR,00-0036613,Jaylen Waddle,MIA,PIT,15,NA,8.19864757002077,0.4506521563301744,0.25455211161436825,0.40655655628818865,0.2116691943173846,7.711679468228783,2,0.2674417553450994,NA,NA,0.1726713535315909,NA,NA,4.4095600041985765,4.288291729698365,0.48696810179198646,FALSE
QB,00-0036389,Jalen Hurts,PHI,LV,15,NA,6.93390120192036,0.5165,0.3025753980478065,0.47275,0.23432706199167827,7.31330548534083,2,0.16895063945773856,NA,NA,-0.04375483904975953,NA,NA,4.374999999999996,6.82483360561282,-0.3794042834204703,FALSE
RB,00-0038542,Bijan Robinson,ATL,TB,15,NA,19.373285519080515,0.492,0.2786308539073943,0.5355481892820239,0.3238955975370626,21.01500285131913,2,-0.11421447224399486,NA,NA,-0.19331398154463156,NA,NA,-4.354818928202386,-4.526474362966831,-1.641717332238617,FALSE
WR,00-0036407,Jerry Jeudy,CLE,CHI,15,NA,6.433903958679188,0.21920670074099227,0.09215802277012736,0.2626071727691227,0.12141006486317985,6.821167695524046,2,0.016221279381456795,NA,NA,0.26634616824174334,NA,NA,-4.340047202813044,-2.9252042093052486,-0.38726373684485793,FALSE
RB,00-0039738,Blake Corum,LA,DET,15,NA,12.65515633473592,0.2355,0.09170488257983056,0.19234579852007017,0.07759792360272728,12.597083504057213,2,-0.08127895402609388,NA,NA,-0.021938630448606278,NA,NA,4.315420147992982,1.4106958977103277,0.05807283067870728,FALSE
QB,00-0040676,Cam Ward,TEN,SF,15,NA,3.09523449954326,0.2575,0.09526465822611437,0.2145,0.08346866197193366,3.4028087223474404,2,0.2385340032342244,NA,NA,-0.24926272782855025,NA,NA,4.300000000000001,1.1795996254180707,-0.30757422280418023,FALSE
