fold,pt_num_leaves,pt_lr,pt_min_node,pt_rounds,pt_inner_rmse,vl_num_leaves,vl_lr,vl_min_node,vl_rounds,vl_inner_rmse
99,7,0.02,100,221,7.3244,7,0.05,20,76,2.7068
100,7,0.05,100,80,7.3109,7,0.05,100,75,2.6866
101,7,0.05,100,80,7.3088,7,0.05,100,75,2.6845
102,15,0.05,10,84,7.312,7,0.02,10,172,2.6884
103,15,0.02,50,151,7.2329,7,0.02,20,198,2.682
104,7,0.05,100,80,7.2505,7,0.05,20,85,2.6823
105,7,0.05,10,81,7.2577,7,0.02,20,264,2.7005
106,15,0.02,50,159,7.2584,7,0.05,10,86,2.716
107,15,0.02,10,190,7.2932,7,0.05,10,70,2.744
108,7,0.05,100,85,7.172,7,0.02,10,190,2.7114
