content_tier,content_rank,position,player_id,player_name,player_disp,posteam,defteam,model_rank,ecr_rank,rank_gap,start_pct,boom_pct,disp_vol,report_status,p_start_recal,p_boom_recal,pred_vol,content_score
caution,22,WR,00-0037238,Drake London,Drake London,ATL,GB,14,10,-4,41,22,9,NA,0.41480178901525594,0.22448979591836735,8.888500675208201,0.24648979591836734
caution,23,TE,00-0039065,Sam LaPorta,Sam LaPorta,DET,NYJ,7,4,-3,47,32,7,NA,0.4672571038507166,0.3177655694353598,6.719431916105599,0.3317655694353598
swing,1,WR,00-0036554,Nico Collins,Nico Collins,HOU,IND,22,130,108,37,21,9,NA,0.3748960516098004,0.2061392405063291,9.06568696820128,1.3001392405063292
swing,2,WR,00-0039064,Zay Flowers,Zay Flowers,BAL,DAL,19,46,27,39,18,8,NA,0.38926820476395113,0.17742544731610338,8.203162265793038,0.4654254473161034
swing,3,WR,00-0036550,Rashod Bateman,Rashod Bateman,BAL,DAL,18,39,21,39,22,7,NA,0.3899205545276948,0.21639140811455848,6.670482400436883,0.44439140811455846
swing,4,TE,00-0034829,Mike Gesicki,Mike Gesicki,CIN,PIT,8,27,19,43,19,7,NA,0.4311262615704373,0.19365177606879028,6.908915309153193,0.4056517760687903
swing,5,TE,00-0040737,Terrance Ferguson,Terrance Ferguson,LA,DEN,11,20,9,37,22,6,NA,0.3744880642613978,0.2199534648778449,5.755795314917825,0.32395346487784493
swing,6,WR,00-0039067,Rashee Rice,Rashee Rice,KC,MIA,16,19,3,40,22,8,NA,0.39602367608672545,0.22264875239923224,7.535705203080259,0.27264875239923225
swing,7,WR,00-0040129,Emeka Egbuka,Emeka Egbuka,TB,MIN,21,24,3,38,18,8,NA,0.3819450633508525,0.1782477341389728,7.776284656875952,0.2242477341389728
swing,8,WR,00-0037240,Jameson Williams,Jameson Williams,DET,NYJ,23,26,3,37,18,7,NA,0.3746474398993441,0.1778975741239892,6.810836872395689,0.22189757412398922
swing,9,RB,00-0033293,Aaron Jones,Aaron Jones,MIN,TB,19,21,2,33,18,19,NA,0.3260743835098548,0.1754330550883002,19.073615835596225,0.2014330550883002
swing,10,WR,00-0035676,A.J. Brown,A.J. Brown,NE,JAX,17,NA,NA,39,24,7,NA,0.3912352028053709,0.2363914081145585,7.250300877284991,0.2543914081145585
swing,11,WR,00-0038997,Josh Downs,Josh Downs,IND,HOU,24,23,-1,37,23,7,NA,0.3692075294295286,0.2293914081145585,7.082242753300032,0.2433914081145585
swing,12,RB,00-0036555,Chuba Hubbard,Chuba Hubbard,CAR,CLE,17,16,-1,37,21,18,NA,0.36899891020012854,0.20903066605044357,17.518531953813348,0.22303066605044358
swing,13,RB,00-0036997,Javonte Williams,Javonte Williams,DAL,BAL,15,14,-1,39,17,19,NA,0.3923228376726058,0.16754721146507962,19.105458589740287,0.18554721146507963
swing,14,WR,00-0031381,Davante Adams,Davante Adams,LA,DEN,15,13,-2,41,22,8,NA,0.4111500784465548,0.22448979591836735,8.067731419657216,0.24648979591836734
swing,15,RB,00-0040666,Omarion Hampton,Omarion Hampton,LAC,BUF,16,13,-3,38,18,19,NA,0.3793299938393354,0.17597199896114574,18.79735608365839,0.19197199896114575
