player_id,posteam,defteam,game_id,rolling_epa_per_opp,wt_carry_share,wt_target_share,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,player_name,form_residual,wt_team_total_plays,wt_snap_share,games_played_so_far,def_used_fallback,def_rush_epa_adj,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status,own_q_int,own_practice_int,weeks_missed,return_from_absence,above_new_out_share,above_q_share,above_long_out_share,baseline_carry_share,baseline_target_share,baseline_snap_share,baseline_team_total_plays
00-0036919,PIT,BAL,2025_14_PIT_BAL,-0.08767039709387603,0.25533072697110343,0.6879358347696144,-0.0943320959041501,-0.0943320959041501,FALSE,r4_5,Kenneth Gainwell,0.00666169881027407,59.05683363639887,0.4910604990722655,12,FALSE,-0.3114118536500605,0.32162254864268647,-0.441899743026575,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.1736111111111111,0.3333333333333333,0.26,67.47058823529412
00-0036924,ARI,LA,2025_14_LA_ARI,0.03296908226036066,0.26464078282640047,0.4100350365111118,0.01041945519411369,0.01041945519411369,FALSE,r4_5,Michael Carter,0.02254962706624697,73.67543955738388,0.4206797487617568,12,FALSE,-0.20295944789548545,0.12604361347331622,0,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.5932203389830508,0.5238095238095238,0.6166666666666667,65.47058823529412
00-0036973,JAX,IND,2025_14_IND_JAX,-0.0286188489876041,0.6286341789999194,0.7081561906623713,-0.15596594755389,-0.15596594755389,FALSE,r1,Travis Etienne,0.1273470985662859,68.43825636479765,0.549523105728023,12,FALSE,-0.11808569521528736,-0.2695401170416642,0,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.5067567567567568,0.7123287671232876,0.5393333333333333,62.05882352941177
00-0036997,DAL,DET,2025_14_DAL_DET,-0.11355834840439584,0.8187197665993293,0.7965893751232345,-0.14082027208035594,-0.14082027208035594,FALSE,r2_3,Javonte Williams,0.02726192367596008,70.56008871197426,0.7864581440929184,12,FALSE,-0.05770688384620232,-0.04344326690693585,-0.402581603132136,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.39714285714285713,0.5982905982905983,0.5217647058823529,70.58823529411765
00-0037085,DEN,LV,2025_14_DEN_LV,-0.32981304378303955,0.00611975750165063,0.24297347598902583,-0.2814782313611691,-0.2814782313611691,FALSE,r6_udfa,Tyler Badie,-0.04833481242187043,64.94155020130405,0.20117221481645017,12,FALSE,-0.0511239579815544,0.8921873929749988,0,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.18333333333333332,0.15789473684210525,0.10666666666666667,65.52941176470588
00-0037157,ARI,LA,2025_14_LA_ARI,-0.19890396413167072,0.5805757906897852,0.46542199940438167,NA,-0.08752273338819262,TRUE,udfa,Bam Knight,-0.1113812307434781,73.67543955738388,0.4665511197695915,12,FALSE,-0.20295944789548545,0.12604361347331622,0,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.19011406844106463,0.22950819672131148,0.112,65.47058823529412
00-0037197,KC,HOU,2025_14_HOU_KC,-0.04040561000151996,0.42681495025360594,0.31290315280449776,-0.15677178591572596,-0.15677178591572596,FALSE,r6_udfa,Isiah Pacheco,0.116366175914206,74.25554239181909,0.5376970614158525,12,FALSE,-0.26516959214212893,-0.10196780964771632,1.0995298490638865,2025,14,NA,NA,NA,Full Participation in Practice,0,2,0,0,0,0,0,0.5886524822695035,0.42105263157894735,0.4757142857142857,67.23529411764706
00-0037228,PIT,BAL,2025_14_PIT_BAL,-0.03740449042862346,0.6446232440102762,0.29446986241314,-0.07511013836986594,-0.07511013836986594,FALSE,udfa,Jaylen Warren,0.03770564794124247,59.05683363639887,0.4751405252274677,12,FALSE,-0.3114118536500605,0.32162254864268647,-0.441899743026575,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.31088082901554404,0.47,0.44933333333333336,67.47058823529412
00-0037248,BUF,CIN,2025_14_CIN_BUF,-0.09898982460574168,0.8546804818534112,0.43566433119351056,0.09549035218328104,0.09549035218328104,FALSE,r2_3,James Cook,-0.1944801767890227,68.03319452426013,0.608886971439935,12,FALSE,0.00241306154622832,0.4761254551124785,-0.17023048732457535,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.6088235294117647,0.4810126582278481,0.476875,64.76470588235294
00-0037256,TB,NO,2025_14_NO_TB,-0.01109429484237535,0.3160349408320894,0.614108047981057,-0.0222851882330911,-0.0222851882330911,FALSE,r2_3,Rachaad White,0.01119089339071575,66.96571174338241,0.5535124144520973,12,FALSE,-0.09604802268760015,0.08118121766306154,0,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0.4160835936267313,0.4090909090909091,0.5135135135135135,0.56625,68.29411764705883
