position,player_id,player_name,posteam,defteam,game_id,season,week,report_status,practice_status,team_spread,implied_total,pred_eff,pred_vol,lo_50_vol,hi_50_vol,lo_80_vol,hi_80_vol,lo_90_vol,hi_90_vol,pred_tot,lo_50_tot,hi_50_tot,lo_80_tot,hi_80_tot,lo_90_tot,hi_90_tot,p_start,p_boom,star_bucket,p_start_recal,p_boom_recal,recal_method_start,recal_method_boom,med_vol,med_tot,pred_pass_eff,lo_50_pass_eff,hi_50_pass_eff,lo_80_pass_eff,hi_80_pass_eff,lo_90_pass_eff,hi_90_pass_eff,pred_db,lo_50_db,hi_50_db,lo_80_db,hi_80_db,lo_90_db,hi_90_db,pred_rush,lo_50_rush,hi_50_rush,lo_80_rush,hi_80_rush,lo_90_rush,hi_90_rush,pred_carry,lo_50_carry,hi_50_carry,lo_80_carry,hi_80_carry,lo_90_carry,hi_90_carry
RB,00-0040162,Dylan Sampson,CLE,TEN,2025_14_TEN_CLE,2025,14,Questionable,Limited Participation in Practice,3.5,18.5,-0.0720190120328459,8.58914437237917,5.1578987139544,12.0203900308039,2.32035807012241,14.8579306746359,0.017120996356125,17.1611677484022,-0.618581691906226,-2.5012892950819,1.26412591126945,-4.32038276794021,3.08321938412776,-5.47413786610659,4.23697448229414,0.075,0.0165,b3,0.0713571606873901,0.0211738432073676,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0040198,Ollie Gordon II,MIA,NYJ,2025_14_MIA_NYJ,2025,14,NA,NA,2.5,22,-0.0690067752510344,8.04197674369073,4.61073108526596,11.4732224021155,1.77319044143396,14.3107630459475,-0.53004663233232,16.6140001197138,-0.554950881725912,-2.3704255580918,1.26052379463997,-4.12455781333217,3.01465604988034,-5.23711143552819,4.12720967207636,0.068,0.0155,b3,0.0659742467141266,0.0201638255796286,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0040202,Devin Neal,NO,TB,2025_14_NO_TB,2025,14,NA,NA,-7.5,17.5,-0.10745660457164,16.2539900546944,12.8227443962697,19.6852357131192,9.98520375243767,22.5227763569512,7.68196667867138,24.8260134307175,-1.74659858201867,-4.42462348445677,0.93142632041944,-7.01216156629168,3.51896440225434,-8.65330057215363,5.1601034081163,0.301,0.1145,b3,0.225583475446843,0.0971356755632277,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0040236,Kyle Monangai,CHI,GB,2025_14_CHI_GB,2025,14,NA,Full Participation in Practice,-4.5,20,-0.059309368729531,13.6978198517194,10.2665741932946,17.1290655101441,7.42903354946259,19.9666061539761,5.12579647569631,22.2698432277424,-0.812409048376313,-3.24889283575036,1.62407473899774,-5.60305114841728,3.97823305166466,-7.09616966907384,5.47135157232122,0.234,0.0895,b3,0.181321902927714,0.0798175172754103,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0040242,Jacory Croskey-Merritt,WAS,MIN,2025_14_WAS_MIN,2025,14,NA,NA,-1.5,20,-0.0972325993970152,11.0630081403808,7.63176248195604,14.4942537988056,4.79422183812405,17.3317944426376,2.49098476435777,19.6350315164039,-1.07568503863957,-3.24093995044718,1.08956987316805,-5.33303384250978,3.18166376523065,-6.65993871563718,4.50856863835805,0.124,0.0315,b3,0.107041906113382,0.0351078357611913,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0040583,Woody Marks,HOU,KC,2025_14_HOU_KC,2025,14,NA,Full Participation in Practice,-3.5,19.5,-0.0790923341113447,17.7177647216299,14.2865190632051,21.1490103800546,11.4489784193731,23.9865510238866,9.14574134560681,26.2897880976529,-1.40133936706934,-4.21002376646087,1.40734503232218,-6.9238065384824,4.12112780434371,-8.64501589646891,5.84233716233022,0.383,0.176,b3,0.280586055115393,0.137616393204508,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0040666,Omarion Hampton,LAC,PHI,2025_14_PHI_LAC,2025,14,Questionable,Full Participation in Practice,-2.5,19,-0.0900625800953333,20.0217911950608,16.5905455366361,23.4530368534856,13.7530048928041,26.2905774973176,11.4497678190378,28.5938145710839,-1.80321417315721,-4.8081433745104,1.20171502819599,-7.71154010343565,4.10511175712124,-9.55301159897875,5.94658325266433,0.4575,0.219,b3,0.332476286915147,0.165007557888076,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0040730,RJ Harvey,DEN,LV,2025_14_DEN_LV,2025,14,NA,NA,7.5,24,-0.0495381493189554,13.4269195692992,9.99567391087444,16.858165227724,7.15813326704244,19.695705871556,4.85489619327616,21.9989429453223,-0.665144746517549,-3.07488962167847,1.74460012864337,-5.40321249362364,4.07292300058854,-6.87994495611945,5.54965546308435,0.2595,0.086,b2,0.242319105117682,0.0799986954360508,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0040784,Quinshon Judkins,CLE,TEN,2025_14_TEN_CLE,2025,14,NA,NA,3.5,18.5,-0.0787785049571556,18.1392642547074,14.7080185962826,21.5705099131321,11.8704779524506,24.4080505569641,9.56724087868432,26.7112876307304,-1.42898411900862,-4.27438703464293,1.41641879662569,-7.02364765416326,4.16567941614602,-8.7673587406395,5.90939050262227,0.408,0.185,b2,0.354288440177385,0.147969398768291,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WR,00-0030279,Keenan Allen,LAC,PHI,2025_14_PHI_LAC,2025,14,NA,NA,-2.5,19,0.141200771403738,6.68797018491454,4.82054672425301,7.81219829672413,3.89840162385487,9.78066285210489,3.15759475752412,11.0287680392932,0.944346549235132,-1.79536716104429,3.95491826278251,-4.51039017096918,6.385340703285,-6.28025635657833,7.83542498956578,0.2335,0.0925,NA,0.229003416835198,0.11336717428088,strat_platt,iso,5.99989020227761,1.18985284795199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
