position,bucket,n,stated,emp,threshold,delta_pp,axis
TE,low_implied,1434,0.27512714764294316,0.22105997210599726,start,-5.40671755369459,implied_total
TE,mid_implied,3072,0.28864098711394026,0.27897135416666674,start,-0.9669632947273521,implied_total
TE,high_implied,1031,0.3078053006741248,0.3743937924345295,start,6.658849176040471,implied_total
WR,low_implied,3945,0.24069270873521886,0.1898605830164764,start,-5.083212571874246,implied_total
WR,mid_implied,7876,0.26857931493710796,0.2812341289994918,start,1.2654814062383835,implied_total
WR,high_implied,2671,0.28174390526845555,0.3384500187195808,start,5.670611345112525,implied_total
QB,low_implied,1437,0.094618219887051,0.05636743215031306,boom,-3.8250787736737943,implied_total
QB,mid_implied,2865,0.14559411266863653,0.13647469458987768,boom,-0.9119418078758851,implied_total
QB,high_implied,964,0.19259117834763864,0.2759336099585063,boom,8.334243161086766,implied_total
RB,low_implied,2587,0.1415927412310537,0.09818322381136439,boom,-4.34095174196893,implied_total
RB,mid_implied,5282,0.14525225627506125,0.14521014767133647,boom,-0.004210860372477754,implied_total
RB,high_implied,1856,0.1469906573290622,0.19935344827586235,boom,5.2362790946800155,implied_total
TE,low_implied,1434,0.1072733151271649,0.08716875871687578,boom,-2.0104556410289116,implied_total
TE,mid_implied,3072,0.11689207614650589,0.10579427083333327,boom,-1.1097805313172615,implied_total
TE,high_implied,1031,0.13186644699095862,0.1920465567410281,boom,6.018010975006948,implied_total
WR,low_implied,3945,0.11589186903877084,0.08339670468948024,boom,-3.24951643492906,implied_total
WR,mid_implied,7876,0.1343265516111012,0.13864906043677025,boom,0.4322508825669036,implied_total
WR,high_implied,2671,0.14423432749699325,0.18382628229127684,boom,3.9591954794283595,implied_total
