player_id,posteam,defteam,game_id,source,rolling_epa_per_opp,wt_target_share,wt_air_yards_share,wt_air_yards_per_target,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,baseline_target_share,baseline_air_yards_share,player_name,form_residual,wt_team_total_plays,baseline_team_total_plays,wt_snap_share,baseline_snap_share,games_played_so_far,def_used_fallback,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status
00-0040134,DEN,KC,2026_01_DEN_KC,roster_cold,NA,NA,NA,NA,0.2904337486102968,0.2904337486102968,FALSE,r2_3,0.10698689956331878,0.12978790756568534,Pat Bryant,NA,NA,67.76470588235294,NA,0.4766666666666667,0,TRUE,-0.4778087930510484,0.23098889135787076,2026,1,-3,19.75,NA,NA
00-0040138,HOU,BUF,2026_01_BUF_HOU,roster_cold,NA,NA,NA,NA,0.40499918058079143,0.40499918058079143,FALSE,r2_3,0.07276507276507277,0.08566937385381189,Jaylin Noel,NA,NA,68.70588235294117,NA,0.26,0,TRUE,-0.3925500484588272,0.3064889458292913,2026,1,-1.5,21.5,NA,NA
00-0040154,MIN,GB,2026_01_GB_MIN,roster_cold,NA,NA,NA,NA,NA,0.202775449976989,TRUE,r2_3,0.11513351659139996,0.1578748298261697,Tai Felton,NA,NA,60.05882352941177,NA,0.04411764705882353,0,TRUE,-0.18266523028134526,0.5186057171360654,2026,1,1.5,24,NA,NA
00-0040164,WAS,PHI,2026_01_WAS_PHI,roster_cold,NA,NA,NA,NA,-0.17661524486459984,-0.17661524486459984,FALSE,r4_5,0.07766990291262135,0.12478082992402104,Jaylin Lane,NA,NA,63.11764705882353,NA,0.362,0,TRUE,-0.4076149736417732,0.24181745564151957,2026,1,-5.5,19.5,NA,NA
00-0040170,TEN,NYJ,2026_01_NYJ_TEN,roster_cold,NA,NA,NA,NA,-0.10781689321860706,-0.10781689321860706,FALSE,r4_5,0.15344827586206897,0.29484158156585494,Elic Ayomanor,NA,NA,63.1764705882353,NA,0.805625,0,TRUE,0.04702235833063833,0.36284525168848525,2026,1,1.5,20.5,NA,NA
00-0040172,SF,LA,2026_01_SF_LA,roster_cold,NA,NA,NA,NA,NA,0.1567199440614786,TRUE,r4_5,0.12093023255813953,0.18774373259052926,Jordan Watkins,NA,NA,66.05882352941177,NA,0.1025,0,TRUE,-0.32149267099982304,0.1807232304808516,2026,1,-3.5,22.5,NA,NA
00-0040184,LAC,ARI,2026_01_ARI_LAC,roster_cold,NA,NA,NA,NA,-0.40965723405894056,-0.40965723405894056,FALSE,r4_5,0.046511627906976744,0.10471464019851116,KeAndre Lambert-Smith,NA,NA,68.41176470588235,NA,0.188,0,TRUE,-0.1840464797853476,0.3019310345155143,2026,1,10.5,28.5,NA,NA
00-0040218,CAR,CHI,2026_01_CHI_CAR,roster_cold,NA,NA,NA,NA,0.23057264612489953,0.23057264612489953,FALSE,r6_udfa,0.05725190839694656,0.05545286506469501,Jimmy Horn Jr.,NA,NA,63.11764705882353,NA,0.19230769230769232,0,TRUE,-0.2975137060183501,0.2808296314743651,2026,1,-2.5,22.5,NA,NA
00-0040237,TB,CIN,2026_01_TB_CIN,roster_cold,NA,NA,NA,NA,0.37141804966477654,0.37141804966477654,FALSE,r6_udfa,0.0831758034026465,0.12997481108312342,Tez Johnson,NA,NA,68,NA,0.470625,0,TRUE,-0.33898389945199014,0.5578138661035548,2026,1,-3.5,23.5,NA,NA
00-0040277,CHI,CAR,2026_01_CHI_CAR,roster_cold,NA,NA,NA,NA,0.6853540320356842,0.6853540320356842,FALSE,udfa,0.09009009009009009,0.14541387024608501,Jahdae Walker,NA,NA,69.3529411764706,NA,0.1511111111111111,0,TRUE,-0.21347679484713694,0.3770474251028468,2026,1,2.5,25,NA,NA
00-0040506,MIN,GB,2026_01_GB_MIN,roster_cold,NA,NA,NA,NA,NA,0.10951653016293401,TRUE,udfa,0.07819905213270142,0.11561561561561562,Myles Price,NA,NA,60.05882352941177,NA,0.018125000000000002,0,TRUE,-0.18266523028134526,0.5186057171360654,2026,1,1.5,24,NA,NA
00-0040534,CIN,TB,2026_01_TB_CIN,roster_cold,NA,NA,NA,NA,NA,0.10951653016293401,TRUE,udfa,0.07819905213270142,0.11561561561561562,Ke'Shawn Williams,NA,NA,66.82352941176471,NA,0.035454545454545454,0,TRUE,-0.3431718391851636,0.0951739302649122,2026,1,3.5,27,NA,NA
00-0040563,NE,SEA,2026_01_NE_SEA,roster_cold,NA,NA,NA,NA,NA,0.10951653016293401,TRUE,udfa,0.07819905213270142,0.11561561561561562,Efton Chism III,NA,NA,64.3529411764706,NA,0.17875000000000002,0,TRUE,-0.39789478904345255,-0.17596596258682215,2026,1,-3.5,20.5,NA,NA
00-0040582,NYJ,TEN,2026_01_NYJ_TEN,roster_cold,NA,NA,NA,NA,-0.3955887921147223,-0.3955887921147223,FALSE,r4_5,0.04481792717086835,0.11458885941644563,Arian Smith,NA,NA,63.294117647058826,NA,0.3825,0,TRUE,-0.3389012318146895,0.9017151624170334,2026,1,-1.5,19,NA,NA
00-0040590,LA,SF,2026_01_SF_LA,roster_cold,NA,NA,NA,NA,-0.3810481245758854,-0.3810481245758854,FALSE,r6_udfa,0.06845238095238096,0.09203980099502487,Konata Mumpfield,NA,NA,66.52941176470588,NA,0.32176470588235295,0,TRUE,-0.14159484304931302,0.6100215266451045,2026,1,3.5,26,NA,NA
00-0040621,SEA,NE,2026_01_NE_SEA,roster_cold,NA,NA,NA,NA,NA,0.10951653016293401,TRUE,udfa,0.07819905213270142,0.11561561561561562,Montorie Foster Jr,NA,NA,63,NA,0.16999999999999998,0,TRUE,-0.25929944952232514,0.36185754089731037,2026,1,3.5,24,NA,NA
00-0040646,KC,DEN,2026_01_DEN_KC,roster_cold,NA,NA,NA,NA,NA,0.1567199440614786,TRUE,r4_5,0.12093023255813953,0.18774373259052926,Jalen Royals,NA,NA,66.17647058823529,NA,0.19,0,TRUE,-0.4174581918582657,0.206524597834003,2026,1,3,22.75,NA,NA
00-0040648,SEA,NE,2026_01_NE_SEA,roster_cold,NA,NA,NA,NA,0.4657170734721748,0.4657170734721748,FALSE,r4_5,0.1073170731707317,0.18774373259052926,Tory Horton,NA,NA,63,NA,0.48125,0,TRUE,-0.25929944952232514,0.36185754089731037,2026,1,3.5,24,NA,NA
00-0040667,GB,MIN,2026_01_GB_MIN,roster_cold,NA,NA,NA,NA,0.381791944377613,0.381791944377613,FALSE,r1,0.102803738317757,0.1595836947094536,Matthew Golden,NA,NA,62.294117647058826,NA,0.5321428571428571,0,TRUE,-0.5139389534047581,0.4823889320974282,2026,1,-1.5,22.5,NA,NA
00-0040669,DET,NO,2026_01_NO_DET,roster_cold,NA,NA,NA,NA,0.6604123311396364,0.6604123311396364,FALSE,r2_3,0.05172413793103448,0.11499509964064031,Isaac TeSlaa,NA,NA,65.52941176470588,NA,0.39647058823529413,0,TRUE,-0.3766843009000732,0.389302226663055,2026,1,7,28.25,NA,NA
00-0040705,TEN,NYJ,2026_01_NYJ_TEN,roster_cold,NA,NA,NA,NA,0.021165313771296747,0.021165313771296747,FALSE,r4_5,0.12374581939799331,0.15664225941422594,Chimere Dike,NA,NA,63.1764705882353,NA,0.5929411764705882,0,TRUE,0.04702235833063833,0.36284525168848525,2026,1,1.5,20.5,NA,NA
