player_id,player_name,posteam,defteam,season,week,game_id,epa_per_opp_obs,opportunities,carries,targets,carry_share_obs,target_share_obs,team_total_plays_obs,total_epa,prior_epa_per_opp,baseline_epa_per_opp,rolling_epa_per_opp,form_residual,is_cold_start,draft_tier,wt_carry_share,wt_target_share,wt_snap_share,wt_team_total_plays,def_rush_epa_adj,def_short_pass_epa_adj,def_deep_pass_epa_adj,games_played_so_far,def_used_fallback
00-0033897,Joe Mixon,CIN,ARI,2023,5,2023_05_CIN_ARI,-0.3098604970005469,29,25,4,0.9615384615384616,0.8,82,-8.985954413015861,-9.267080064797178e-4,-9.267080064797178e-4,-0.015060225438718641,-0.014133517432238923,FALSE,r2_3,0.9042015268430363,0.6128246222585845,0.7462279841525125,61.25320676264073,-0.020493885509314747,0.194391214441491,0,4,FALSE
00-0033897,Joe Mixon,CIN,SEA,2023,6,2023_06_SEA_CIN,-0.0861999922490213,16,12,4,0.9230769230769231,0.5714285714285714,54,-1.379199875984341,-9.267080064797178e-4,-9.267080064797178e-4,-0.09455054186255514,-0.09362383385607542,FALSE,r2_3,0.9196619301105289,0.6632948267960175,0.7526379004383356,66.8473982146378,-0.25049675062702825,-0.38799017846492034,0.9194744934528962,4,FALSE
00-0033897,Joe Mixon,CIN,SF,2023,8,2023_08_CIN_SF,0.2249390384454991,19,16,3,0.8888888888888888,1,63,4.273841730464483,-9.267080064797178e-4,-9.267080064797178e-4,-0.07763536976477621,-0.07670866175829649,FALSE,r2_3,0.9391218897817525,0.6181802729973298,0.7531171035135942,64.68100596412759,-0.16874490634049047,-0.0657628267525856,0.26312106670872,7,FALSE
00-0033897,Joe Mixon,CIN,BUF,2023,9,2023_09_BUF_CIN,-0.1357826535916075,20,14,6,0.8235294117647058,1,70,-2.7156530718321497,-9.267080064797178e-4,-9.267080064797178e-4,-0.02164614489921384,-0.020719436892734124,FALSE,r2_3,0.9268392706336456,0.7096364489498075,0.749060300211837,64.78777884698027,-0.04202412986734861,0.023169259219878686,0.35936616053634585,8,FALSE
00-0033897,Joe Mixon,CIN,HOU,2023,10,2023_10_HOU_CIN,-0.30120258358614854,14,11,3,1,0.75,64,-4.216836170206079,-9.267080064797178e-4,-9.267080064797178e-4,-0.05053760015262394,-0.049610892146144225,FALSE,r2_3,0.8962116913804734,0.8130116111859713,0.743808429996916,64.73212320583234,-0.1363502187854985,0.34669159957851126,0.3567732370943275,8,FALSE
00-0033897,Joe Mixon,CIN,BAL,2023,11,2023_11_CIN_BAL,0.22904283513863838,21,16,5,0.8888888888888888,1,65,4.809899537911406,-9.267080064797178e-4,-9.267080064797178e-4,-0.1264040662345343,-0.12547735822805456,FALSE,r2_3,0.9197560216172205,0.8334701842973931,0.7345586899479424,66.05799983484472,-0.13679956172851682,0.30561198343416274,0,10,FALSE
00-0033897,Joe Mixon,CIN,PIT,2023,12,2023_12_PIT_CIN,-0.180295355070848,10,8,2,1,1,44,-1.8029535507084802,-9.267080064797178e-4,-9.267080064797178e-4,-0.00861195780737782,-0.007685249800898103,FALSE,r2_3,0.9064340653589382,0.882377908484238,0.7048215227653059,63.86539845394443,-0.06698676086789347,-0.37618783747139356,0.8588229068971213,10,FALSE
00-0033897,Joe Mixon,CIN,JAX,2023,13,2023_13_CIN_JAX,-0.1405094768477659,26,19,7,0.6785714285714286,1,75,-3.6532463980419134,-9.267080064797178e-4,-9.267080064797178e-4,-0.045622155085761854,-0.044695447079282136,FALSE,r2_3,0.9296721293364258,0.9512960475647181,0.6906162313926465,59.689176094280064,-0.03976545817898496,-0.09389047267762007,0.32700468762787327,11,FALSE
00-0033897,Joe Mixon,CIN,IND,2023,14,2023_14_IND_CIN,0.11111231097694564,25,21,4,0.7241379310344828,0.5,64,2.777807774423641,-9.267080064797178e-4,-9.267080064797178e-4,-0.10357797387690351,-0.1026512658704238,FALSE,r2_3,0.8668443784465363,0.9586016404300104,0.6887381463174587,63.42149479002529,0.0978154783193512,-0.3169080431285372,0,12,FALSE
00-0033897,Joe Mixon,CIN,MIN,2023,15,2023_15_MIN_CIN,0.30298671511431724,13,10,3,0.5555555555555556,0.42857142857142855,68,3.9388272964861244,-9.267080064797178e-4,-9.267080064797178e-4,-0.0418356067082549,-0.04090889870177518,FALSE,r2_3,0.8335470894306588,0.8299907647868738,0.667963298454113,62.790423016577876,-0.11402818838771826,-0.07933362146626549,0.22810365847596786,13,FALSE
00-0033897,Joe Mixon,CIN,PIT,2023,16,2023_16_CIN_PIT,-0.2743912426333613,16,11,5,0.7333333333333333,0.7142857142857143,66,-4.390259882133781,-9.267080064797178e-4,-9.267080064797178e-4,0.08217371003100254,0.08310041803748226,FALSE,r2_3,0.7386744663906066,0.7313217453397203,0.6691795659112779,64.05042460072028,-0.10403095966706494,0.3678878440018984,0.1275014786651518,14,FALSE
00-0033897,Joe Mixon,CIN,KC,2023,17,2023_17_CIN_KC,-0.20563433072762563,25,21,4,0.84,0.6666666666666666,74,-5.140858268190641,-9.267080064797178e-4,-9.267080064797178e-4,-0.031542519835973046,-0.030615811829493328,FALSE,r2_3,0.7192624338964402,0.6945831237795423,0.6513205680667227,64.46250216976951,0.05110597754300825,-0.5346948632918496,0.40152463282230283,15,FALSE
00-0033897,Joe Mixon,CIN,CLE,2023,18,2023_18_CLE_CIN,0.23429889656836167,16,14,2,0.5384615384615384,0.5,68,3.7487823450937867,-9.267080064797178e-4,-9.267080064797178e-4,-0.06068787842305322,-0.0597611704165735,FALSE,r2_3,0.7182304673468111,0.6505152354935209,0.6403368324904235,69.48236461902218,-0.06135292249035658,-0.10477767270698535,0,16,FALSE
00-0033897,Joe Mixon,HOU,IND,2024,1,2024_01_HOU_IND,0.0587952462712385,34,31,3,0.9117647058823529,0.75,80,1.9990383732221089,-0.04563930326029211,-0.04563930326029211,NA,NA,FALSE,r2_3,NA,NA,NA,NA,-0.044780027868679455,-0.05441323968005233,0.43801098687175355,0,TRUE
00-0033897,Joe Mixon,HOU,CHI,2024,2,2024_02_CHI_HOU,-0.2334585761875912,14,9,5,0.5,0.625,64,-3.268420066626277,-0.04563930326029211,-0.04563930326029211,0.0587952462712385,0.10443454953153061,FALSE,r2_3,0.9117647058823529,0.75,0.72,80,-0.17997485406449207,0.27728665864128266,3.383608644686065,1,TRUE
00-0033897,Joe Mixon,HOU,NE,2024,6,2024_06_HOU_NE,0.33370031544109224,16,13,3,0.52,0.75,65,5.339205047057476,-0.04563930326029211,-0.04563930326029211,-0.09917979289569646,-0.05354048963540435,FALSE,r2_3,0.6891891891891891,0.6824324324324325,0.5848648648648649,71.71432856798583,-0.05358452925964083,0.5040463779079043,-0.6694340235559542,5,FALSE
00-0033897,Joe Mixon,HOU,GB,2024,7,2024_07_HOU_GB,-0.018488885632587663,29,26,3,0.896551724137931,0.75,64,-0.5361776833450422,-0.04563930326029211,-0.04563930326029211,0.0690923580612671,0.11473166132155921,FALSE,r2_3,0.6234207968901847,0.7086977648202137,0.5207774538386782,68.9125603954289,-0.07601412137628213,0.2229888521220005,-0.6695453003198111,6,FALSE
00-0033897,Joe Mixon,HOU,IND,2024,8,2024_08_IND_HOU,-0.08738935837003912,31,25,6,0.9259259259259259,0.8571428571428571,73,-2.709070109471213,-0.04563930326029211,-0.04563930326029211,0.04160834482034454,0.08724764808063665,FALSE,r2_3,0.70913245962042315,0.7216588867532263,0.5644671086180519,68.17567633611458,-0.21801693893021465,-0.28707415234974815,0.33982066539767525,7,FALSE
00-0033897,Joe Mixon,HOU,NYJ,2024,9,2024_09_HOU_NYJ,0.03503571818752486,24,24,0,0.8571428571428571,0,82,0.8408572365005966,-0.04563930326029211,-0.04563930326029211,0.006825241703693714,0.052464544963985824,FALSE,r2_3,0.7675889228521081,0.7581909551247126,0.6171908436569421,69.13860740401192,0.01585627384740709,-0.21816752816614365,0.8212492729372538,8,FALSE
00-0033897,Joe Mixon,HOU,DET,2024,10,2024_10_DET_HOU,-0.16121224406135864,29,25,4,0.9615384615384616,1,69,-4.675155077779401,-0.04563930326029211,-0.04563930326029211,0.008214193319350367,0.05385349657964248,FALSE,r2_3,0.7744869862350292,0.5547313674880533,0.5894696156432377,71.78566384835375,-0.0393683998417837,-0.14321977010409873,0.0988113024092345,8,FALSE
