player_id,season,season_share,n_weeks,prior_share,prior_n_weeks,abs_delta,cohort
00-0029931,2018,0.03492949545581124,10,0.03752925297053565,7,0.00259975751472441,stable
00-0029931,2019,0.03464158157329664,8,0.03492949545581124,10,2.879138825146038e-4,stable
00-0030107,2015,0.139380965922118,16,0.07521800934637324,13,0.06416295657574475,stable
00-0030107,2016,0.5060095704948646,10,0.139380965922118,16,0.3666286045727466,role_change
00-0030107,2017,0.26558223033953293,16,0.5060095704948646,10,0.24042734015533168,role_change
00-0030107,2018,0.1211097484499019,14,0.26558223033953293,16,0.14447248188963102,stable
00-0030112,2015,0.011764705882352941,5,0.03333333333333333,1,0.021568627450980392,stable
00-0030112,2018,0.004464285714285715,7,0.01533628972653363,9,0.010872004012247916,stable
00-0030117,2015,0.1893088893088893,5,0.4964367816091954,4,0.3071278923003061,role_change
00-0030117,2016,0.20760869565217394,4,0.1893088893088893,5,0.018299806343284625,stable
00-0030117,2017,0.3350683768126297,15,0.20760869565217394,4,0.12745968116045575,stable
00-0030247,2015,0.08482142857142858,2,0.19591563120974886,5,0.11109420263832029,stable
00-0030280,2015,0.1462905733087528,9,0.3211940094474756,15,0.1749034361387228,stable
00-0030280,2016,0.16815521435086653,6,0.1462905733087528,9,0.02186464104211372,stable
00-0030282,2015,0.09903009903009903,6,0.2348344798560316,12,0.13580438082593255,stable
00-0030282,2016,0.06305418719211822,2,0.09903009903009903,6,0.03597591183798081,stable
00-0030287,2015,0.19198065006888537,10,0.7654388861625704,12,0.5734582360936851,role_change
00-0030287,2016,0.09743199218461587,13,0.19198065006888537,10,0.0945486578842695,stable
00-0030287,2017,0.09343677841701557,11,0.09743199218461587,13,0.0039952137676003,stable
00-0030288,2015,0.01240079365079365,12,0.08912644827873635,4,0.0767256546279427,stable
00-0030288,2016,0.30287867448336614,9,0.01240079365079365,12,0.2904778808325725,role_change
00-0030288,2017,0.26362955355839607,10,0.30287867448336614,9,0.03924912092497007,stable
00-0030288,2018,0.2442360652162116,8,0.26362955355839607,10,0.01939348834218446,stable
00-0030288,2019,0.2072583406685652,13,0.2442360652162116,8,0.03697772454764642,stable
00-0030288,2020,0.299531490015361,10,0.2072583406685652,13,0.09227314934679581,stable
00-0030288,2021,0.38127342545409776,14,0.299531490015361,10,0.08174193543873676,stable
00-0030288,2022,0.06956919952722053,15,0.38127342545409776,14,0.31170422592687724,role_change
00-0030348,2015,0.2829513888888889,8,0.3791312774071395,9,0.0961798885182506,stable
00-0030348,2016,0.2962962962962963,1,0.2829513888888889,8,0.013344907407407403,stable
00-0030388,2015,0.537411719825513,6,0.1198986937875951,14,0.41751302603791784,role_change
00-0030404,2015,0.12088669869030401,13,0.07894736842105263,2,0.04193933026925138,stable
00-0030404,2016,0.20020440999059422,16,0.12088669869030401,13,0.07931771130029021,stable
00-0030404,2017,0.3050190258084995,10,0.20020440999059422,16,0.10481461581790527,stable
00-0030404,2018,0.22509039247883061,10,0.3050190258084995,10,0.07992863332966887,stable
00-0030404,2019,0.1806557974413675,11,0.22509039247883061,10,0.04443459503746311,stable
00-0030404,2020,0.07279202279202279,6,0.1806557974413675,11,0.10786377464934471,stable
00-0030414,2016,0.7493213897328804,14,0.369957306859141,9,0.3793640828737394,role_change
00-0030414,2019,0.2585470085470085,3,0.22433886641292508,11,0.034208142134083436,stable
00-0030432,2015,0.267335927960928,8,0.12404750936452827,10,0.1432884185963997,stable
00-0030432,2016,0.5018160768237045,15,0.267335927960928,8,0.23448014886277657,role_change
00-0030433,2016,0.2714516595040573,15,0.33359358782147386,5,0.06214192831741655,stable
00-0030433,2017,0.4798074951687755,9,0.2714516595040573,15,0.20835583566471821,role_change
00-0030433,2018,0.20388795986622074,4,0.4798074951687755,9,0.27591953530255475,role_change
00-0030456,2015,0.39830880933891516,16,0.5247080350448166,13,0.1263992257059014,stable
00-0030456,2016,0.3955838942497428,10,0.39830880933891516,16,0.002724915089172386,stable
00-0030456,2017,0.31805645629217105,16,0.3955838942497428,10,0.07752743795757172,stable
00-0030456,2018,0.26180766471714745,12,0.31805645629217105,16,0.056248791575023604,stable
00-0030456,2019,0.17981375079613038,16,0.26180766471714745,12,0.08199391392101707,stable
00-0030456,2020,0.39809950032880537,16,0.17981375079613038,16,0.218285749532675,role_change
00-0030456,2021,0.049432234432234434,10,0.39809950032880537,16,0.34866726589657093,role_change
00-0030456,2022,0.2069377990430622,2,0.049432234432234434,10,0.15750556461082776,stable
00-0030465,2016,0.10520112249201652,10,0.21263238573021181,5,0.1074312632381953,stable
00-0030465,2017,0.07577348577348578,9,0.10520112249201652,10,0.029427636718530742,stable
00-0030465,2018,0.11593307108012992,6,0.07577348577348578,9,0.04015958530664414,stable
00-0030465,2019,0.022748835604623083,8,0.11593307108012992,6,0.09318423547550683,stable
00-0030465,2020,0,1,0.022748835604623083,8,0.022748835604623083,stable
00-0030465,2021,0.23529411764705882,1,0,1,0.23529411764705882,role_change
00-0030485,2015,0.5261567457046925,15,0.6805798017913335,16,0.15442305608664098,stable
00-0030485,2016,0.7073388599704389,5,0.5261567457046925,15,0.18118211426574637,stable
00-0030485,2017,0.37915707478572974,9,0.7073388599704389,5,0.32818178518470914,role_change
00-0030496,2015,0.8283664288927447,6,0.7631838756465077,16,0.06518255324623701,stable
00-0030496,2016,0.9367157746468091,12,0.8283664288927447,6,0.10834934575406441,stable
00-0030496,2017,0.8603918644773952,15,0.9367157746468091,12,0.07632391016941387,stable
00-0030496,2020,0.4015612352669065,11,0.7841028956935799,15,0.3825416604266734,role_change
00-0030496,2021,0.25656345713918033,8,0.4015612352669065,11,0.14499777812772618,stable
00-0030513,2015,0.7977739633418639,16,0.3679095247870603,10,0.4298644385548036,role_change
00-0030513,2016,0.5545421639472828,14,0.7977739633418639,16,0.24323179939458106,role_change
00-0030513,2017,0.4733922901245105,16,0.5545421639472828,14,0.08114987382277233,stable
00-0030513,2018,0.4426612955686098,16,0.4733922901245105,16,0.030730994555900726,stable
00-0030513,2019,0.4169474197296635,16,0.4426612955686098,16,0.0257138758389463,stable
00-0030513,2020,0.4070257618198795,15,0.4169474197296635,16,0.009921657909783999,stable
00-0030513,2021,0.42977142507285,14,0.4070257618198795,15,0.022745663252970505,stable
00-0030513,2022,0.6132917671361607,13,0.42977142507285,14,0.18352034206331075,stable
00-0030513,2023,0.23207474235837364,15,0.6132917671361607,13,0.3812170247777871,role_change
00-0030536,2015,0.1941794735912383,6,0.4096569770099182,9,0.2154775034186799,role_change
00-0030547,2015,0.3392592778738289,12,0.5088692495342112,13,0.16960997166038227,stable
00-0030547,2016,0.2540636446886447,6,0.3392592778738289,12,0.08519563318518425,stable
00-0030578,2015,0.01695402298850575,4,0.031787106311562834,16,0.014833083323057085,stable
00-0030578,2016,0.020753238795518207,16,0.01695402298850575,4,0.0037992158070124585,stable
00-0030578,2017,0.04473051315156577,15,0.020753238795518207,16,0.023977274356047566,stable
00-0030578,2018,0.11337324373576083,15,0.04473051315156577,15,0.06864273058419505,stable
00-0030578,2019,0.07344947071626663,12,0.11337324373576083,15,0.039923773019494194,stable
00-0030578,2020,0.2210484141856691,15,0.07344947071626663,12,0.14759894346940244,stable
00-0030578,2021,0.4645132882468409,16,0.2210484141856691,15,0.24346487406117182,role_change
00-0030578,2022,0.4298061553881316,13,0.4645132882468409,16,0.0347071328587093,stable
00-0030578,2023,0.14799023649237122,12,0.4298061553881316,13,0.2818159188957604,role_change
00-0030578,2024,0.10532642935267533,13,0.14799023649237122,12,0.04266380713969589,stable
00-0030656,2015,0.6142248782027226,16,0.4090015804433596,15,0.20522329775936304,role_change
00-0030656,2016,0.7130452352894808,16,0.6142248782027226,16,0.09882035708675818,stable
00-0030656,2017,0.6983958259877378,16,0.7130452352894808,16,0.014649409301743077,stable
00-0030656,2018,0.4941829383747993,13,0.6983958259877378,16,0.20421288761293843,role_change
00-0030668,2015,0.5525023457082225,13,0,1,0.5525023457082225,role_change
00-0030668,2016,0.282863277356031,15,0.5525023457082225,13,0.26963906835219154,role_change
00-0030668,2017,0.06584602577954586,12,0.282863277356031,15,0.21701725157648516,role_change
00-0030668,2018,0.05745341614906832,2,0.06584602577954586,12,0.00839260963047754,stable
00-0030705,2015,0.1084033613445378,7,0.16028697327092972,12,0.05188361192639192,stable
00-0030705,2016,0.10221383879278616,4,0.1084033613445378,7,0.006189522551751647,stable
00-0030711,2018,0.06334841628959276,2,0.06084656084656084,3,0.002501855443031914,stable
00-0030741,2016,0,1,0,3,0,stable
00-0030741,2017,0.03125,4,0,1,0.03125,stable
00-0030741,2018,0.0125,5,0.03125,4,0.01875,stable
00-0030741,2019,0,2,0.0125,5,0.0125,stable
00-0030789,2015,0.5327352139686283,14,0,1,0.5327352139686283,role_change
00-0030789,2016,0.125,1,0.5327352139686283,14,0.40773521396862833,role_change
00-0030855,2015,0.0607541627762216,4,0.22999999999999998,2,0.1692458372237784,stable
00-0030860,2015,0.20309427533755336,8,0.07962962962962963,4,0.12346464570792373,stable
00-0030860,2016,0.4196428571428571,4,0.20309427533755336,8,0.21654858180530373,role_change
00-0030860,2017,0.47958217837214867,15,0.4196428571428571,4,0.059939321229291576,stable
00-0030874,2015,0.058336774483989336,13,0.1396656332034498,12,0.08132885871946047,stable
00-0030874,2016,0.09766464566160307,15,0.058336774483989336,13,0.03932787117761374,stable
00-0030874,2017,0.2564155558775234,10,0.09766464566160307,15,0.15875091021592033,stable
00-0030874,2018,0.30052466031298986,10,0.2564155558775234,10,0.04410910443546645,stable
00-0030874,2019,0.536683351782166,11,0.30052466031298986,10,0.23615869146917612,role_change
00-0030874,2022,0.07692307692307693,1,0.14848117568705804,10,0.07155809876398112,stable
00-0030874,2023,0.18492063492063493,3,0.07692307692307693,1,0.107997557997558,stable
00-0030968,2017,0,4,0.016741071428571428,4,0.016741071428571428,stable
00-0030968,2018,0.006896551724137931,5,0,4,0.006896551724137931,stable
00-0030968,2019,0.035267268962921136,6,0.006896551724137931,5,0.028370717238783205,stable
00-0030968,2020,0.013763121572046056,12,0.035267268962921136,6,0.02150414739087508,stable
00-0030968,2021,0.051341405508072174,9,0.013763121572046056,12,0.03757828393602612,stable
00-0030968,2022,0.014705882352941176,2,0.051341405508072174,9,0.036635523155130995,stable
00-0030968,2023,0,3,0.014705882352941176,2,0.014705882352941176,stable
00-0031045,2015,0.7909992784992785,7,0.271524175259104,14,0.5194751032401745,role_change
00-0031045,2016,0.7494584726485178,13,0.7909992784992785,7,0.0415408058507607,stable
00-0031045,2017,0.6842607014409452,16,0.7494584726485178,13,0.06519777120757264,stable
00-0031045,2018,0.5457319966643607,14,0.6842607014409452,16,0.13852870477658452,stable
00-0031045,2019,0.708407168624511,16,0.5457319966643607,14,0.16267517196015036,stable
00-0031045,2020,0.3626220046961724,10,0.708407168624511,16,0.34578516392833863,role_change
00-0031045,2021,0.3629510689264235,11,0.3626220046961724,10,3.29064230251086e-4,stable
00-0031055,2015,0.2285764282705199,16,0.5451496145193934,16,0.31657318624887343,role_change
00-0031055,2016,0.72,1,0.2285764282705199,16,0.49142357172948004,role_change
00-0031055,2017,0.13627450980392156,2,0.72,1,0.5837254901960784,role_change
00-0031057,2015,0.2037963871992678,7,0.16062874421388354,10,0.04316764298538425,stable
00-0031057,2016,0.14323192115761776,11,0.2037963871992678,7,0.06056446604165003,stable
00-0031060,2015,0.04648540871366958,10,0.05814474374256983,12,0.01165933502890025,stable
00-0031060,2016,0.027562111801242236,7,0.04648540871366958,10,0.018923296912427345,stable
00-0031060,2017,0.005847953216374269,9,0.027562111801242236,7,0.021714158584867967,stable
00-0031060,2018,0.015151515151515152,3,0.005847953216374269,9,0.009303561935140883,stable
00-0031060,2019,0.043750000000000004,3,0.015151515151515152,3,0.028598484848484852,stable
00-0031062,2015,0.11052105261535086,12,0.13392857142857142,3,0.023407518813220562,stable
00-0031062,2016,0.09984242973355277,16,0.11052105261535086,12,0.010678622881798092,stable
00-0031062,2017,0.120587072657194,14,0.09984242973355277,16,0.020744642923641227,stable
00-0031062,2018,0.21785484452252307,16,0.120587072657194,14,0.09726777186532908,stable
00-0031062,2019,0.19260365736949395,15,0.21785484452252307,16,0.025251187153029125,stable
00-0031062,2020,0.12288368919462783,14,0.19260365736949395,15,0.06971996817486611,stable
00-0031062,2021,0.1487438099132252,3,0.12288368919462783,14,0.025860120718597362,stable
00-0031066,2015,0.19252070393374743,3,0.2775632675213852,10,0.08504256358763779,stable
00-0031066,2016,0.1,1,0.19252070393374743,3,0.09252070393374742,stable
00-0031075,2015,0.4563828831748145,14,0.3685611256000317,16,0.08782175757478283,stable
00-0031075,2016,0.29348430601383285,14,0.4563828831748145,14,0.16289857716098166,stable
00-0031075,2017,0.3593542568542568,8,0.29348430601383285,14,0.06586995084042396,stable
00-0031075,2018,0.4169424528018278,16,0.3593542568542568,8,0.057588195947570975,stable
00-0031085,2015,0.04442815249266862,4,0,3,0.04442815249266862,stable
00-0031085,2016,0.0381369798971482,4,0.04442815249266862,4,0.006291172595520422,stable
00-0031085,2017,0,4,0.0381369798971482,4,0.0381369798971482,stable
00-0031102,2017,0.42215219421101774,3,0.13661138638891698,8,0.2855408078221008,role_change
00-0031102,2018,0.13443274291227508,9,0.42215219421101774,3,0.28771945129874266,role_change
00-0031209,2020,0.06896551724137931,1,0.1875,1,0.11853448275862069,stable
00-0031277,2015,0.22147220701818401,6,0.5262628296932809,14,0.3047906226750968,role_change
00-0031285,2015,0.7456705149707178,15,0.1872221956964604,16,0.5584483192742574,role_change
00-0031285,2016,0.6133895658514348,16,0.7456705149707178,15,0.132280949119283,stable
00-0031285,2017,0.5991728940993647,14,0.6133895658514348,16,0.014216671752070087,stable
00-0031285,2018,0.4222222222222222,2,0.5991728940993647,14,0.17695067187714247,stable
00-0031285,2019,0.6905186411062428,14,0.4222222222222222,2,0.2682964188840206,role_change
00-0031285,2020,0.6075483091787439,5,0.6905186411062428,14,0.08297033192749892,stable
00-0031285,2021,0.4508771352912977,16,0.6075483091787439,5,0.15667117388744622,stable
00-0031301,2015,0.5923905954229896,16,0.513454647442579,16,0.07893594798041059,stable
00-0031301,2016,0.6090956536889397,15,0.5923905954229896,16,0.016705058265950146,stable
00-0031301,2017,0.2539954443315788,7,0.6090956536889397,15,0.3551002093573609,role_change
00-0031301,2018,0.13333333333333333,1,0.2539954443315788,7,0.12066211099824545,stable
00-0031332,2015,0.3148262813897489,3,0.17333333333333334,2,0.14149294805641555,stable
00-0031332,2016,0.08013037221962171,6,0.3148262813897489,3,0.23469590917012717,role_change
00-0031332,2017,0.12202380952380953,2,0.08013037221962171,6,0.04189343730418782,stable
00-0031375,2015,0.36374712197505066,8,0.45661173464771665,14,0.09286461267266599,stable
00-0031375,2016,0.5779543344904599,16,0.36374712197505066,8,0.2142072125154092,role_change
00-0031375,2017,0.27395782509442146,5,0.5779543344904599,16,0.3039965093960384,role_change
00-0031376,2015,0.12512831255982992,16,0.48718481235227645,11,0.36205649979244653,role_change
00-0031376,2016,0.4753539732503927,15,0.12512831255982992,16,0.35022566069056277,role_change
00-0031376,2017,0.3289007875772587,16,0.4753539732503927,15,0.14645318567313398,stable
