axis,position,bucket,n,mean_tot_resid,se,mean_vol_resid
opp_sack,RB,mid,3643,0.15507174664538903,0.06420148957303237,-0.27722516419166066
opp_sack,RB,hi,3714,0.23662136923101693,0.06278658570152935,-0.31339407847141887
opp_sack,TE,lo,2071,0.17929349085092075,0.07974464832700683,0.0029415555046033155
opp_sack,TE,mid,2093,0.048501196918608463,0.07768069448559808,-0.10122337776221631
opp_sack,TE,hi,2074,-0.04473935225308374,0.07807315929700835,-0.04737657469778136
opp_sack,WR,lo,5374,0.19474171766501128,0.05891803810299868,-0.06474325669662195
opp_sack,WR,mid,5473,0.20326349910418717,0.05759543214311524,-0.07639962108107864
opp_sack,WR,hi,5477,0.13828887385469277,0.05898724962103621,-0.0838598066452246
opp_stuff,QB,lo,1986,-0.1453821918201125,0.23634111169138328,-0.7272384270252037
opp_stuff,QB,mid,1975,-0.278558064728267,0.23707846027063673,-0.7485794134988186
opp_stuff,QB,hi,1956,-0.6451840515818099,0.23534761081827787,-0.2662012088284542
opp_stuff,RB,lo,3734,0.4132538207184179,0.0638125946776011,-0.1273823943198245
opp_stuff,RB,mid,3617,0.2890542016898293,0.0643697757387301,-0.3731561382120603
opp_stuff,RB,hi,3652,0.18416398333209,0.06386503719278955,-0.37076497297156447
opp_stuff,TE,lo,2093,0.12104906074457437,0.08003371997279814,-0.0222642196686795
opp_stuff,TE,mid,2088,0.06194898132835162,0.07965048872186249,-0.12095886894155826
opp_stuff,TE,hi,2057,-0.0012954540699966492,0.07569884728683485,-0.0023658016591952147
opp_stuff,WR,lo,5434,0.20244658903504834,0.05947807589695269,-0.0677496442195222
opp_stuff,WR,mid,5484,0.2117270871995543,0.05743284182825554,-0.14071216043858295
opp_stuff,WR,hi,5406,0.12119962493753811,0.05858823401634274,-0.015824730692973042
box,QB,lo,725,0.22621589922240115,0.3744660348727619,-1.3370105347814916
box,QB,mid,719,-0.19967157992746076,0.378135810827109,-1.403194563885619
box,QB,hi,722,-0.35008184406844434,0.38574757091300177,-1.2837546586659203
box,RB,lo,1301,0.6114265624409088,0.1086385767436384,-0.43598019958045103
box,RB,mid,1290,0.1708446062526766,0.10813428021397134,-0.48148247198852095
box,RB,hi,1301,0.40920347060103224,0.10645275456861018,-0.7248636250877568
box,TE,lo,756,0.11109967174828253,0.12353006208253876,-0.030240887788131082
box,TE,mid,737,0.246966147936398,0.12785269469910132,-0.12367741537485322
box,TE,hi,763,0.15048204750434035,0.11770310215485216,-0.12185036185641702
box,WR,lo,1935,0.23630449912000887,0.09785298261189466,-0.18350610834674086
box,WR,mid,1929,0.20461029512826545,0.09844092541937047,-0.27697004389972646
box,WR,hi,1922,0.03387825351507103,0.09878225540108919,-0.18958584385103422
blitz,QB,lo,718,-0.1151942768916809,0.3851640770478441,-1.4857499090459876
blitz,QB,mid,724,0.10054745801742752,0.37464614135092605,-1.8608475869831276
blitz,QB,hi,724,-0.30718687741078804,0.37878860147440696,-0.6782849517076402
blitz,RB,lo,1328,0.23441945289513394,0.11013402791508611,-0.3811913191262106
blitz,RB,mid,1302,0.6086510809902685,0.10819201640537826,-0.447829652656541
blitz,RB,hi,1262,0.3521842109028928,0.10455759683194385,-0.8257321118859794
blitz,TE,lo,743,0.15341343842944816,0.12153617889366984,-0.1086348912700756
blitz,TE,mid,740,0.19644634573848233,0.11935279306543173,-0.16671560822807363
blitz,TE,hi,773,0.1571367716909203,0.12752281161888127,-0.0037502174554974285
blitz,WR,lo,1920,0.2125086475991729,0.09982460634709259,-0.2829724796669175
blitz,WR,mid,1897,0.1903422381302994,0.09937735227524594,-0.2724052101484364
blitz,WR,hi,1969,0.0751450681726864,0.09597016579039166,-0.0983665218908775
