player_id,season,week,opportunities,epa_per_opp_obs,total_epa,pred_eff,med_eff,lo_50_eff,hi_50_eff,lo_80_eff,hi_80_eff,lo_90_eff,hi_90_eff,pred_vol,med_vol,lo_50_vol,hi_50_vol,lo_80_vol,hi_80_vol,lo_90_vol,hi_90_vol,fold,alpha_fold,pred_tot,med_tot,lo_50_tot,hi_50_tot,lo_80_tot,hi_80_tot,lo_90_tot,hi_90_tot,it_c,p_start_sim,p_boom_sim,p_start_norm,p_boom_norm,position,fantasy_points_ppr,hit_start,hit_boom
00-0040189,2025,8,5,1.4002838481683284,7.001419240841642,0.19437417106573704,0.23670858888606863,-0.15488767582773538,0.6180045375163631,-0.5490611898209817,1.049586270766343,-0.8808290312774201,1.316121456393632,5.340918074667904,4.832455541928505,3.8578693248715368,6.47847040995908,2.9996866546980296,8.57809401265722,2.4854660948828182,9.911674663857733,194,0.5556958892597728,1.0381365234935862,1.2636997182699552,-0.723286451281095,3.3970746284536553,-2.609965145519123,5.506527860090759,-4.2602465294569765,6.679579731784236,0,0.2975,0.104,0.2924403135067687,0.06582672513807146,TE,18.7,TRUE,TRUE
00-0040194,2025,8,3,0.5155569249764085,1.5466707749292254,0.21312402201172245,0.34932010580331685,-0.04227615891048714,0.7306160544336113,-0.4364496729037335,1.1621977876835912,-0.7682175143601718,1.4287329733108804,3.7229539355932815,3.2144914028538825,2.239905185796914,4.860506270884457,1.381722515623407,6.960129873582597,0.8675019558081956,8.29371052478311,194,0.5556958892597728,0.7934509165180113,0.97978244481015,-0.6616119769830711,2.7421045640226525,-2.2201451625150663,4.484665644971267,-3.583397056008026,5.453691412828933,0,0.1325,0.0315,0.13155233172396577,0.016192513911831272,TE,3.5,FALSE,FALSE
00-0040584,2025,8,3,0.4898780631289507,1.469634189386852,0.1924349022856989,0.23670858888606863,-0.15488767582773538,0.6180045375163631,-0.5490611898209817,1.049586270766343,-0.8808290312774201,1.316121456393632,4.279618421684394,3.771155888944995,2.796569671888027,5.41717075697557,1.9383870017145195,7.516794359673709,1.4241664418993083,8.850375010874224,194,0.5556958892597728,0.8235479527969134,1.0248812511588326,-0.7486637622989194,2.9290899929071843,-2.4326762840966296,4.811946712004344,-3.9056851878004974,5.858989881932054,0,0.1875,0.0415,0.17786920762157493,0.027333439338975512,TE,10.3,FALSE,FALSE
00-0040663,2025,8,9,-0.03886479172472739,-0.34978312552254653,0.1813964422809145,0.18861929660288695,-0.20297696811091703,0.5699152452331814,-0.5971504821041634,1.001496978483161,-0.9289183235606018,1.2680321641104504,6.222137993425589,5.71367546068619,4.739089243629222,7.3596903287167645,3.8809065734557144,9.459313931414904,3.366686013640503,10.792894582615418,194,0.5556958892597728,1.12867369538831,1.3715545512242882,-0.7679828935848194,3.668719762588394,-2.799511735860489,5.940126703574256,-4.576493815310096,7.2032398760019625,0,0.37,0.147,0.3935238383436214,0.11402285542975409,TE,18.4,TRUE,TRUE
00-0040736,2025,8,8,0.3814840042596265,3.051872034077012,0.21064985188322663,0.2526258144633837,-0.13897045025042026,0.6339217630936782,-0.5331439642436666,1.0655034963436585,-0.864911805700105,1.332038681970947,5.993615050062301,5.485152517322902,4.510566300265934,7.131167385353477,3.6523836300924266,9.230790988051616,3.138163070277215,10.56437163925213,194,0.5556958892597728,1.2625541225407018,1.5009565960561568,-0.599130779154212,3.7557653028926214,-2.5932010789705924,5.985290685728447,-4.3374181012439035,7.225113822880419,0,0.3655,0.1455,0.3777714538243568,0.10504408162330933,TE,14.4,TRUE,FALSE
00-0030061,2025,9,4,0.4622271934640594,1.8489087738562375,0.22172048733656505,0.23946071089734697,-0.1675231275453352,0.6286462384578956,-0.5253743349991635,1.0227293336689849,-0.8193142749361105,1.3222279645309871,6.111502581132474,5.580260820824241,4.64913977962832,7.227625166201497,3.726680800376664,9.260375305732662,3.2326818956616417,10.624453467877457,195,0.5685344686751397,1.355045330647367,1.6190790220974862,-0.5586605224502679,3.912700743764905,-2.6304208324695812,6.05409554435114,-4.397298012322187,7.441473518912632,0,0.388,0.1455,0.3971013695517114,0.11484138771283466,TE,8.600000000000001,FALSE,FALSE
00-0030506,2025,9,6,0.967305431834388,5.803832591006327,0.17873677934568866,0.3545999753248448,-0.05238386311783738,0.7437855028853934,-0.41023507057166575,1.1378685980964829,-0.7041750105086128,1.4373672289584851,6.502286112248996,5.971044351940762,5.039923310744841,7.618408697318018,4.117464331493185,9.651158836849184,3.623465426778163,11.015236998993975,195,0.5685344686751397,1.1621976780875845,1.4372747380035304,-0.8315500770676925,3.826828572177069,-2.989963012177249,6.057788502439752,-4.830740896230935,7.503194397946896,0,0.42,0.1755,0.4269342870800935,0.13365409419626367,TE,12.600000000000001,TRUE,FALSE
00-0033090,2025,9,6,-0.0698836341034621,-0.4193018046207726,0.17210882219745555,0.2210116368283616,-0.18597220161432057,0.6101971643889101,-0.5438234090681489,1.0042802595999996,-0.837763349005096,1.303778890462002,5.390885753358629,4.859643993050395,3.9285229518544744,6.507008338427651,3.006063972602818,8.539758477958816,2.512065067887796,9.90383664010361,195,0.5685344686751397,0.9278189976115966,1.175089486171389,-0.8643878175727616,3.323091737600731,-2.8046143895064564,5.328531784407756,-4.459314519205021,6.627826687655837,0,0.279,0.083,0.28976957158004424,0.06454851841551829,TE,9.100000000000001,FALSE,FALSE
00-0033110,2025,9,4,0.04877720534568652,0.1951088213827461,0.21313127445052857,0.2279196916967274,-0.17906414674595472,0.617105219257276,-0.5369153541997831,1.011188314468365,-0.8308552941367301,1.3106869453303678,4.944160157690739,4.412918397382505,3.4817973561865845,6.060282742759761,2.559338376934928,8.093032882290927,2.065339472219906,9.457111044435718,195,0.5685344686751397,1.0537551554961535,1.2878126978098556,-0.6426847428643176,3.3210360346589645,-2.479234933724349,5.219315005785053,-4.045515842858228,6.449181835289168,0,0.2545,0.0745,0.2511911272318804,0.04918482101875234,TE,10.3,FALSE,FALSE
00-0033288,2025,9,4,0.6920827711583115,2.768331084633246,0.35343646454062805,0.4492774646965027,0.0422936262538206,0.8384629922570513,-0.31555758120000776,1.2325460874681406,-0.6094975211369548,1.532044718330143,5.217941631747772,4.686699871439538,3.7555788302436177,6.334064216816794,2.8331198509919613,8.366814356347959,2.3391209462769393,9.730892518492752,195,0.5685344686751397,1.844210842504288,2.0855513092870375,0.0949845928735038,4.182040336464253,-1.7987116151215834,6.139386074810184,-3.413728853987763,7.40752138794325,0,0.3065,0.0985,0.3319654853742837,0.07980537550599781,TE,6.9,FALSE,FALSE
