stratum,bin,n,pred,emp,delta,method,threshold,position
exante_high,"[0.5,0.6)",332,0.5380573604804166,0.6204819277108434,0.08242456723042679,platt,15+,RB_3C
exante_high,"[0.6,0.7)",68,0.6343990086188049,0.8088235294117647,0.17442452079295978,platt,15+,RB_3C
exante_high,"[0.7,0.8)",1,0.727188321590359,1,0.27281167840964105,platt,15+,RB_3C
exante_low,"[0,0.1)",6,0.015151515151515152,0.6666666666666666,0.6515151515151515,iso,15+,RB_3C
exante_low,"[0.1,0.2)",1733,0.16690559155646256,0.10732833237160992,-0.05957725918485264,iso,15+,RB_3C
exante_mid,"[0.1,0.2)",2497,0.17636075426618275,0.18622346816179416,0.009862713895611414,iso,15+,RB_3C
exante_mid,"[0.2,0.3)",532,0.22145555740509798,0.11090225563909774,-0.11055330176600024,iso,15+,RB_3C
exante_high,"[0.1,0.2)",280,0.18675828442208076,0.4392857142857143,0.2525274298636335,iso,15+,RB_3C
exante_high,"[0.2,0.3)",2011,0.25803959478393496,0.30183988065638984,0.04380028587245488,iso,15+,RB_3C
exante_high,"[0.3,0.4)",1327,0.3427854186756317,0.36623963828183875,0.023454219606207027,iso,15+,RB_3C
exante_high,"[0.4,0.5)",620,0.446976921301221,0.4467741935483871,-2.0272775283391997e-4,iso,15+,RB_3C
exante_high,"[0.5,0.6)",511,0.5488998138148885,0.5499021526418787,0.00100233882699019,iso,15+,RB_3C
exante_high,"[0.6,0.7)",211,0.6325196913078492,0.5971563981042654,-0.03536329320358389,iso,15+,RB_3C
exante_high,"[0.7,0.8)",126,0.7427087659618945,0.7142857142857143,-0.0284230516761802,iso,15+,RB_3C
exante_high,"[0.8,0.9)",41,0.8395997527040946,0.8048780487804879,-0.03472170392360674,iso,15+,RB_3C
exante_high,"[0.9,1]",4,0.9362345987345987,1,0.06376540126540131,iso,15+,RB_3C
exante_low,"[0,0.1)",795,0.07590083469889279,0.06289308176100629,-0.013007752937886502,strat_platt,15+,RB_3C
exante_low,"[0.1,0.2)",815,0.13537726754397722,0.12147239263803682,-0.013904874905940404,strat_platt,15+,RB_3C
exante_low,"[0.2,0.3)",107,0.2311667813429603,0.308411214953271,0.07724443361031072,strat_platt,15+,RB_3C
exante_low,"[0.3,0.4)",19,0.34671499806448214,0.3157894736842105,-0.03092552438027163,strat_platt,15+,RB_3C
exante_low,"[0.4,0.5)",3,0.4401177695141034,0.6666666666666666,0.2265488971525632,strat_platt,15+,RB_3C
exante_mid,"[0,0.1)",469,0.08284027430574403,0.09594882729211088,0.013108552986366845,strat_platt,15+,RB_3C
exante_mid,"[0.1,0.2)",1801,0.14610298852950512,0.1521377012770683,0.006034712747563176,strat_platt,15+,RB_3C
exante_mid,"[0.2,0.3)",606,0.23950549648752376,0.23927392739273928,-2.3156909478447285e-4,strat_platt,15+,RB_3C
exante_mid,"[0.3,0.4)",134,0.3374705279478007,0.3582089552238806,0.020738427276079885,strat_platt,15+,RB_3C
exante_mid,"[0.4,0.5)",18,0.42997094372280475,0.6111111111111112,0.1811401673883064,strat_platt,15+,RB_3C
exante_mid,"[0.5,0.6)",1,0.5420872159407372,1,0.45791278405926283,strat_platt,15+,RB_3C
exante_high,"[0.1,0.2)",17,0.18849247107978867,0.6470588235294118,0.4585663524496231,strat_platt,15+,RB_3C
exante_high,"[0.2,0.3)",1197,0.26584167806552306,0.3216374269005848,0.05579574883506172,strat_platt,15+,RB_3C
exante_high,"[0.3,0.4)",1913,0.34836307632338354,0.32096184004181916,-0.02740123628156438,strat_platt,15+,RB_3C
exante_high,"[0.4,0.5)",1289,0.4451923774907445,0.4484096198603569,0.0032172423696124053,strat_platt,15+,RB_3C
exante_high,"[0.5,0.6)",531,0.5400587970876571,0.5706214689265536,0.030562671838896494,strat_platt,15+,RB_3C
exante_high,"[0.6,0.7)",155,0.6369414332228357,0.7096774193548387,0.07273598613200305,strat_platt,15+,RB_3C
exante_high,"[0.7,0.8)",28,0.7240160362065884,0.8928571428571429,0.16884110665055452,strat_platt,15+,RB_3C
exante_high,"[0.8,0.9)",1,0.8069870422957989,1,0.19301295770420113,strat_platt,15+,RB_3C
exante_low,"[0,0.1)",6,0.015151515151515152,0.6666666666666666,0.6515151515151515,strat_iso,15+,RB_3C
exante_low,"[0.1,0.2)",1729,0.11818743591993007,0.10757663389242336,-0.010610802027506708,strat_iso,15+,RB_3C
exante_low,"[0.2,0.3)",2,0.2701086068920464,0,-0.2701086068920464,strat_iso,15+,RB_3C
exante_low,"[0.3,0.4)",1,0.3333333333333333,0,-0.3333333333333333,strat_iso,15+,RB_3C
exante_low,"[0.5,0.6)",1,0.5,0,-0.5,strat_iso,15+,RB_3C
exante_mid,"[0,0.1)",3,0,1,1,strat_iso,15+,RB_3C
exante_mid,"[0.1,0.2)",3026,0.17526632119667981,0.17217448777263714,-0.003091833424042678,strat_iso,15+,RB_3C
exante_high,"[0.2,0.3)",1537,0.287625444353169,0.31945348080676644,0.03182803645359744,strat_iso,15+,RB_3C
exante_high,"[0.3,0.4)",2081,0.32859281161456017,0.34839019702066315,0.019797385406102985,strat_iso,15+,RB_3C
exante_high,"[0.4,0.5)",620,0.446976921301221,0.4467741935483871,-2.0272775283391997e-4,strat_iso,15+,RB_3C
exante_high,"[0.5,0.6)",511,0.5488998138148885,0.5499021526418787,0.00100233882699019,strat_iso,15+,RB_3C
exante_high,"[0.6,0.7)",211,0.6325196913078492,0.5971563981042654,-0.03536329320358389,strat_iso,15+,RB_3C
exante_high,"[0.7,0.8)",126,0.7427087659618945,0.7142857142857143,-0.0284230516761802,strat_iso,15+,RB_3C
exante_high,"[0.8,0.9)",41,0.8395997527040946,0.8048780487804879,-0.03472170392360674,strat_iso,15+,RB_3C
exante_high,"[0.9,1]",4,0.9362345987345987,1,0.06376540126540131,strat_iso,15+,RB_3C
exante_low,"[0,0.1)",818,0.0735452610715406,0.034229828850855744,-0.03931543222068485,platt_vol,15+,RB_3C
exante_low,"[0.1,0.2)",758,0.13724996157135586,0.1358839050131926,-0.0013660565581632422,platt_vol,15+,RB_3C
exante_low,"[0.2,0.3)",133,0.23860094391402342,0.3233082706766917,0.08470732676266829,platt_vol,15+,RB_3C
exante_low,"[0.3,0.4)",27,0.33441009110404396,0.48148148148148145,0.1470713903774375,platt_vol,15+,RB_3C
exante_low,"[0.4,0.5)",3,0.43390618305598116,1,0.5660938169440188,platt_vol,15+,RB_3C
exante_mid,"[0,0.1)",569,0.08211319815796927,0.03690685413005272,-0.045206344027916553,platt_vol,15+,RB_3C
exante_mid,"[0.1,0.2)",1767,0.14516918227997785,0.13921901528013583,-0.0059501669998420215,platt_vol,15+,RB_3C
exante_mid,"[0.2,0.3)",609,0.237007178479319,0.3563218390804598,0.11931466060114079,platt_vol,15+,RB_3C
exante_mid,"[0.3,0.4)",80,0.33161410387093554,0.4625,0.13088589612906448,platt_vol,15+,RB_3C
exante_mid,"[0.4,0.5)",4,0.43410176234062314,0.75,0.31589823765937686,platt_vol,15+,RB_3C
exante_high,"[0,0.1)",9,0.09200997447184256,0,-0.09200997447184256,platt_vol,15+,RB_3C
exante_high,"[0.1,0.2)",550,0.16712037677608788,0.19090909090909092,0.02378871413300304,platt_vol,15+,RB_3C
exante_high,"[0.2,0.3)",1446,0.25237642646066555,0.3112033195020747,0.058826893041409145,platt_vol,15+,RB_3C
exante_high,"[0.3,0.4)",1332,0.34795842690126516,0.42792792792792794,0.07996950102666278,platt_vol,15+,RB_3C
exante_high,"[0.4,0.5)",912,0.44592195617029234,0.4649122807017544,0.018990324531462044,platt_vol,15+,RB_3C
exante_high,"[0.5,0.6)",512,0.5461745198626958,0.5390625,-0.007112019862695829,platt_vol,15+,RB_3C
exante_high,"[0.6,0.7)",312,0.6424850468042043,0.5416666666666666,-0.10081838013753763,platt_vol,15+,RB_3C
