fold,eff_num_leaves,eff_lr,eff_min_node,eff_rounds,eff_inner_rmse
155,15,0.05,10,64,0.3154
156,15,0.05,10,64,0.3177
157,15,0.05,50,48,0.3167
158,15,0.05,10,48,0.3175
159,15,0.05,10,54,0.3171
160,15,0.05,50,36,0.3157
161,15,0.05,50,36,0.3142
162,15,0.05,100,45,0.3127
163,31,0.02,10,85,0.3119
164,15,0.05,100,24,0.308
165,7,0.05,20,90,0.3077
166,7,0.05,20,90,0.3097
167,7,0.05,100,64,0.308
168,7,0.02,100,125,0.3104
169,63,0.05,50,23,0.3109
170,7,0.02,50,118,0.3107
171,7,0.02,50,118,0.311
172,7,0.02,100,74,0.3132
173,7,0.02,100,97,0.3171
174,7,0.05,100,43,0.3168
175,7,0.05,100,40,0.3177
176,7,0.05,100,40,0.3203
177,7,0.02,50,101,0.3177
178,7,0.02,50,120,0.3182
179,7,0.02,100,105,0.3185
180,7,0.02,10,101,0.3187
181,7,0.02,10,90,0.3192
182,15,0.05,10,50,0.3185
183,7,0.05,20,40,0.3191
184,7,0.05,10,78,0.3199
185,7,0.02,10,100,0.318
186,7,0.02,10,101,0.3169
187,15,0.05,20,43,0.3175
188,7,0.05,10,84,0.3156
189,7,0.05,100,40,0.316
190,15,0.05,100,40,0.3157
191,15,0.05,100,40,0.3147
192,7,0.05,10,47,0.3133
193,31,0.05,20,26,0.3113
194,15,0.05,10,36,0.3128
195,7,0.05,10,42,0.3128
196,7,0.05,10,42,0.3128
197,7,0.05,50,27,0.3134
198,7,0.05,20,41,0.3129
199,7,0.05,10,52,0.3153
200,7,0.02,10,148,0.3135
201,7,0.02,10,148,0.3133
202,7,0.05,20,74,0.314
203,15,0.02,20,94,0.3142
204,15,0.02,10,109,0.3165
