player_id,posteam,defteam,game_id,rolling_epa_per_opp,wt_target_share,wt_air_yards_share,wt_air_yards_per_target,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,player_name,form_residual,wt_team_total_plays,wt_snap_share,wt_tgt_per_snap,games_played_so_far,def_used_fallback,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status,baseline_target_share,baseline_air_yards_share,baseline_snap_share,baseline_tgt_per_snap,baseline_team_total_plays
00-0034829,CIN,BAL,2025_13_CIN_BAL,-0.606999213009003,0.10348081220300293,0.12140845887232318,8.114491083019734,0.4068382585094621,0.4068382585094621,FALSE,r2_3,Mike Gesicki,-1.013837471518465,67.35044600349522,0.35518815061486636,0.12017428066502991,11,FALSE,0.043720641520799,0.08187064150988829,2025,13,NA,NA,NA,NA,0.12388059701492538,0.1379542395693136,0.4476470588235294,0.1586998087954111,68.17647058823529
00-0035229,MIN,SEA,2025_13_MIN_SEA,-0.03780644912065212,0.12505842865636996,0.09793218625554569,4.694986301662282,0.1525449808235952,0.1525449808235952,FALSE,r1,T.J. Hockenson,-0.1903514299442473,56.30441655529921,0.7869200732750121,0.094716138444919,11,FALSE,0.05530016053968031,0.7407374593302347,2025,13,NA,NA,NA,NA,0.16103896103896104,0.1803676725633021,0.615,0.14657210401891252,66.41176470588235
00-0035689,BUF,PIT,2025_13_BUF_PIT,0.4640559304853169,0.07691111163288976,0.1109355516538592,11.359155977918626,0.3062422348302789,0.3062422348302789,FALSE,r2_3,Dawson Knox,0.15781369565503794,64.44453900613601,0.680855689683357,0.06224097426758811,11,FALSE,-0.12292140773068427,0.3334979362544405,2025,13,NA,NA,NA,NA,0.0728476821192053,0.08959455628012475,0.600625,0.05339805825242718,64.76470588235294
00-0036040,NO,MIA,2025_13_NO_MIA,0.8090136212383294,0.14930590298566354,0.16451327432072216,8.773629421905992,0.2480966281385524,0.2480966281385524,FALSE,udfa,Juwan Johnson,0.560916993099777,65.23218134722885,0.6890235952954342,0.13299698229569668,11,FALSE,-0.6378712046237268,0.462843680218444,2025,13,NA,NA,NA,NA,0.12408759124087591,0.13247759748123034,0.6417647058823529,0.0975609756097561,65
00-0036244,LA,CAR,2025_13_LA_CAR,0.9021904887903917,0.09519432421244242,0.01670735354185263,1.5127155515034465,0.06527827795782085,0.06527827795782085,FALSE,r4_5,Colby Parkinson,0.8369122108325707,62.92825183145399,0.5952540947553089,0.08904495588936108,12,FALSE,-0.08918844511688816,0.4468167198586732,2025,13,NA,NA,NA,NA,0.09819639278557114,0.0778567199526347,0.5488235294117647,0.08153078202995008,64.47058823529412
00-0036290,CHI,PHI,2025_13_CHI_PHI,0.21607011908420665,0.06551109158708661,0.04333804091184377,6.929183779055952,0.4427449502783759,0.4427449502783759,FALSE,r2_3,Cole Kmet,-0.22667483119416929,70.99176751530635,0.5802801404156858,0.05545615485871585,11,FALSE,-0.7673350020812487,0.2651484034641823,2025,13,NA,NA,NA,NA,0.10498220640569395,0.0991672975018925,0.8723529411764706,0.059356136820925554,68.41176470588235
00-0036422,DEN,WAS,2025_13_DEN_WAS,0.11968132400955908,0.03836800973632115,0.01280261079060651,2.4632127868379112,0.26698217035234184,0.26698217035234184,FALSE,r2_3,Adam Trautman,-0.14730084634278276,65.73793566022505,0.6262811077537029,0.02050389415739166,11,FALSE,0.21388444389609337,0.5446055778543479,2025,13,NA,NA,NA,NA,0.04700854700854701,0.04087638979725311,0.518235294117647,0.03832752613240418,65.52941176470588
00-0036970,ATL,NYJ,2025_13_ATL_NYJ,-0.6441834813135463,0.175304801358689,0.22523600402904376,9.85823618824844,0.0938311652119118,0.0938311652119118,FALSE,r1,Kyle Pitts,-0.7380146465254581,60.08593298403555,0.9124294845975855,0.10414361051103851,10,FALSE,-0.27728598851448893,0.487147816419926,2025,13,NA,NA,NA,NA,0.12478920741989882,0.13949843260188088,0.62,0.10466760961810467,68.17647058823529
00-0037744,ARI,TB,2025_13_ARI_TB,0.6026800452144818,0.2301940310994388,0.23614718301115756,6.86440563540437,0.33381900285286775,0.33381900285286775,FALSE,r2_3,Trey McBride,0.26886104236161407,78.34082318105905,0.873091774087812,0.1682849247883492,11,FALSE,-0.25731018224598895,-0.3531008679370666,2025,13,NA,NA,NA,NA,0.2687385740402194,0.253513209668353,0.898125,0.15738758029978586,65.47058823529412
00-0037809,TEN,JAX,2025_13_JAX_TEN,0.09706230484094672,0.08315364113614714,0.11041500844530155,8.775291647918174,-0.10331420826807038,-0.10331420826807038,FALSE,r4_5,Chig Okonkwo,0.2003765131090171,63.89947436807043,0.6453219769423019,0.07945031088666882,11,FALSE,0.20402158137939336,0.2603061452033751,2025,13,NA,NA,Questionable,Limited Participation in Practice,0.12769784172661872,0.10437625754527163,0.6052941176470589,0.10676691729323308,66.3529411764706
