player_id,posteam,defteam,game_id,source,rolling_epa_per_opp,wt_target_share,wt_air_yards_share,wt_air_yards_per_target,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,baseline_target_share,baseline_air_yards_share,player_name,form_residual,wt_team_total_plays,baseline_team_total_plays,wt_snap_share,wt_tgt_per_snap,baseline_snap_share,baseline_tgt_per_snap,games_played_so_far,def_used_fallback,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status
00-0036628,WAS,SEA,2026_03_SEA_WAS,played,-0.4092683092785301,0.1111111111111111,0.01892744479495268,1.5,0.4877952467541036,0.4877952467541036,FALSE,r4_5,0.0599250936329588,0.02104340201665936,John Bates,-0.8970635560326337,72.37837837837839,63.11764705882353,0.39270270270270274,0.05405405405405406,0.514,0.033402922755741124,2,TRUE,0.04569630143314794,0.8135519474098458,2026,3,-7.5,16.5,NA,NA
00-0036637,KC,MIA,2026_03_KC_MIA,played,-0.24238154785927837,0.02687486923940126,0.03996736218512032,8.243243243243244,-0.1803768333120516,-0.1803768333120516,FALSE,r4_5,0.07755102040816327,0.06770538243626062,Noah Gray,-0.06200471454722678,74.56756756756756,66.17647058823529,0.5229729729729731,0.025604551920341393,0.52125,0.06972477064220184,2,TRUE,0.02810430819696245,0.5343413395707767,2026,3,10.5,28,NA,NA
00-0036754,DET,NYJ,2026_03_NYJ_DET,played,-0.19928937079384923,0.025,0.00966183574879227,2,-0.08768295463497369,-0.08768295463497369,FALSE,udfa,0.088,0.015427769985974754,Brock Wright,-0.11160641615887554,73.05405405405406,65.52941176470588,0.37486486486486487,0.011781011781011782,0.5763636363636364,0.05486284289276808,2,TRUE,0.3466017950127847,0.5315719655880197,2026,3,6.5,27,NA,NA
00-0036887,SF,ARI,2026_03_ARI_SF,played,0.7624222467420623,0.058823529411764705,0.020134228187919462,1.5,0.25327844596800525,0.25327844596800525,FALSE,r4_5,0.043076923076923075,0.019114219114219115,Luke Farrell,0.509143800774057,57.972972972972975,66.05882352941177,0.6181081081081081,0.019976498237367805,0.34705882352941175,0.034653465346534656,2,TRUE,0.24625591114968523,0.748327905264608,2026,3,8.5,28,NA,NA
00-0036894,PIT,CIN,2026_03_CIN_PIT,played,0.30762264114722765,0.11485057996685903,0.14187142974069436,7.010810810810812,0.4316637198117232,0.4316637198117232,FALSE,r2_3,0.10112359550561797,0.10466623460790668,Pat Freiermuth,-0.12404107866449554,69.16216216216218,61.1764705882353,0.6921621621621622,0.10563802489268327,0.5035294117647059,0.10344827586206896,2,TRUE,0.5203464573740542,0.2787257806231027,2026,3,-3.5,19.5,NA,NA
00-0036970,ATL,GB,2026_03_ATL_GB,played,-1.9166360647870682,0.06400356400356401,0.2435324322116775,16.630630630630634,0.20658783492159372,0.20658783492159372,FALSE,r1,0.2073170731707317,0.20839328537170262,Kyle Pitts,-2.1232238997086617,65.86486486486487,65.88235294117646,0.49486486486486486,0.07446110077689026,0.88,0.12382934443288242,2,TRUE,0.018912378195124643,0.38527872590673523,2026,3,-4.5,19,NA,NA
00-0037005,CAR,CLE,2026_03_CAR_CLE,played,-0.1891689274850226,0.0858819345661451,0.0618965125053365,7.248648648648648,0.2229485393595591,0.2229485393595591,FALSE,r2_3,0.07474747474747474,0.05229387231312159,Tommy Tremble,-0.4121174668445817,68.91891891891892,63.11764705882353,0.56,0.08967359963092539,0.6011764705882353,0.05817610062893082,2,TRUE,-0.14893884614509215,0.45827019919978584,2026,3,2.5,22.5,NA,NA
00-0037252,MIA,KC,2026_03_KC_MIA,played,0.404560510643867,0.08877627627627628,0.03347157118628366,2.031531531531532,0.5150349497480989,0.5150349497480989,FALSE,r2_3,0.1349206349206349,0.09069631363370392,Greg Dulcich,-0.11047443910423194,60.62162162162162,59.05882352941177,0.6835135135135136,0.0664152524617641,0.422,0.13877551020408163,2,TRUE,0.1501827601534747,-0.3844714815634404,2026,3,-10.5,17.5,NA,NA
00-0037292,IND,HOU,2026_03_HOU_IND,played,-0.5811586580742655,0.031359805553353944,0.020204283885875928,3.540540540540541,NA,0.1628485139301166,TRUE,r6_udfa,0.05125252525252525,0.02572677186057827,Andrew Ogletree,-0.744007172004382,63.108108108108105,63.76470588235294,0.20729729729729726,0.10502607871028924,0.23666666666666666,0.02654867256637168,2,TRUE,-0.17886179101185198,0.2197491772707292,2026,3,-1.5,20.5,NA,NA
00-0037744,ARI,SF,2026_03_ARI_SF,played,0.40991171111977115,0.33736367946894263,0.32302146864340925,5.091476091476092,0.4277433346486651,0.4277433346486651,FALSE,r2_3,0.2390998593530239,0.24163090128755366,Trey McBride,-0.017831623528893947,61.48648648648649,68.11764705882354,0.8432432432432433,0.2223996723996724,0.9135294117647059,0.16456921587608905,2,TRUE,-0.2994327307470484,0.8430809163115012,2026,3,-8.5,19.5,NA,NA
