position,player_name,posteam,draft_tier,dc_pos_rank,dc_pos_slot,is_cold_start,flag_reason,baseline_target_share,proposed_share,model_rank,ecr_rank,rank_gap,p_start_recal
TE,Eli Raridon,NE,r2_3,2,10,TRUE,cold_start_backup,0.09727626459143968,0.06205568720379147,62,47,-15,0.18916356309988952
TE,Marlin Klein,HOU,r2_3,3,10,TRUE,cold_start_backup,0.09727626459143968,0.06205568720379147,51,69,18,0.1995211872558739
TE,Eli Stowers,PHI,r2_3,3,10,TRUE,cold_start_backup,0.09727626459143968,0.06205568720379147,41,38,-3,0.21307744432740003
TE,Nate Boerkircher,JAX,r2_3,2,10,TRUE,cold_start_backup,0.09727626459143968,0.06205568720379147,45,62,17,0.20693663333221884
TE,Max Klare,LA,r2_3,4,10,TRUE,cold_start_backup,0.09727626459143968,0.06205568720379147,27,75,48,0.2413799872839939
TE,Will Kacmarek,MIA,r2_3,2,10,TRUE,cold_start_backup,0.09727626459143968,0.06205568720379147,99,52,-47,0.16057270954520098
TE,Sam Roush,CHI,r2_3,3,10,TRUE,cold_start_backup,0.09727626459143968,0.06205568720379147,32,86,54,0.22653059843808124
TE,Kenyon Sadiq,NYJ,r1,2,10,TRUE,cold_start_backup,0.13414634146341464,0.06205568720379147,54,28,-26,0.19831065795701913
TE,Charlie Kolar,LAC,r4_5,1,10,FALSE,stale_baseline_starter,0.04702194357366771,0.15169453484457412,46,39,-7,0.20530284013656708
TE,Tommy Tremble,CAR,r2_3,1,10,FALSE,stale_baseline_starter,0.07474747474747474,0.15169453484457412,84,55,-29,0.17248905344193388
TE,Gunnar Helm,TEN,r4_5,1,10,FALSE,stale_baseline_starter,0.0929054054054054,0.15169453484457412,101,25,-76,0.15786522071795114
TE,Mike Gesicki,CIN,r2_3,1,10,FALSE,stale_baseline_starter,0.09409190371991248,0.15169453484457412,22,37,15,0.2663773720437684
TE,Pat Freiermuth,PIT,r2_3,1,10,FALSE,stale_baseline_starter,0.10112359550561796,0.15169453484457412,49,26,-23,0.20321594227129777
TE,Colby Parkinson,LA,r4_5,1,10,FALSE,stale_baseline_starter,0.1068702290076336,0.15169453484457412,30,31,1,0.23224470675498285
TE,Isaiah Likely,NYG,r4_5,1,10,FALSE,stale_baseline_starter,0.11726384364820848,0.15169453484457412,35,13,-22,0.21856574644474655
TE,Evan Engram,DEN,r1,1,10,FALSE,stale_baseline_starter,0.1254071661237785,0.15169453484457412,31,29,-2,0.22754220085519336
TE,Chig Okonkwo,WAS,r4_5,1,10,FALSE,stale_baseline_starter,0.12619808306709265,0.15169453484457412,86,22,-64,0.1715163611469917
TE,Dalton Kincaid,BUF,r1,1,10,FALSE,stale_baseline_starter,0.13262599469496025,0.15169453484457412,6,14,8,0.3434313279942122
