player_id,season,week,p_start_new,p_boom_new,p_start_raw,p_boom_raw,hit_start,hit_boom,bucket
00-0033948,2023,18,0.14365230571774446,0.06314958561299944,0.222,0.0745,FALSE,FALSE,b3
00-0034115,2023,18,0.09474421366601674,0.034396988672426417,0.1515,0.045,FALSE,FALSE,b3
00-0034184,2023,18,0.19367337481123392,0.06406445875505397,0.199,0.0675,FALSE,FALSE,b2
00-0034681,2023,18,0.07097200082732529,0.027619241863435902,0.1155,0.0375,FALSE,FALSE,b3
00-0034750,2023,18,0.11551172728556251,0.04476460114214366,0.182,0.056,FALSE,FALSE,b3
00-0034838,2023,18,0.13651877244318017,0.05858009426436384,0.212,0.07,FALSE,FALSE,b3
00-0034844,2023,18,0.6965513263802128,0.4541331338309682,0.586,0.33,TRUE,TRUE,b1
00-0034972,2023,18,0.10624734761327966,0.042845162390148545,0.1685,0.054,FALSE,FALSE,b3
00-0034975,2023,18,0.06257994792905593,0.01860789544501759,0.1025,0.027,FALSE,FALSE,b3
00-0035250,2023,18,0.30067748872137623,0.20934628103441072,0.421,0.2025,FALSE,FALSE,b3
00-0035261,2023,18,0.5405648981915679,0.37709846520979123,0.5465,0.311,TRUE,FALSE,b2
00-0035685,2023,18,0.4608051369362818,0.1886880551676682,0.3465,0.1445,FALSE,FALSE,b1
00-0036139,2023,18,0.08308966987481418,0.03029936277644713,0.134,0.0405,FALSE,FALSE,b3
00-0036223,2023,18,0.41040950281782934,0.2318104493642902,0.417,0.201,TRUE,TRUE,b2
00-0036251,2023,18,0.16758162517082517,0.052334178370684846,0.1725,0.057,FALSE,FALSE,b2
00-0036269,2023,18,0.05905977898952268,0.016153624699565463,0.097,0.024,FALSE,FALSE,b3
00-0036328,2023,18,0.09810877635276224,0.035782398126853986,0.1565,0.0465,FALSE,FALSE,b3
00-0036555,2023,18,0.2558608112281924,0.16654867968856382,0.368,0.167,FALSE,FALSE,b3
00-0036567,2023,18,0.2843405718313153,0.19293850290148953,0.402,0.189,FALSE,FALSE,b3
00-0036893,2023,18,0.33048507538720967,0.14977614517614865,0.337,0.138,TRUE,TRUE,b2
00-0036906,2023,18,0.12384445339566942,0.054070700335174485,0.194,0.0655,FALSE,FALSE,b3
00-0036919,2023,18,0.11482150373144306,0.048646008484821486,0.181,0.06,FALSE,FALSE,b3
00-0036924,2023,18,0.07162173232182455,0.023682948274253497,0.1165,0.033,FALSE,FALSE,b3
00-0036973,2023,18,0.6022563005759574,0.35393449700208,0.4835,0.2575,FALSE,FALSE,b1
00-0036997,2023,18,0.1848588452529078,0.10486016254720737,0.278,0.1135,TRUE,TRUE,b3
