fold,pt_num_leaves,pt_lr,pt_min_node,pt_rounds,pt_inner_rmse,vl_num_leaves,vl_lr,vl_min_node,vl_rounds,vl_inner_rmse
119,15,0.05,50,116,7.3092,31,0.02,100,145,5.5596
120,63,0.05,100,62,7.3258,15,0.05,50,83,5.6099
121,63,0.05,100,62,7.3165,15,0.05,50,86,5.5914
122,63,0.02,50,119,7.3091,15,0.05,50,49,5.6018
123,63,0.02,100,150,7.2297,15,0.02,50,235,5.5695
124,15,0.02,100,150,7.2523,15,0.02,50,149,5.5084
125,15,0.02,100,137,7.1848,15,0.02,50,140,5.5367
126,15,0.02,100,137,7.2314,31,0.02,20,134,5.5474
127,63,0.05,100,41,7.2434,15,0.02,50,185,5.5921
128,15,0.05,100,68,7.1867,15,0.05,50,71,5.6236
129,15,0.05,100,74,7.2053,15,0.05,50,79,5.6406
130,15,0.02,100,140,7.205,15,0.02,20,130,5.685
131,15,0.02,100,140,7.2219,15,0.02,10,162,5.6919
132,7,0.02,50,218,7.2122,15,0.02,20,139,5.6871
133,31,0.02,100,190,7.1713,15,0.02,10,140,5.6713
134,63,0.05,10,55,7.1824,15,0.05,20,79,5.6746
135,7,0.02,50,224,7.148,15,0.02,10,235,5.6405
136,7,0.02,50,224,7.1289,15,0.02,10,234,5.6166
137,15,0.02,50,206,7.2192,7,0.05,10,148,5.618
138,15,0.02,100,194,7.1915,15,0.05,20,107,5.6042
139,31,0.02,10,156,7.2145,15,0.05,20,69,5.6146
140,15,0.02,50,144,7.2034,15,0.05,50,75,5.5995
141,15,0.02,10,206,7.2453,15,0.05,50,75,5.5908
142,7,0.05,100,170,7.2764,31,0.02,10,182,5.587
143,31,0.02,10,191,7.1814,15,0.05,10,93,5.6231
144,63,0.02,10,147,7.1588,15,0.05,10,79,5.5588
145,15,0.02,10,205,7.2032,31,0.05,10,69,5.538
146,31,0.02,100,155,7.1627,15,0.02,20,234,5.5184
147,31,0.05,20,63,7.1352,15,0.05,20,78,5.5097
148,31,0.02,100,143,7.1306,15,0.05,20,100,5.4522
149,15,0.02,100,196,7.1007,15,0.02,20,187,5.4702
150,31,0.05,10,70,7.0346,31,0.02,10,147,5.447
151,31,0.05,10,70,7.0053,31,0.02,10,147,5.4496
152,7,0.05,50,120,6.9834,7,0.02,20,355,5.4474
153,15,0.02,50,190,6.9762,15,0.02,20,196,5.4749
154,15,0.05,100,78,7.0538,7,0.05,10,113,5.4476
155,15,0.02,50,210,7.0683,15,0.05,10,90,5.4671
156,15,0.02,50,210,7.0776,15,0.05,10,90,5.4674
157,15,0.02,50,240,7.0541,7,0.05,50,153,5.4258
158,31,0.02,20,218,7.016,15,0.05,10,102,5.4021
159,15,0.05,50,127,6.9328,15,0.05,10,116,5.3762
160,15,0.02,100,204,6.9245,7,0.02,50,322,5.3475
161,15,0.02,10,219,6.9124,7,0.02,50,379,5.3469
162,31,0.05,10,72,6.9021,7,0.02,20,365,5.3517
163,15,0.02,10,241,6.8941,7,0.02,20,357,5.3031
164,31,0.02,20,192,6.8728,7,0.02,20,446,5.2867
165,15,0.05,100,74,6.8308,7,0.05,20,193,5.2624
166,15,0.05,100,74,6.8398,7,0.05,20,193,5.2854
167,15,0.02,10,219,6.8286,15,0.02,50,235,5.2794
168,31,0.05,20,84,6.8423,15,0.02,10,260,5.2384
169,31,0.02,20,187,6.8393,7,0.02,20,358,5.2644
170,15,0.02,10,225,6.835,15,0.02,10,326,5.2746
171,15,0.02,10,225,6.8454,15,0.02,10,325,5.2547
172,15,0.02,20,302,6.8342,31,0.05,20,89,5.2506
