player_id,player_name,posteam,defteam,season,week,game_id,epa_per_opp_obs,opportunities,targets,target_share_obs,air_yards_obs,air_yards_share_obs,air_yards_per_target_obs,team_total_plays_obs,total_epa,prior_epa_per_opp,baseline_epa_per_opp,rolling_epa_per_opp,form_residual,is_cold_start,draft_tier,wt_target_share,wt_air_yards_share,wt_air_yards_per_target,wt_snap_share,wt_team_total_plays,baseline_target_share,baseline_air_yards_share,baseline_snap_share,baseline_team_total_plays,def_short_pass_epa_adj,def_deep_pass_epa_adj,games_played_so_far,def_used_fallback
00-0033307,Kendrick Bourne,SF,NYG,2020,3,2020_03_SF_NYG,0.5799428825976539,6,6,0.15384615384615385,66,0.2323943661971831,11,78,3.4796572955859233,0.5285444622484892,0.5285444622484892,0.7789248263529452,0.2503803641044561,FALSE,udfa,0.15390390390390393,0.4236715684476878,13.437837837837838,0.8227027027027027,61.37837837837838,0.08863198458574181,0.12060140754958414,0.43875,67.3125,-0.16585919038548388,0.6657152022213696,2,TRUE
00-0033307,Kendrick Bourne,SF,PHI,2020,4,2020_04_PHI_SF,-1.3217898638346621,6,6,0.11764705882352941,45,0.17374517374517376,7.5,73,-7.930739183007972,0.5285444622484892,0.5285444622484892,0.701575188352832,0.17303072610434278,FALSE,udfa,0.15388145490186306,0.34931697087703484,12.490184645286687,0.8177648202137997,67.8396501457726,0.08863198458574181,0.12060140754958414,0.43875,67.3125,0.07400978661625175,0.3404896737803357,3,FALSE
00-0033307,Kendrick Bourne,SF,MIA,2020,5,2020_05_MIA_SF,0.12863069586455822,4,4,0.1,21,0.06382978723404255,5.25,65,0.5145227834582329,0.5285444622484892,0.5285444622484892,0.06661969400144324,-0.4619247682470459,FALSE,udfa,0.14251067984099658,0.2942204982353337,10.924206644961362,0.7745326167967677,69.45902796846194,0.08863198458574181,0.12060140754958414,0.43875,67.3125,-0.42261070798572664,0.38101518058230177,4,FALSE
00-0033307,Kendrick Bourne,SF,LA,2020,6,2020_06_LA_SF,0.6714026629730748,3,3,0.09090909090909091,38,0.2620689655172414,12.666666666666666,72,2.0142079889192246,0.5285444622484892,0.5285444622484892,0.08334041862541733,-0.44520404362307187,FALSE,udfa,0.1310480466010387,0.23209765682280678,9.394206420495431,0.7436498977891103,68.25669005242838,0.08863198458574181,0.12060140754958414,0.43875,67.3125,-0.3235275262782118,-0.5672088562118982,5,FALSE
00-0033307,Kendrick Bourne,SF,NE,2020,7,2020_07_SF_NE,-0.6704186178251605,1,1,0.038461538461538464,4,0.025,4,68,-0.6704186178251605,0.5285444622484892,0.5285444622484892,0.2133259839526857,-0.31521847829580346,FALSE,udfa,0.11928683980283206,0.23640582764239948,10.012692800522206,0.6730315598241265,69.89495787697955,0.08863198458574181,0.12060140754958414,0.43875,67.3125,-0.5364102156211604,0.05539471936933037,5,FALSE
00-0033307,Kendrick Bourne,SF,SEA,2020,8,2020_08_SF_SEA,0.6434431804314954,10,10,0.2222222222222222,73,0.2508591065292096,7.3,71,6.434431804314954,0.5285444622484892,0.5285444622484892,-0.1390812492626151,-0.6676257115111043,FALSE,udfa,0.09182442163275727,0.1407225936556038,7.794735029713905,0.6048808606948993,70.56784426869078,0.08863198458574181,0.12060140754958414,0.43875,67.3125,0.012620492085101204,0.18444990237410833,6,FALSE
00-0033307,Kendrick Bourne,SF,NO,2020,10,2020_10_SF_NO,0.08323573264060542,5,5,0.12195121951219512,33,0.125,6.6,72,0.4161786632030271,0.5285444622484892,0.5285444622484892,-0.014105329218796092,-0.5426497914672852,FALSE,udfa,0.1195646906379134,0.15945221536998036,7.27785211637492,0.6491307945485278,66.23128310478427,0.08863198458574181,0.12060140754958414,0.43875,67.3125,-0.4764588663203329,0.884530966984515,8,FALSE
00-0033307,Kendrick Bourne,SF,LA,2020,12,2020_12_SF_LA,-0.11030103455660037,5,5,0.13513513513513514,23,0.13372093023255813,4.6,76,-0.5515051727830018,0.5285444622484892,0.5285444622484892,0.1685948615706094,-0.35994960067787973,FALSE,udfa,0.12043762517346285,0.14845244909977082,7.068497165677139,0.6267970494505217,67.93407945316753,0.08863198458574181,0.12060140754958414,0.43875,67.3125,-0.4620663379877834,-0.0716396523691974,10,FALSE
00-0033307,Kendrick Bourne,SF,BUF,2020,13,2020_13_BUF_SF,0.24747802718290282,6,6,0.15384615384615385,45,0.16917293233082706,7.5,64,1.484868163097417,0.5285444622484892,0.5285444622484892,0.09817438407131514,-0.43037007817717404,FALSE,udfa,0.1268458634759421,0.15460458562197216,6.620455772373343,0.6075097787087891,69.62253257182148,0.08863198458574181,0.12060140754958414,0.43875,67.3125,-0.2064280042347025,0.5677648355249912,11,FALSE
00-0033307,Kendrick Bourne,SF,WAS,2020,14,2020_14_WAS_SF,-0.17739245135633974,8,8,0.16,88,0.3283582089552239,11,83,-1.419139610850718,0.5285444622484892,0.5285444622484892,0.06985105332433006,-0.4586934089241591,FALSE,udfa,0.1384257764889244,0.14567563924716223,6.134240900871447,0.5815084237614618,68.30058764941917,0.08863198458574181,0.12060140754958414,0.43875,67.3125,-0.2600405942188492,0.4212764823704086,12,FALSE
00-0033307,Kendrick Bourne,SF,DAL,2020,15,2020_15_SF_DAL,2.4367295865522465,4,4,0.08888888888888889,62,0.18562874251497005,15.5,85,9.746918346208986,0.5285444622484892,0.5285444622484892,0.0917507989760411,-0.43679366327244806,FALSE,udfa,0.15620292459008472,0.20937218279846867,7.701593579841619,0.6804243142264413,71.94119461189354,0.08863198458574181,0.12060140754958414,0.43875,67.3125,-0.34198829159915684,0.44479771314734795,13,FALSE
00-0033307,Kendrick Bourne,SF,ARI,2020,16,2020_16_SF_ARI,0.46933960617752746,1,1,0.04,13,0.0896551724137931,13,56,0.46933960617752746,0.5285444622484892,0.5285444622484892,0.6580486607703739,0.12950419852188477,FALSE,udfa,0.13015365134726936,0.19800642386999318,9.852412867954989,0.6102898137958579,77.1303294173558,0.08863198458574181,0.12060140754958414,0.43875,67.3125,-0.29830392015078405,0.3819128857340918,14,FALSE
00-0033307,Kendrick Bourne,SF,SEA,2020,17,2020_17_SEA_SF,1.6261253190023126,6,6,0.15,42,0.14583333333333334,7,66,9.756751914013876,0.5285444622484892,0.5285444622484892,0.6759362561769037,0.1473917939284145,FALSE,udfa,0.10682585655326608,0.17752503647445275,11.09025499636827,0.5410324395287345,72.04651985823611,0.08863198458574181,0.12060140754958414,0.43875,67.3125,-0.19411919545654896,-0.11103771116659727,15,FALSE
00-0033307,Kendrick Bourne,NE,MIA,2021,1,2021_01_MIA_NE,-0.6229710691828917,3,3,0.075,16,0.06694560669456066,5.333333333333333,75,-1.8689132075486752,0.4158906171630787,0.4158906171630787,NA,NA,FALSE,udfa,NA,NA,NA,NA,NA,0.12998266897746968,0.19275077268895757,0.658,63.25,-0.4687766235924032,0.13090824840075216,0,TRUE
00-0033307,Kendrick Bourne,NE,NYJ,2021,2,2021_02_NE_NYJ,-0.12670762984392545,3,3,0.09090909090909091,10,0.07142857142857142,3.3333333333333335,60,-0.3801228895317763,0.4158906171630787,0.4158906171630787,-0.6229710691828917,-1.0388616863459703,FALSE,udfa,0.075,0.06694560669456066,5.333333333333333,0.44,75,0.12998266897746968,0.19275077268895757,0.658,63.25,-0.07976560604635817,0.5818825585609417,1,TRUE
00-0033307,Kendrick Bourne,NE,NO,2021,3,2021_03_NO_NE,0.784370329194644,8,8,0.1509433962264151,145,0.22906793048973143,18.125,74,6.274962633557152,0.4158906171630787,0.4158906171630787,-0.3547205614320992,-0.7706111785951779,FALSE,udfa,0.08359950859950861,0.06936883087510702,4.252252252252252,0.49405405405405406,66.8918918918919,0.12998266897746968,0.19275077268895757,0.658,63.25,-0.48748360565929505,0.31047352247941623,2,TRUE
00-0033307,Kendrick Bourne,NE,TB,2021,4,2021_04_TB_NE,0.6327047701925039,5,5,0.10869565217391304,45,0.2073732718894009,9,61,3.1635238509625196,0.4158906171630787,0.4158906171630787,0.08807473132853966,-0.327815885834539,FALSE,udfa,0.10977789057303883,0.13144816988953828,9.644962747003564,0.5974344023323616,69.65500485908649,0.12998266897746968,0.19275077268895757,0.658,63.25,0.049781463234106094,0.013468559700023766,3,FALSE
00-0033307,Kendrick Bourne,NE,HOU,2021,5,2021_05_NE_HOU,0.47240751313277746,3,3,0.0967741935483871,13,0.05531914893617021,4.333333333333333,63,1.4172225393983324,0.4158906171630787,0.4158906171630787,0.25898597405837587,-0.1569046431047028,FALSE,udfa,0.10943827157201869,0.15527435025273212,9.442565933131972,0.6013776330757463,66.93896363707684,0.12998266897746968,0.19275077268895757,0.658,63.25,-0.5102385061229231,0.0646458772079275,4,FALSE
00-0033307,Kendrick Bourne,NE,DAL,2021,6,2021_06_DAL_NE,-1.1145212388364598,2,2,0.08333333333333333,37,0.21511627906976744,18.5,54,-2.2290424776729196,0.4158906171630787,0.4158906171630787,0.31653322658567995,-0.09935739057739873,FALSE,udfa,0.10602351362766074,0.12832230391041596,8.064906021594894,0.5740420404428183,65.87685652220074,0.12998266897746968,0.19275077268895757,0.658,63.25,-0.5743538035345889,0.05801450370413394,5,FALSE
00-0033307,Kendrick Bourne,NE,NYJ,2021,7,2021_07_NYJ_NE,1.4233690089458833,4,4,0.09523809523809523,41,0.12058823529411765,10.25,75,5.693476035783533,0.4158906171630787,0.4158906171630787,0.043065375536036454,-0.3728252416270422,FALSE,udfa,0.10361699707648889,0.15906872599746774,11.205446697259713,0.559328559559541,61.58286160156796,0.12998266897746968,0.19275077268895757,0.658,63.25,-0.16677978258104345,0.42110988767386137,5,FALSE
00-0033307,Kendrick Bourne,NE,LAC,2021,8,2021_08_NE_LAC,-0.25863422190231095,7,7,0.1891891891891892,64,0.19161676646706588,9.142857142857142,78,-1.8104395533161766,0.4158906171630787,0.4158906171630787,0.43556404140259486,0.01967342423951618,FALSE,udfa,0.10287808932954919,0.15917817647658733,11.889648401841875,0.5564292756256098,65.39005124869182,0.12998266897746968,0.19275077268895757,0.658,63.25,-0.22855678095714016,-0.5836907570777244,6,FALSE
00-0033307,Kendrick Bourne,NE,CAR,2021,9,2021_09_NE_CAR,0.6137463748455048,4,4,0.2,23,0.22772277227722773,5.75,65,2.454985499382019,0.4158906171630787,0.4158906171630787,0.2066479241068562,-0.20924269305622248,FALSE,udfa,0.12040052913602972,0.15956326055458195,10.402994831635114,0.46292990506942416,67.76010859801713,0.12998266897746968,0.19275077268895757,0.658,63.25,-0.0769117374038392,0.37321255260199404,8,FALSE
