cell,bin,n,pred,emp,delta,method,threshold,position
exante_high,"[0.7,0.8)",22,0.7376657512117836,0.5454545454545454,-0.19221120575723816,platt,15+,RB
exante_high,"[0.8,0.9)",6,0.823878949307675,0.5,-0.323878949307675,platt,15+,RB
exante_high,"[0.9,1]",1,0.9073134170556434,1,0.09268658294435661,platt,15+,RB
exante_low,"[0,0.1)",401,0.057496421370449406,0.06982543640897755,0.012329015038528145,iso,15+,RB
exante_low,"[0.1,0.2)",19,0.11920096997344723,0,-0.11920096997344723,iso,15+,RB
exante_low,"[0.2,0.3)",1,0.20408163265306123,0,-0.20408163265306123,iso,15+,RB
exante_mid,"[0,0.1)",235,0.07447816409256425,0.09787234042553192,0.02339417633296767,iso,15+,RB
exante_mid,"[0.1,0.2)",302,0.1460562928248284,0.18543046357615894,0.03937417075133054,iso,15+,RB
exante_mid,"[0.2,0.3)",40,0.23604472403339719,0.175,-0.061044724033397196,iso,15+,RB
exante_mid,"[0.3,0.4)",43,0.34694019987110214,0.2558139534883721,-0.09112624638273004,iso,15+,RB
exante_high,"[0,0.1)",7,0.07407407407407407,0.2857142857142857,0.21164021164021163,iso,15+,RB
exante_high,"[0.1,0.2)",44,0.16062930799551592,0.20454545454545456,0.04391614654993864,iso,15+,RB
exante_high,"[0.2,0.3)",44,0.24779312688963942,0.3181818181818182,0.07038869129217876,iso,15+,RB
exante_high,"[0.3,0.4)",354,0.35561156350484535,0.3446327683615819,-0.010978795143263442,iso,15+,RB
exante_high,"[0.4,0.5)",279,0.4371559171538077,0.4157706093189964,-0.021385307834811296,iso,15+,RB
exante_high,"[0.5,0.6)",382,0.5358041282228443,0.5104712041884817,-0.025332924034362603,iso,15+,RB
exante_high,"[0.6,0.7)",58,0.6543375166924391,0.5,-0.15433751669243911,iso,15+,RB
exante_high,"[0.7,0.8)",31,0.7348642512534292,0.5161290322580645,-0.21873521899536474,iso,15+,RB
exante_high,"[0.8,0.9)",1,0.8958677685950412,1,0.10413223140495875,iso,15+,RB
exante_high,"[0.9,1]",6,1,0.6666666666666666,-0.33333333333333337,iso,15+,RB
exante_low,"[0,0.1)",378,0.06131054929786258,0.07142857142857142,0.010118022130708844,strat_platt,15+,RB
exante_low,"[0.1,0.2)",43,0.11305196782836399,0.023255813953488372,-0.08979615387487562,strat_platt,15+,RB
exante_mid,"[0,0.1)",166,0.08007045622798126,0.0963855421686747,0.016315085940693447,strat_platt,15+,RB
exante_mid,"[0.1,0.2)",325,0.14381166750005786,0.16307692307692306,0.019265255576865203,strat_platt,15+,RB
exante_mid,"[0.2,0.3)",105,0.24218334056416588,0.23809523809523808,-0.004088102468927796,strat_platt,15+,RB
exante_mid,"[0.3,0.4)",22,0.32808242721225445,0.13636363636363635,-0.1917187908486181,strat_platt,15+,RB
exante_mid,"[0.4,0.5)",2,0.46025863867018196,0,-0.46025863867018196,strat_platt,15+,RB
exante_high,"[0.1,0.2)",7,0.18208330302319736,0.14285714285714285,-0.03922616016605451,strat_platt,15+,RB
exante_high,"[0.2,0.3)",89,0.2653690040619279,0.2808988764044944,0.015529872342566475,strat_platt,15+,RB
exante_high,"[0.3,0.4)",354,0.3587255668259401,0.3418079096045198,-0.0169176572214203,strat_platt,15+,RB
exante_high,"[0.4,0.5)",441,0.44886366682547413,0.4421768707482993,-0.006686796077174817,strat_platt,15+,RB
exante_high,"[0.5,0.6)",235,0.5383297747524509,0.49361702127659574,-0.04471275347585518,strat_platt,15+,RB
exante_high,"[0.6,0.7)",66,0.638683543350278,0.6363636363636364,-0.00231990698664164,strat_platt,15+,RB
exante_high,"[0.7,0.8)",8,0.7324392363006931,0.625,-0.10743923630069308,strat_platt,15+,RB
exante_high,"[0.8,0.9)",5,0.825542058425856,0.4,-0.425542058425856,strat_platt,15+,RB
exante_high,"[0.9,1]",1,0.9073134170556434,1,0.09268658294435661,strat_platt,15+,RB
exante_low,"[0,0.1)",406,0.0582940981518236,0.06896551724137931,0.010671419089555712,strat_iso,15+,RB
exante_low,"[0.1,0.2)",14,0.11414701359242735,0,-0.11414701359242735,strat_iso,15+,RB
exante_low,"[0.2,0.3)",1,0.20408163265306123,0,-0.20408163265306123,strat_iso,15+,RB
exante_mid,"[0,0.1)",222,0.06931169348447788,0.0990990990990991,0.029787405614621218,strat_iso,15+,RB
exante_mid,"[0.1,0.2)",267,0.14137699565629858,0.18352059925093633,0.04214360359463776,strat_iso,15+,RB
exante_mid,"[0.2,0.3)",92,0.23532268043934787,0.18478260869565216,-0.05054007174369571,strat_iso,15+,RB
exante_mid,"[0.3,0.4)",32,0.35170169232763476,0.28125,-0.07045169232763476,strat_iso,15+,RB
exante_mid,"[0.4,0.5)",5,0.4228571428571428,0,-0.4228571428571428,strat_iso,15+,RB
exante_mid,"[0.5,0.6)",2,0.55,0,-0.55,strat_iso,15+,RB
exante_high,"[0,0.1)",27,0.03135581839285543,0.14814814814814814,0.11679232975529272,strat_iso,15+,RB
exante_high,"[0.1,0.2)",27,0.1494154077487411,0.2962962962962963,0.14688088854755518,strat_iso,15+,RB
exante_high,"[0.2,0.3)",44,0.23399609125558413,0.29545454545454547,0.06145845419896134,strat_iso,15+,RB
exante_high,"[0.3,0.4)",351,0.35425587126568364,0.3475783475783476,-0.00667752368733604,strat_iso,15+,RB
exante_high,"[0.4,0.5)",279,0.4371559171538077,0.4157706093189964,-0.021385307834811296,strat_iso,15+,RB
exante_high,"[0.5,0.6)",382,0.5358041282228443,0.5104712041884817,-0.025332924034362603,strat_iso,15+,RB
exante_high,"[0.6,0.7)",58,0.6543375166924391,0.5,-0.15433751669243911,strat_iso,15+,RB
