position,rank,player_id,player_name,player_disp,posteam,defteam,boom_pct,start_pct,disp_vol,p_boom_recal,board
RB,88,00-0036555,Chuba Hubbard,Chuba Hubbard,CAR,NO,7,19,12,0.07464020952641764,flex
WR,89,00-0040705,Chimere Dike,Chimere Dike,TEN,SF,7,17,6,0.07246716684455727,flex
WR,90,00-0039890,Adonai Mitchell,Adonai Mitchell,NYJ,JAX,7,17,7,0.07130627895174074,flex
WR,91,00-0036415,Van Jefferson,Van Jefferson,TEN,SF,7,18,6,0.07014353555784475,flex
RB,92,00-0033526,Samaje Perine,Samaje Perine,CIN,BAL,7,18,11,0.06873662557952473,flex
WR,93,00-0039868,Troy Franklin,Troy Franklin,DEN,GB,7,19,6,0.06839587418863527,flex
WR,94,00-0038997,Josh Downs,Josh Downs,IND,SEA,7,15,6,0.0654733784645957,flex
RB,95,00-0035685,David Montgomery,David Montgomery,DET,LA,6,18,11,0.06118863201376987,flex
RB,96,00-0036919,Kenneth Gainwell,Kenneth Gainwell,PIT,MIA,6,14,11,0.05839789089893816,flex
RB,97,00-0039032,Tyjae Spears,Tyjae Spears,TEN,SF,6,14,11,0.05584264444933285,flex
RB,98,00-0037525,Jordan Mason,Jordan Mason,MIN,DAL,6,17,11,0.05517059569220309,flex
WR,99,00-0034827,DJ Moore,DJ Moore,CHI,CLE,5,14,6,0.05424744883535881,flex
RB,100,00-0036924,Michael Carter,Michael Carter,ARI,HOU,5,14,11,0.05356171781496983,flex
WR,101,00-0035359,David Sills,David Sills,ATL,TB,5,13,5,0.05305369639725368,flex
WR,102,00-0039410,Ryan Flournoy,Ryan Flournoy,DAL,MIN,5,11,5,0.04583672343356295,flex
WR,103,00-0031610,Darren Waller,Darren Waller,MIA,PIT,5,13,5,0.04523083012663731,flex
WR,104,00-0037545,Rashid Shaheed,Rashid Shaheed,SEA,IND,5,11,5,0.04523083012663731,flex
WR,105,00-0039342,Xavier Legette,Xavier Legette,CAR,NO,4,14,5,0.04462420550725535,flex
RB,106,00-0039405,Jawhar Jordan,Jawhar Jordan,HOU,ARI,4,12,10,0.04413006029845635,flex
WR,107,00-0032211,Tyler Lockett,Tyler Lockett,LV,PHI,4,12,5,0.04340872192496173,flex
RB,108,00-0037746,Brian Robinson,Brian Robinson,SF,TEN,4,12,10,0.04209713601934436,flex
RB,109,00-0035537,Ty Johnson,Ty Johnson,BUF,NE,4,10,9,0.03807828685598023,flex
RB,110,00-0033955,Jeremy McNichols,Jeremy McNichols,WAS,NYG,4,10,9,0.0361859038813194,flex
RB,111,00-0038555,Tank Bigsby,Tank Bigsby,PHI,LV,3,10,9,0.03459400798673662,flex
RB,112,00-0037563,Malik Davis,Malik Davis,DAL,MIN,3,9,9,0.03448693675647979,flex
RB,113,00-0038454,Keaton Mitchell,Keaton Mitchell,BAL,CIN,3,8,9,0.03209972612840315,flex
RB,114,00-0040238,LeQuint Allen Jr.,LeQuint Allen Jr.,JAX,NYJ,3,9,8,0.03186699963609706,flex
RB,115,00-0039373,Audric Estimé,Audric Estimé,NO,CAR,3,9,9,0.03052844055751778,flex
RB,116,00-0038738,Hunter Luepke,Hunter Luepke,DAL,MIN,3,8,9,0.02983522229177634,flex
WR,117,00-0037291,Jalen Nailor,Jalen Nailor,MIN,DAL,3,10,5,0.02952067445698176,flex
RB,118,00-0032104,Ameer Abdullah,Ameer Abdullah,IND,SEA,3,8,9,0.02910684393190316,flex
WR,119,00-0040727,Tre Harris,Tre Harris,LAC,KC,3,10,5,0.0274441665105592,flex
WR,120,00-0040782,Isaiah Bond,Isaiah Bond,CLE,CHI,3,10,5,0.02723042733078335,flex
WR,121,00-0040667,Matthew Golden,Matthew Golden,GB,DEN,3,10,5,0.02678702805696689,flex
WR,122,00-0040729,Jack Bech,Jack Bech,LV,PHI,3,10,5,0.02667262060177357,flex
WR,123,00-0038976,Marvin Mims Jr.,Marvin Mims Jr.,DEN,GB,3,10,4,0.02619934637714721,flex
WR,124,00-0035406,Lil'Jordan Humphrey,Lil'Jordan Humphrey,DEN,GB,3,10,5,0.0258264285564279,flex
WR,125,00-0033307,Kendrick Bourne,Kendrick Bourne,SF,TEN,3,10,4,0.02543620713516751,flex
WR,126,00-0038104,Tyquan Thornton,Tyquan Thornton,KC,LAC,3,9,5,0.02543620713516751,flex
WR,127,00-0035208,Olamide Zaccheaus,Olamide Zaccheaus,CHI,CLE,3,10,5,0.02516544414948154,flex
WR,128,00-0039451,Isaiah Williams,Isaiah Williams,NYJ,JAX,3,10,5,0.02516544414948154,flex
WR,129,00-0031236,Brandin Cooks,Brandin Cooks,BUF,NE,2,10,5,0.02398071643348641,flex
WR,130,00-0038640,Jalen Brooks,Jalen Brooks,ARI,HOU,2,9,5,0.02381917464576041,flex
WR,131,00-0037231,Kevin Austin Jr.,Kevin Austin Jr.,NO,CAR,2,9,4,0.02276957567653235,flex
RB,132,00-0033854,Dare Ogunbowale,Dare Ogunbowale,HOU,ARI,2,8,8,0.02215887586670076,flex
RB,133,00-0039798,Isaiah Davis,Isaiah Davis,NYJ,JAX,2,7,8,0.0186989849051464,flex
QB,1,00-0036389,Jalen Hurts,Jalen Hurts,PHI,LV,29,50,36,0.28939625136807806,qb
QB,2,00-0034857,Josh Allen,Josh Allen,BUF,NE,27,50,36,0.2717047092600588,qb
QB,3,00-0034796,Lamar Jackson,Lamar Jackson,BAL,CIN,26,49,34,0.2555827955847422,qb
QB,4,00-0037834,Brock Purdy,Brock Purdy,SF,TEN,19,39,35,0.1892045352724007,qb
QB,5,00-0034855,Baker Mayfield,Baker Mayfield,TB,ATL,18,38,34,0.1847541984365822,qb
QB,6,00-0036355,Justin Herbert,Justin Herbert,LAC,KC,18,38,35,0.18030971720243255,qb
QB,7,00-0039732,Bo Nix,Bo Nix,DEN,GB,18,36,38,0.17537842200041556,qb
QB,8,00-0036971,Trevor Lawrence,Trevor Lawrence,JAX,NYJ,16,35,34,0.16308363898422146,qb
QB,9,00-0039851,Drake Maye,Drake Maye,NE,BUF,16,35,37,0.16014023962703644,qb
QB,10,00-0040691,Jaxson Dart,Jaxson Dart,NYG,WAS,16,35,33,0.15817959929918105,qb
QB,11,00-0033106,Jared Goff,Jared Goff,DET,LA,15,32,36,0.14839640626828346,qb
QB,12,00-0026498,Matthew Stafford,Matthew Stafford,LA,DET,13,28,34,0.13378714912926368,qb
QB,13,00-0034869,Sam Darnold,Sam Darnold,SEA,IND,13,30,35,0.1289358366509797,qb
QB,14,00-0033873,Patrick Mahomes,Patrick Mahomes,KC,LAC,13,30,36,0.12796672447507687,qb
QB,15,00-0036442,Joe Burrow,Joe Burrow,CIN,BAL,12,28,35,0.1168504556729878,qb
QB,16,00-0036264,Jordan Love,Jordan Love,GB,DEN,12,27,31,0.1158863719090821,qb
QB,17,00-0033077,Dak Prescott,Dak Prescott,DAL,MIN,11,27,38,0.11203425506748736,qb
QB,18,00-0039163,C.J. Stroud,C.J. Stroud,HOU,ARI,11,27,35,0.11059147554063188,qb
QB,19,00-0039150,Bryce Young,Bryce Young,CAR,NO,10,27,34,0.10291339261386458,qb
QB,20,00-0040676,Cam Ward,Cam Ward,TEN,SF,10,25,36,0.0990852529571321,qb
QB,21,00-0040743,Tyler Shough,Tyler Shough,NO,CAR,10,24,34,0.09860726153396854,qb
QB,22,00-0039923,J.J. McCarthy,J.J. McCarthy,MIN,DAL,9,24,33,0.08812217276900708,qb
QB,23,00-0036212,Tua Tagovailoa,Tua Tagovailoa,MIA,PIT,8,23,30,0.08337649475676477,qb
QB,24,00-0032268,Marcus Mariota,Marcus Mariota,WAS,NYG,8,24,33,0.08053548644577334,qb
QB,25,00-0029604,Kirk Cousins,Kirk Cousins,ATL,TB,8,21,33,0.07628329890275393,qb
QB,26,00-0039918,Caleb Williams,Caleb Williams,CHI,CLE,7,20,35,0.07486845699288898,qb
QB,27,00-0033119,Jacoby Brissett,Jacoby Brissett,ARI,HOU,5,16,39,0.05103351113626021,qb
QB,28,00-0023459,Aaron Rodgers,Aaron Rodgers,PIT,MIA,5,15,33,0.05010809522935103,qb
QB,29,00-0040668,Shedeur Sanders,Shedeur Sanders,CLE,CHI,4,14,34,0.04089902765211027,qb
QB,30,00-0040398,Brady Cook,Brady Cook,NYJ,JAX,3,10,35,0.03042350178897255,qb
QB,31,00-0038102,Kenny Pickett,Kenny Pickett,LV,PHI,2,7,30,0.01217225265244125,qb
QB,32,00-0022942,Philip Rivers,Philip Rivers,IND,SEA,2,6,32,0.01000089052514622,qb
