position,player_name,posteam,model_rank,ecr_rank,rank_gap,start_pct
TE,E.J. Jenkins,PHI,68,86,18,15
TE,Hunter Long,ARI,96,78,-18,13
WR,Parker Washington,JAX,27,9,-18,36
WR,Chris Moore,BAL,76,94,18,19
WR,Jack Bech,LV,94,76,-18,14
RB,Kyle Monangai,CHI,49,32,-17,13
WR,KC Concepcion,CLE,65,48,-17,21
WR,Rashid Shaheed,SEA,73,56,-17,19
WR,Ben Skowronek,PIT,174,157,-17,8
QB,J.J. McCarthy,MIN,62,46,-16,14
RB,Saquon Barkley,PHI,26,10,-16,24
RB,Travis Homer,PIT,93,77,-16,7
TE,Michael Mayer,LV,14,30,16,33
TE,AJ Barner,SEA,39,23,-16,19
TE,Robert Tonyan,PIT,98,82,-16,13
WR,Malik Nabers,NYG,30,14,-16,35
WR,Caleb Douglas,MIA,63,79,16,22
QB,Jalen Milroe,SEA,68,53,-15,14
TE,Tucker Kraft,GB,22,7,-15,26
TE,Colston Loveland,CHI,27,12,-15,21
TE,Darren Waller,CAR,41,26,-15,19
TE,Nate Adkins,DEN,59,74,15,15
TE,Payne Durham,TB,75,90,15,15
TE,Oscar Delp,NO,91,76,-15,14
WR,Matthew Golden,GB,7,22,15,48
WR,Michael Wilson,ARI,46,31,-15,26
QB,Michael Penix Jr.,ATL,14,28,14,26
QB,Mac Jones,SF,54,40,-14,14
QB,Trey Lance,LAC,55,41,-14,14
RB,J.K. Dobbins,DEN,25,39,14,27
RB,David Montgomery,HOU,33,19,-14,21
RB,Emmett Johnson,KC,55,41,-14,11
RB,Ronnie Rivers,LA,87,101,14,8
TE,Gavin Bartholomew,MIN,61,75,14,15
TE,Luke Schoonmaker,DAL,84,70,-14,14
TE,Nate Boerkircher,JAX,85,71,-14,14
WR,Jaylen Waddle,DEN,29,15,-14,35
WR,Jordan Addison,MIN,54,40,-14,24
WR,Kendrick Bourne,ARI,77,63,-14,19
WR,Darnell Mooney,NYG,97,83,-14,14
WR,Jacob Cowing,SF,103,117,14,12
WR,Jalen Royals,KC,129,115,-14,10
QB,Kyler Murray,MIN,27,14,-13,19
QB,Zach Wilson,NO,56,69,13,14
RB,Kenny Gainwell,TB,51,38,-13,12
RB,Brashard Smith,KC,76,89,13,9
RB,Isaiah Davis,NYJ,81,94,13,8
TE,Evan Engram,DEN,37,24,-13,20
TE,Durham Smythe,BAL,52,65,13,17
WR,Jalen Coker,CAR,34,21,-13,33
WR,Bryce Lance,NO,78,91,13,19
WR,Jahan Dotson,ATL,98,85,-13,13
QB,Tanner McKee,PHI,58,70,12,14
RB,Tyjae Spears,TEN,56,44,-12,11
TE,Cade Otton,TB,16,28,12,30
TE,Pat Freiermuth,PIT,29,17,-12,21
TE,Quintin Morris,JAX,100,88,-12,13
WR,Tee Higgins,CIN,32,20,-12,34
WR,Khalil Shakir,BUF,56,44,-12,23
WR,Josh Cameron,JAX,113,125,12,11
WR,Brycen Tremayne,CAR,134,146,12,10
QB,Drew Lock,SEA,38,27,-11,14
RB,Kenneth Walker III,KC,13,2,-11,43
RB,AJ Dillon,CAR,78,67,-11,8
RB,Andrew Beck,NYJ,91,102,11,7
RB,Eli Heidenreich,PIT,98,87,-11,7
RB,Julius Chestnut,TEN,118,107,-11,5
TE,Colby Parkinson,LA,40,29,-11,19
TE,Adam Trautman,DEN,70,59,-11,15
WR,Denzel Boston,CLE,26,37,11,36
WR,Carnell Tate,TEN,49,38,-11,26
WR,Tyquan Thornton,KC,58,69,11,23
WR,Colbie Young,CIN,133,122,-11,10
QB,Joe Burrow,CIN,18,8,-10,24
QB,Justin Fields,KC,53,43,-10,14
RB,George Holani,SEA,44,54,10,17
RB,Jacory Croskey-Merritt,WAS,45,35,-10,16
TE,Mark Andrews,BAL,4,14,10,54
TE,Drew Sample,CIN,66,56,-10,15
TE,Carsen Ryan,CLE,97,87,-10,13
WR,Deebo Samuel Sr.,SF,35,25,-10,32
WR,Tre Harris,LAC,47,57,10,26
WR,Ted Hurst III,TB,71,81,10,20
WR,Lil'Jordan Humphrey,DEN,175,165,-10,8
QB,Jameis Winston,NYG,20,29,9,24
QB,Malik Willis,MIA,29,20,-9,17
QB,Tommy DeVito,NE,59,68,9,14
QB,Taylen Green,CLE,73,64,-9,14
RB,Cam Skattebo,NYG,11,20,9,49
RB,Bijan Robinson,ATL,12,3,-9,49
RB,Tank Bigsby,PHI,41,50,9,19
RB,Jonah Coleman,DEN,46,37,-9,16
RB,Bam Knight,ARI,101,92,-9,7
RB,Corey Kiner,NE,104,95,-9,7
RB,Patrick Ricard,NYG,113,104,-9,6
TE,Terrance Ferguson,LA,11,20,9,37
TE,Jake Ferguson,DAL,24,15,-9,26
TE,Oronde Gadsden II,LAC,25,16,-9,26
WR,Adonai Mitchell,NYJ,38,29,-9,30
WR,Elijah Sarratt,BAL,86,95,9,16
WR,Mack Hollins,NE,87,78,-9,16
WR,Calvin Ridley,TEN,95,86,-9,14
WR,Simi Fehoko,ARI,150,159,9,9
WR,Jalen Brooks,ARI,151,160,9,9
QB,Deshaun Watson,CLE,16,24,8,26
QB,Sam Darnold,SEA,25,33,8,22
QB,Anthony Richardson,IND,34,42,8,14
RB,De'Von Achane,MIA,4,12,8,66
RB,Jaylen Warren,PIT,14,22,8,40
RB,Kaleb Johnson,GB,48,40,-8,13
RB,Tyler Goodson,DAL,119,111,-8,2
TE,Juwan Johnson,NO,19,11,-8,28
TE,Eli Raridon,NE,34,42,8,20
WR,Dareke Young,LV,146,138,-8,10
WR,Devin Duvernay,ARI,154,162,8,9
QB,C.J. Stroud,HOU,12,19,7,27
QB,Tyler Huntley,BAL,49,56,7,14
RB,Kyren Williams,LA,8,15,7,58
RB,D'Andre Swift,CHI,10,17,7,50
RB,Breece Hall,NYJ,18,11,-7,35
RB,Tony Pollard,TEN,36,29,-7,20
RB,Tyler Allgeier,ARI,38,45,7,19
RB,Emanuel Wilson,SEA,39,46,7,19
RB,Sione Vaki,DET,64,71,7,10
RB,Adam Prentice,DEN,102,109,7,7
TE,Isaiah Likely,NYG,17,10,-7,30
TE,Noah Fant,NO,32,39,7,20
WR,Ja'Marr Chase,CIN,10,3,-7,46
WR,DK Metcalf,PIT,20,27,7,39
WR,Terry McLaurin,WAS,25,32,7,37
WR,Wan'Dale Robinson,TEN,45,52,7,27
WR,Jalen Tolbert,MIA,126,119,-7,10
WR,Darius Cooper,PHI,128,121,-7,10
WR,Malachi Corley,CLE,173,166,-7,8
QB,Drake Maye,NE,17,11,-6,24
QB,Matthew Stafford,LA,22,16,-6,23
QB,Bryce Young,CAR,23,17,-6,23
QB,Kirk Cousins,LV,28,22,-6,18
QB,Caleb Williams,CHI,31,37,6,16
QB,Marcus Mariota,WAS,36,30,-6,14
QB,Joe Flacco,CIN,42,48,6,14
QB,Tyrod Taylor,GB,44,50,6,14
QB,Spencer Rattler,NO,61,55,-6,14
RB,Jonathan Taylor,IND,1,7,6,74
RB,Travis Etienne,NO,32,26,-6,21
RB,Kimani Vidal,LAC,57,63,6,11
TE,George Kittle,SF,2,8,6,56
TE,Brock Bowers,LV,9,3,-6,42
TE,Dalton Schultz,HOU,12,6,-6,35
TE,Gunnar Helm,TEN,38,32,-6,20
TE,Bauer Sharp,TB,86,92,6,14
WR,Tetairoa McMillan,CAR,12,18,6,43
WR,Garrett Wilson,NYJ,13,7,-6,43
WR,Jakobi Meyers,JAX,43,49,6,27
WR,LaJohntay Wester,BAL,115,109,-6,11
QB,Tyler Shough,NO,7,12,5,38
QB,Tyson Bagent,CHI,39,34,-5,14
RB,Christian McCaffrey,SF,9,4,-5,51
RB,TreVeyon Henderson,NE,22,27,5,30
RB,MarShawn Lloyd,GB,37,42,5,20
RB,Chris Rodriguez Jr.,JAX,53,48,-5,11
RB,Justice Hill,BAL,58,53,-5,11
RB,Nicholas Singleton,TEN,83,78,-5,8
TE,Hunter Henry,NE,13,18,5,35
TE,Kenyon Sadiq,NYJ,20,25,5,28
TE,Dawson Knox,BUF,35,40,5,20
TE,Tommy Tremble,CAR,46,41,-5,18
WR,Dontayvion Wicks,PHI,28,33,5,35
WR,Xavier Worthy,KC,36,41,5,31
WR,Quentin Johnston,LAC,40,45,5,28
WR,Courtland Sutton,DEN,48,43,-5,26
WR,Cooper Kupp,SEA,82,77,-5,18
QB,Jalen Hurts,PHI,8,4,-4,37
QB,Justin Herbert,LAC,9,13,4,36
QB,Daniel Jones,IND,21,25,4,24
QB,Aaron Rodgers,PIT,30,26,-4,16
QB,Sam Howell,DAL,57,61,4,14
QB,Riley Leonard,IND,64,60,-4,14
RB,James Cook,BUF,5,9,4,66
RB,Bhayshul Tuten,JAX,20,24,4,32
RB,Jeremiyah Love,ARI,27,23,-4,23
RB,Kaelon Black,SF,40,36,-4,19
RB,Jacob Saylors,DET,82,86,4,8
RB,Dylan Laube,LV,92,96,4,7
RB,CJ Donaldson,NO,97,93,-4,7
TE,Austin Hooper,ATL,54,50,-4,16
WR,Drake London,ATL,14,10,-4,41
WR,Kalif Raymond,CHI,55,59,4,24
WR,KhaDarel Hodge,SF,124,120,-4,10
WR,Jonathan Mingo,DAL,131,135,4,10
WR,Zavion Thomas,CHI,145,149,4,10
WR,Deion Burks,IND,152,148,-4,9
WR,Kevin Austin Jr.,NO,159,155,-4,9
QB,Geno Smith,NYJ,15,18,3,26
QB,Jarrett Stidham,DEN,47,44,-3,14
QB,Gardner Minshew,ARI,48,51,3,14
QB,Will Howard,PIT,63,66,3,14
RB,Derrick Henry,BAL,3,6,3,70
RB,Omarion Hampton,LAC,16,13,-3,38
RB,Bucky Irving,TB,21,18,-3,32
RB,Woody Marks,HOU,30,33,3,22
RB,Chris Brooks,GB,52,49,-3,11
RB,Hunter Luepke,DAL,85,82,-3,8
RB,Roschon Johnson,CHI,94,91,-3,7
RB,Reggie Gilliam,NE,108,105,-3,6
TE,Tyler Warren,IND,6,9,3,47
TE,Sam LaPorta,DET,7,4,-3,47
TE,Harold Fannin Jr.,CLE,10,13,3,38
TE,T.J. Hockenson,MIN,18,21,3,29
TE,Mason Taylor,NYJ,31,34,3,21
WR,DeVonta Smith,PHI,5,8,3,49
WR,George Pickens,DAL,9,12,3,46
WR,Rashee Rice,KC,16,19,3,40
WR,Emeka Egbuka,TB,21,24,3,38
WR,Jameson Williams,DET,23,26,3,37
WR,Devaughn Vele,NO,31,34,3,35
WR,Luke McCaffrey,WAS,132,129,-3,10
WR,Myles Price,MIN,167,170,3,9
QB,Jared Goff,DET,5,7,2,42
QB,Bo Nix,DEN,13,15,2,26
QB,Baker Mayfield,TB,19,21,2,24
QB,Cam Ward,TEN,33,31,-2,14
QB,Carson Wentz,MIN,37,35,-2,14
QB,Tua Tagovailoa,ATL,50,52,2,14
QB,Davis Mills,HOU,52,54,2,14
RB,Chase Brown,CIN,6,8,2,60
RB,Ashton Jeanty,LV,7,5,-2,59
RB,Aaron Jones,MIN,19,21,2,33
RB,Quinshon Judkins,CLE,23,25,2,30
RB,Jadarian Price,SEA,28,30,2,23
RB,Brian Robinson,ATL,59,57,-2,11
RB,Jaleel McLaughlin,CLE,79,81,2,8
TE,Kyle Pitts,ATL,21,19,-2,27
TE,Theo Johnson,NYG,42,44,2,19
TE,Luke Farrell,SF,56,58,2,16
WR,Justin Jefferson,MIN,6,4,-2,48
WR,CeeDee Lamb,DAL,8,6,-2,46
WR,Davante Adams,LA,15,13,-2,41
WR,Brian Thomas Jr.,JAX,52,50,-2,25
WR,DJ Moore,BUF,64,62,-2,22
WR,J. Michael Sturdivant,GB,148,150,2,9
QB,Patrick Mahomes,KC,4,5,1,47
QB,Trevor Lawrence,JAX,10,9,-1,32
QB,Jordan Love,GB,11,10,-1,30
QB,Jacoby Brissett,ARI,24,23,-1,23
QB,Garrett Nussmeier,KC,70,71,1,14
RB,Jahmyr Gibbs,DET,2,1,-1,70
RB,Javonte Williams,DAL,15,14,-1,39
RB,Chuba Hubbard,CAR,17,16,-1,37
RB,Kyle Juszczyk,SF,77,76,-1,8
RB,Ameer Abdullah,JAX,84,83,-1,8
TE,Dalton Kincaid,BUF,3,2,-1,54
TE,Brenton Strange,JAX,23,22,-1,26
TE,Chris Manhertz,NYG,94,93,-1,14
WR,Amon-Ra St. Brown,DET,3,2,-1,58
WR,Chris Olave,NO,4,5,1,54
WR,Josh Downs,IND,24,23,-1,37
WR,Malik Washington,MIA,50,51,1,25
WR,Roman Wilson,PIT,70,71,1,20
WR,Isaiah Williams,NYJ,93,92,-1,14
WR,Bo Melton,GB,135,136,1,10
QB,Josh Allen,BUF,1,1,0,67
QB,Lamar Jackson,BAL,2,2,0,52
QB,Brock Purdy,SF,3,3,0,51
QB,Dak Prescott,DAL,6,6,0,41
TE,Trey McBride,ARI,1,1,0,59
TE,Travis Kelce,KC,5,5,0,49
TE,Brevyn Spann-Ford,DAL,80,80,0,14
WR,Jaxon Smith-Njigba,SEA,1,1,0,61
WR,Christian Watson,GB,11,11,0,44
