player_id,season,season_share,n_weeks,prior_share,prior_n_weeks,abs_delta,cohort
00-0026986,2019,0.05369875222816399,2,0.1632832938007833,16,0.1095845415726193,role_change
00-0026995,2015,0.2590586050117206,15,0.22147583805401036,16,0.03758276695771026,stable
00-0026995,2016,0.175660773259266,12,0.2590586050117206,15,0.08339783175245463,role_change
00-0026995,2017,0.18290293040851593,12,0.175660773259266,12,0.007242157149249945,stable
00-0026998,2015,0.21130049623697536,5,0.18900378781763277,13,0.022296708419342587,stable
00-0026998,2016,0.13793103448275862,1,0.21130049623697536,5,0.07336946175421674,role_change
00-0027005,2015,0.05489596286574708,6,0.10291777386677323,15,0.04802181100102615,stable
00-0027006,2015,0.14266822123434456,16,0.14909544068061287,16,0.006427219446268312,stable
00-0027006,2016,0.20559990134990136,15,0.14266822123434456,16,0.0629316801155568,role_change
00-0027006,2017,0.08681128978786232,12,0.20559990134990136,15,0.11878861156203904,role_change
00-0027057,2015,0.039875895385640514,3,0.06849826001594003,11,0.02862236463029952,stable
00-0027057,2016,0.05539213825751132,6,0.039875895385640514,3,0.015516242871870804,stable
00-0027057,2017,0.07110003510978755,5,0.05539213825751132,6,0.015707896852276228,stable
00-0027077,2015,0.15803138610084747,12,0.09989387402581139,16,0.05813751207503608,role_change
00-0027089,2015,0.10732732732732732,5,0.1292724240171094,11,0.021945096689782076,stable
00-0027150,2015,0.22513454397759242,9,0.2483169806974602,14,0.023182436719867777,stable
00-0027150,2016,0.28007313528710803,16,0.22513454397759242,9,0.054938591309515616,role_change
00-0027150,2019,0.2348709245678142,16,0.23988765938614287,12,0.0050167348183286775,stable
00-0027150,2020,0.2060472383053028,6,0.2348709245678142,16,0.02882368626251139,stable
00-0027450,2015,0.1525096525096525,2,0.0936418600363603,15,0.05886779247329221,role_change
00-0027581,2015,0.04312354312354312,2,0.040450125085127936,7,0.0026734180384151845,stable
00-0027595,2015,0.08982952151950467,11,0.08398901293638136,4,0.005840508583123308,stable
00-0027595,2016,0.10704550774743628,8,0.08982952151950467,11,0.017215986227931607,stable
00-0027651,2015,0.11098142230381328,10,0.07823146725225186,13,0.03274995505156142,stable
00-0027651,2016,0.05259026956106089,5,0.11098142230381328,10,0.05839115274275239,role_change
00-0027654,2017,0.041666666666666664,2,0.03336375267944833,7,0.008302913987218337,stable
00-0027681,2015,0.1620913619011509,11,0.194963090544024,15,0.032871728642873105,stable
00-0027681,2016,0.18208159001151009,16,0.1620913619011509,11,0.019990228110359193,stable
00-0027681,2017,0.16136841845562616,16,0.18208159001151009,16,0.020713171555883925,stable
00-0027681,2018,0.11716572299651568,4,0.16136841845562616,16,0.044202695459110486,stable
00-0027685,2015,0.22793319909022025,15,0.22952945214564208,16,0.0015962530554218257,stable
00-0027685,2016,0.24595445301869628,15,0.22793319909022025,15,0.018021253928476033,stable
00-0027685,2017,0.20386698858966662,12,0.24595445301869628,15,0.042087464429029664,stable
00-0027685,2018,0.2262948855719331,12,0.20386698858966662,12,0.022427896982266493,stable
00-0027685,2019,0.1610384975900556,17,0.2262948855719331,12,0.06525638798187752,role_change
00-0027685,2020,0.1694527021413342,14,0.1610384975900556,17,0.008414204551278615,stable
00-0027685,2021,0.13169470067271713,14,0.1694527021413342,14,0.037758001468617075,stable
00-0027690,2015,0.2331288557771612,15,0.22965291320518277,15,0.0034759425719784187,stable
00-0027690,2016,0.18645983645983646,3,0.2331288557771612,15,0.04666901931732473,stable
00-0027690,2017,0.16030982857050374,16,0.18645983645983646,3,0.02615000788933272,stable
00-0027691,2015,0.07668569810879215,7,0.12316210616798515,16,0.046476408059192995,stable
00-0027691,2016,0.04879514657602311,13,0.07668569810879215,7,0.027890551532769044,stable
00-0027691,2017,0.028424214062259603,4,0.04879514657602311,13,0.020370932513763505,stable
00-0027691,2018,0.08457236066925887,6,0.028424214062259603,4,0.056148146606999266,role_change
00-0027691,2019,0.05111852433281004,4,0.08457236066925887,6,0.03345383633644883,stable
00-0027691,2020,0.040079365079365076,3,0.05111852433281004,4,0.011039159253444966,stable
00-0027691,2021,0.06666666666666667,1,0.040079365079365076,3,0.02658730158730159,stable
00-0027758,2015,0.0841482862596192,12,0.1486362032663094,16,0.06448791700669021,role_change
00-0027793,2015,0.31620649541965823,16,0.2861968272906881,16,0.0300096681289701,stable
00-0027793,2016,0.26686616529147306,15,0.31620649541965823,16,0.04934033012818517,stable
00-0027793,2017,0.29856027413895675,14,0.26686616529147306,15,0.03169410884748369,stable
00-0027793,2018,0.25128859551848864,15,0.29856027413895675,14,0.047271678620468105,stable
00-0027793,2019,0.26666666666666666,1,0.25128859551848864,15,0.015378071148178019,stable
00-0027793,2020,0.1894271305721749,8,0.26666666666666666,1,0.07723953609449177,role_change
00-0027793,2021,0.2167355922302031,7,0.1894271305721749,8,0.02730846165802822,stable
00-0027874,2015,0.27694822723956697,16,0.3072723087309085,16,0.030324081491341526,stable
00-0027874,2016,0.2428723808610643,16,0.27694822723956697,16,0.03407584637850267,stable
00-0027874,2017,0.23021559828018356,16,0.2428723808610643,16,0.012656782580880738,stable
00-0027874,2018,0.16543094305292208,15,0.23021559828018356,16,0.06478465522726148,role_change
00-0027874,2019,0.14794738521342798,11,0.16543094305292208,15,0.017483557839494096,stable
00-0027891,2015,0.189433368164651,16,0.22090391103733426,16,0.03147054287268325,stable
00-0027891,2016,0.21935436716081974,16,0.189433368164651,16,0.029920998996168735,stable
00-0027891,2017,0.19438954919293552,16,0.21935436716081974,16,0.024964817967884217,stable
00-0027891,2018,0.20009384154085733,15,0.19438954919293552,16,0.005704292347921802,stable
00-0027891,2019,0.1900630899047303,11,0.20009384154085733,15,0.010030751636127017,stable
00-0027891,2020,0.12434283662869712,12,0.1900630899047303,11,0.06572025327603319,role_change
00-0027902,2015,0.23481389527275998,9,0.27649328315623845,16,0.04167938788347847,stable
00-0027902,2016,0.23212783114932437,13,0.23481389527275998,9,0.002686064123435611,stable
00-0027902,2017,0.24432274597479411,16,0.23212783114932437,13,0.01219491482546975,stable
00-0027918,2015,0.13492904446209555,8,0.2198497492700019,15,0.08492070480790634,role_change
00-0027918,2016,0.0840135783526156,16,0.13492904446209555,8,0.05091546610947996,stable
00-0027942,2015,0.2459817906962465,16,0.30020829814824346,12,0.05422650745199695,role_change
00-0027942,2016,0.2691441480755997,10,0.2459817906962465,16,0.02316235737935321,stable
00-0027942,2017,0.2571750165306344,16,0.2691441480755997,10,0.011969131544965317,stable
00-0027942,2018,0.22729115584806642,9,0.2571750165306344,16,0.029883860682567986,stable
00-0027942,2021,0.14939380692196794,16,0.16487545161848932,16,0.015481644696521385,stable
00-0027942,2022,0.08865097095934134,13,0.14939380692196794,16,0.0607428359626266,role_change
00-0027944,2015,0.3111335477851956,16,0.26528358808343194,15,0.04584995970176364,stable
00-0027944,2016,0.24991266266361392,14,0.3111335477851956,16,0.061220885121581664,role_change
00-0027944,2017,0.2708197058697505,16,0.24991266266361392,14,0.020907043206136594,stable
00-0027944,2018,0.2555407908772717,16,0.2708197058697505,16,0.015278914992478798,stable
00-0027944,2019,0.23855403644132653,15,0.2555407908772717,16,0.01698675443594519,stable
00-0027944,2020,0.1809375315546266,9,0.23855403644132653,15,0.05761650488669992,role_change
00-0027944,2021,0.1416784344901237,10,0.1809375315546266,9,0.039259097064502896,stable
00-0027944,2022,0.09698370974685581,10,0.1416784344901237,10,0.0446947247432679,stable
00-0027944,2023,0.07001392571404605,8,0.09698370974685581,10,0.026969784032809765,stable
00-0027996,2015,0.10770473547426009,16,0.17511451266394915,15,0.06740977718968906,role_change
00-0027996,2016,0.12071791695146958,12,0.10770473547426009,16,0.013013181477209493,stable
00-0027996,2017,0.10677352311833545,16,0.12071791695146958,12,0.01394439383313413,stable
00-0027996,2018,0.10872602313290157,8,0.10677352311833545,16,0.001952500014566122,stable
00-0028002,2015,0.21418239622296062,16,0.22518842754594046,16,0.011006031322979837,stable
00-0028002,2016,0.15218203329610192,13,0.21418239622296062,16,0.062000362926858704,role_change
00-0028002,2017,0.1660058052553337,14,0.15218203329610192,13,0.01382377195923179,stable
00-0028002,2018,0.15705823232043972,9,0.1660058052553337,14,0.008947572934893983,stable
00-0028002,2019,0.14605520141836356,15,0.15705823232043972,9,0.01100303090207616,stable
00-0028002,2020,0.1347249469442798,10,0.14605520141836356,15,0.011330254474083756,stable
00-0028002,2021,0.09381308356069812,11,0.1347249469442798,10,0.04091186338358169,stable
00-0028002,2022,0.10822023967852702,13,0.09381308356069812,11,0.014407156117828904,stable
00-0028002,2023,0.05560669840023215,9,0.10822023967852702,13,0.05261354127829487,role_change
00-0028017,2015,0.16532714124835987,7,0.02631578947368421,1,0.13901135177467566,role_change
00-0028020,2015,0.041666666666666664,1,0.07793622889107062,6,0.03626956222440395,stable
00-0028050,2015,0.16666666666666666,1,0.08972281223416183,7,0.07694385443250483,role_change
00-0028050,2016,0.10147849462365591,2,0.16666666666666666,1,0.06518817204301075,role_change
00-0028052,2015,0.15859817681175706,11,0.21482779355825332,13,0.056229616746496264,role_change
00-0028052,2016,0.1012655307823375,7,0.15859817681175706,11,0.05733264602941955,role_change
00-0028091,2015,0.11060985452469536,5,0.13403190639635024,16,0.023422051871654873,stable
00-0028091,2016,0.22023472656565965,16,0.11060985452469536,5,0.10962487204096429,role_change
00-0028091,2017,0.11985432993836355,7,0.22023472656565965,16,0.1003803966272961,role_change
00-0028091,2018,0.10256410256410256,1,0.11985432993836355,7,0.01729022737426099,stable
00-0028114,2015,0.10553192904766866,13,0.044381421954951365,8,0.06115050709271729,role_change
