player_id,posteam,defteam,game_id,source,rolling_epa_per_opp,wt_carry_share,wt_target_share,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,baseline_carry_share,baseline_target_share,player_name,form_residual,wt_team_total_plays,baseline_team_total_plays,wt_snap_share,baseline_snap_share,games_played_so_far,def_used_fallback,def_rush_epa_adj,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status,own_q_int,own_practice_int,weeks_missed,return_from_absence,above_new_out_share,above_q_share,above_long_out_share
00-0040238,JAX,CLE,2026_01_CLE_JAX,roster_cold,NA,NA,NA,-0.20867974294536515,-0.20867974294536515,FALSE,r6_udfa,0.07210031347962383,0.09482758620689655,LeQuint Allen Jr.,NA,NA,68.58823529411765,NA,0.22588235294117648,0,TRUE,-0.1555554809484036,-0.689686227673249,-0.5414217518363517,2026,1,7.5,24,NA,NA,0,3,0,0,0,0,0
00-0040242,WAS,PHI,2026_01_WAS_PHI,roster_cold,NA,NA,NA,-0.029082362047379347,-0.029082362047379347,FALSE,r6_udfa,0.5072046109510087,0.09774436090225563,Jacory Croskey-Merritt,NA,NA,63.11764705882353,NA,0.3947058823529412,0,TRUE,-0.13672709726098525,-0.49044378506569064,0.5411411167297632,2026,1,-5.5,19.5,NA,NA,0,3,0,0,0,0,0
00-0040466,CLE,JAX,2026_01_CLE_JAX,roster_cold,NA,NA,NA,0.06745343383086184,0.06745343383086184,FALSE,udfa,0.3375,0.0784313725490196,Raheim Sanders,NA,NA,65.70588235294117,NA,0.2575,0,TRUE,-0.05649418973326667,-0.32538184988568425,-0.6233014214318366,2026,1,-7.5,16.5,NA,NA,0,3,0,0,0,0,0
00-0040556,NE,SEA,2026_01_NE_SEA,roster_cold,NA,NA,NA,0.09703113959015658,0.09703113959015658,FALSE,udfa,0.18461538461538463,0.0625,Corey Kiner,NA,NA,64.3529411764706,NA,0.1325,0,TRUE,-0.2748391309487062,-0.5183059624563855,-0.900834697865967,2026,1,-3.5,20.5,NA,NA,0,3,0,0,0,0,0
00-0040583,HOU,BUF,2026_01_BUF_HOU,roster_cold,NA,NA,NA,-0.09460688381357105,-0.09460688381357105,FALSE,r4_5,0.519893899204244,0.27692307692307694,Woody Marks,NA,NA,68.70588235294117,NA,0.515,0,TRUE,-0.015950645255013406,-0.7206689532083455,-0.29445656096574013,2026,1,-1.5,21.5,NA,NA,0,3,0,0,0,0,0
00-0040666,LAC,ARI,2026_01_ARI_LAC,roster_cold,NA,NA,NA,-0.008598686836241645,-0.008598686836241645,FALSE,r1,0.6739130434782609,0.3723404255319149,Omarion Hampton,NA,NA,68.41176470588235,NA,0.6344444444444445,0,TRUE,-0.09093039343107973,-0.46785535758476876,-0.6202349294554725,2026,1,10.5,28.5,NA,NA,0,3,0,0,0,0,0
00-0040715,NYG,DAL,2026_01_DAL_NYG,roster_cold,NA,NA,NA,-0.06521246908664871,-0.06521246908664871,FALSE,r4_5,0.5828571428571429,0.3595505617977528,Cam Skattebo,NA,NA,69.82352941176471,NA,0.5225,0,TRUE,-0.008981486729110802,-0.25141823569562227,-0.11291317233012993,2026,1,-2.5,23,NA,NA,0,3,0,0,0,0,0
00-0040719,JAX,CLE,2026_01_CLE_JAX,roster_cold,NA,NA,NA,-0.047886861365136556,-0.047886861365136556,FALSE,r4_5,0.25149700598802394,0.11864406779661017,Bhayshul Tuten,NA,NA,68.58823529411765,NA,0.21133333333333335,0,TRUE,-0.1555554809484036,-0.689686227673249,-0.5414217518363517,2026,1,7.5,24,NA,NA,0,3,0,0,0,0,0
00-0040730,DEN,KC,2026_01_DEN_KC,roster_cold,NA,NA,NA,-0.01859352567384574,-0.01859352567384574,FALSE,r2_3,0.4140845070422535,0.3431952662721893,RJ Harvey,NA,NA,67.76470588235294,NA,0.4211764705882353,0,TRUE,-0.0915553806350148,-0.2782599032517471,-0.5460958431847011,2026,1,-3,19.75,NA,NA,0,3,0,0,0,0,0
00-0040734,NE,SEA,2026_01_NE_SEA,roster_cold,NA,NA,NA,0.050059923521059396,0.050059923521059396,FALSE,r2_3,0.4838709677419355,0.2727272727272727,TreVeyon Henderson,NA,NA,64.3529411764706,NA,0.4588235294117647,0,TRUE,-0.2748391309487062,-0.5183059624563855,-0.900834697865967,2026,1,-3.5,20.5,NA,NA,0,3,0,0,0,0,0
00-0040784,CLE,JAX,2026_01_CLE_JAX,roster_cold,NA,NA,NA,-0.12132901860274985,-0.12132901860274985,FALSE,r2_3,0.7804054054054054,0.20809248554913296,Quinshon Judkins,NA,NA,65.70588235294117,NA,0.505,0,TRUE,-0.05649418973326667,-0.32538184988568425,-0.6233014214318366,2026,1,-7.5,16.5,NA,NA,0,3,0,0,0,0,0
00-0040878,LV,MIA,2026_01_MIA_LV,roster_cold,NA,NA,NA,NA,-0.06448674100855273,TRUE,r4_5,0.2900036954915004,0.1888479159682646,Mike Washington Jr.,NA,NA,59.411764705882355,NA,0.24425000000000002,0,TRUE,-0.08368898759176781,-0.2577029876184742,0.7567502338269113,2026,1,3.5,22,NA,NA,0,3,0,0,0,0,0
00-0040886,TEN,NYJ,2026_01_NYJ_TEN,roster_cold,NA,NA,NA,NA,-0.06448674100855273,TRUE,r4_5,0.2900036954915004,0.1888479159682646,Nicholas Singleton,NA,NA,63.1764705882353,NA,0.24425000000000002,0,TRUE,-0.08570625141332595,-0.2525382626137332,1.0543026267355637,2026,1,1.5,20.5,NA,NA,0,3,0,0,0,0,0
00-0041013,KC,DEN,2026_01_DEN_KC,roster_cold,NA,NA,NA,NA,-0.06448674100855273,TRUE,r4_5,0.2900036954915004,0.1888479159682646,Emmett Johnson,NA,NA,66.17647058823529,NA,0.24425000000000002,0,TRUE,-0.05185388214803607,-0.7706880552412495,-0.11413011532447975,2026,1,3,22.75,NA,NA,0,3,0,0,0,0,0
00-0041027,ARI,LAC,2026_01_ARI_LAC,roster_cold,NA,NA,NA,NA,-0.008598686836241645,TRUE,r1,0.6951871657754011,0.40555555555555556,Jeremiyah Love,NA,NA,68.11764705882354,NA,0.6522222222222223,0,TRUE,-0.1298451129205979,-0.5286966772843708,-1.1212001911204725,2026,1,-10.5,18,NA,NA,0,3,0,0,0,0,0
00-0041052,SF,LA,2026_01_SF_LA,roster_cold,NA,NA,NA,NA,-0.01329481174243705,TRUE,r2_3,0.4393939393939394,0.21428571428571427,Kaelon Black,NA,NA,66.05882352941177,NA,0.4592307692307692,0,TRUE,-0.1583267958602536,-0.509405819111881,-0.8048710511082422,2026,1,-3.5,22.5,NA,NA,0,3,0,0,0,0,0
00-0041081,MIN,GB,2026_01_GB_MIN,roster_cold,NA,NA,NA,NA,-0.053057520304063764,TRUE,udfa,0.18985042735042734,0.10986562457150692,Max Bredeson,NA,NA,60.05882352941177,NA,0.11176470588235295,0,TRUE,-0.12713808979524208,-0.3474287818667443,-0.0029681306049001866,2026,1,1.5,24,NA,NA,0,3,0,0,0,0,0
00-0041096,WAS,PHI,2026_01_WAS_PHI,roster_cold,NA,NA,NA,NA,-0.12919271864618997,TRUE,r6_udfa,0.21568627450980393,0.1888083735909823,Kaytron Allen,NA,NA,63.11764705882353,NA,0.17500000000000002,0,TRUE,-0.13672709726098525,-0.49044378506569064,0.5411411167297632,2026,1,-5.5,19.5,NA,NA,0,3,0,0,0,0,0
00-0041104,MIN,GB,2026_01_GB_MIN,roster_cold,NA,NA,NA,NA,-0.12919271864618997,TRUE,r6_udfa,0.21568627450980393,0.1888083735909823,Demond Claiborne,NA,NA,60.05882352941177,NA,0.17500000000000002,0,TRUE,-0.12713808979524208,-0.3474287818667443,-0.0029681306049001866,2026,1,1.5,24,NA,NA,0,3,0,0,0,0,0
00-0041125,IND,BAL,2026_01_BAL_IND,roster_cold,NA,NA,NA,NA,-0.12919271864618997,TRUE,r6_udfa,0.21568627450980393,0.1888083735909823,Seth McGowan,NA,NA,63.76470588235294,NA,0.17500000000000002,0,TRUE,-0.14937842248520308,-0.5715023772900206,-0.30975109221707325,2026,1,-3.5,22.5,NA,NA,0,3,0,0,0,0,0
00-0041436,MIA,LV,2026_01_MIA_LV,roster_cold,NA,NA,NA,NA,-0.053057520304063764,TRUE,udfa,0.18985042735042734,0.10986562457150692,DJ Herman,NA,NA,59.05882352941177,NA,0.11176470588235295,0,TRUE,-0.06319735805982918,-0.3317119594113578,-0.9130167952938161,2026,1,-3.5,18.5,NA,NA,0,3,0,0,0,0,0
00-0041490,PIT,ATL,2026_01_ATL_PIT,roster_cold,NA,NA,NA,NA,-0.12919271864618997,TRUE,r6_udfa,0.21568627450980393,0.1888083735909823,Eli Heidenreich,NA,NA,61.1764705882353,NA,0.17500000000000002,0,TRUE,-0.0693093179559202,-0.5491276134281179,0.013746711180636048,2026,1,3.5,23,NA,NA,0,3,0,0,0,0,0
00-0041496,DEN,KC,2026_01_DEN_KC,roster_cold,NA,NA,NA,NA,-0.06448674100855273,TRUE,r4_5,0.2900036954915004,0.1888479159682646,Jonah Coleman,NA,NA,67.76470588235294,NA,0.24425000000000002,0,TRUE,-0.0915553806350148,-0.2782599032517471,-0.5460958431847011,2026,1,-3,19.75,NA,NA,0,3,0,0,0,0,0
00-0041512,SEA,NE,2026_01_NE_SEA,roster_cold,NA,NA,NA,NA,-0.008598686836241645,TRUE,r1,0.6951871657754011,0.40555555555555556,Jadarian Price,NA,NA,63,NA,0.6522222222222223,0,TRUE,-0.11877807175204005,-0.6680247497319286,-1.0651496304339716,2026,1,3.5,24,NA,NA,0,3,0,0,0,0,0
