position,player_id,season,week,pred_vol,p_start,p_boom,p_bust,hit_start,hit_boom,hit_bust,stratum,star_bucket,team_spread,implied_total,sb,ib,p_start_platt,p_start_iso,p_start_strat_platt,p_start_strat_iso,p_start_platt_vol,p_start_platt_vegas,p_start_platt_vol_vegas,p_start_star_platt,p_boom_platt,p_boom_iso,p_boom_strat_platt,p_boom_strat_iso,p_boom_platt_vol,p_boom_platt_vegas,p_boom_platt_vol_vegas,p_boom_star_platt,p_bust_platt,p_bust_iso,p_bust_strat_platt,p_bust_strat_iso,p_bust_platt_vol,p_bust_platt_vegas,p_bust_platt_vol_vegas,p_bust_star_platt
RB,00-0030107,2018,13,8.302400146414985,0.19421524982735672,0.05913482752449817,0.11429490317541058,0,0,0,exante_low,b3,-9.5,22.5,big_dog,mid_implied,0.19035224462206932,0.19205298013245034,0.12675223629129567,0.12886597938144329,0.14765723651272786,0.19956770530575826,0.14259482517990413,0.18198998598677713,0.05937302523203495,0.06578947368421052,0.04457072233569611,0.05365853658536585,0.05163632107473791,0.06119025930988787,0.049502000047170036,0.061010809093579005,0.16484776375654098,0.145985401459854,0.2249846991491022,0.20253164556962025,0.26425714470451656,0.1605820986591571,0.2666739460291239,0.20423867702885334
RB,00-0030288,2018,13,8.93625136293205,0.11774383016294931,0.03087996226351486,0.36220685809741915,0,0,0,exante_low,b2,5.5,26.75,fav,high_implied,0.11034611364432871,0.10429447852760736,0.09093135426021424,0.07981220657276995,0.10348988659519857,0.12754866655715796,0.12614644425053437,0.11841904718820724,0.029085191347348625,0.018691588785046728,0.021563537889904956,0.011764705882352941,0.03032947258513755,0.036196813722322974,0.040955472685723096,0.02999592078860476,0.33691324589772836,0.41818181818181815,0.4132506714654631,0.46153846153846156,0.3895046259912671,0.3426152079900578,0.37822942471129034,0.23729993468798546
RB,00-0030404,2018,13,10.728627689576316,0.2472873661468291,0.096607151200943,0.1364048005734224,0,0,0,exante_mid,b1,-7,18.5,big_dog,low_implied,0.24737446093676724,0.22857142857142856,0.24715174980285654,0.2450592885375494,0.20485766720747212,0.21899276528745668,0.15840635093604,0.3102932686059456,0.10159808873920825,0.10264900662251655,0.10735738714042305,0.10497237569060773,0.08872868094623,0.0838977259786684,0.06453039137670433,0.1442721853432392,0.18337908064099293,0.145985401459854,0.20016470049700708,0.18055555555555555,0.23901448992709673,0.1814042700218845,0.2513576859634578,0.14193594652976962
RB,00-0030414,2018,13,9.303705449934268,0.17012303340987656,0.05088745370139402,0.24162503875717123,0,0,0,exante_low,b3,15,35.5,big_fav,high_implied,0.1648085795924357,0.16080402010050251,0.11588743833655947,0.12886597938144329,0.1407580154587177,0.2333448496782286,0.23461994974196432,0.16050784476914387,0.050350721873743155,0.061946902654867256,0.037668860008100755,0.05365853658536585,0.04755573740520075,0.08427437833181156,0.09240544432720464,0.05298866169442125,0.26001578736849235,0.2536945812807882,0.3326427829990256,0.3089430894308943,0.32534011726144485,0.2805125684240617,0.3004005310855805,0.2918696148616903
RB,00-0030456,2018,13,12.35086999363978,0.2649798310145163,0.11772145017654412,0.16460768595206654,0,0,0,exante_mid,b3,-3.5,19.5,dog,low_implied,0.26655418337715775,0.24074074074074073,0.2638381097138094,0.2450592885375494,0.2355138379350252,0.24236764644232278,0.19391742776550197,0.24487865415324828,0.1260030139815608,0.13257575757575757,0.1298979046804394,0.12941176470588237,0.11341633791645675,0.10939300288218531,0.0887912385550417,0.11652828032912445,0.20545971255887216,0.18951612903225806,0.22010303134520562,0.19402985074626866,0.2295083064533224,0.20274810961876674,0.2369179051401382,0.24265544213844562
RB,00-0030513,2018,13,14.399387358557291,0.2315876903266213,0.10621609843666012,0.29651455980083785,0,0,1,exante_high,b3,-5.5,21.25,dog,mid_implied,0.23041739849256113,0.22857142857142856,0.2485495409633751,0.23859649122807017,0.23568697179552384,0.22565153264034718,0.22724145343486155,0.21521682974029102,0.11266294758835099,0.13257575757575757,0.11392004944974525,0.14107883817427386,0.11376792297993843,0.10682959236751345,0.10604867767179942,0.10577523076361486,0.2958110476554709,0.2890995260663507,0.21211152628065785,0.2010178117048346,0.2548775881699895,0.29149567547001687,0.2548632543926897,0.3230792692508468
RB,00-0030656,2018,13,14.498947699974492,0.24164712619647288,0.11353059508758856,0.27878197474456434,0,0,0,exante_high,b3,-9,15.75,big_dog,low_implied,0.24127517367129786,0.22857142857142856,0.25901429429815065,0.23859649122807017,0.24460668926641965,0.19306429124428182,0.17894579100142108,0.2241518906672606,0.12113334892373381,0.13257575757575757,0.12235904244441982,0.14107883817427386,0.12097645715736252,0.08656701217320308,0.07967757327871901,0.11261784066353889,0.2844368631481005,0.2536945812807882,0.20612493274058083,0.2010178117048346,0.2462462023007852,0.2849773700820097,0.26369596817256663,0.3132383208902332
RB,00-0030874,2018,13,8.070746785194357,0.09562133223722624,0.01876425710855056,0.3752316546605292,0,0,0,exante_low,b3,15,35.5,big_fav,high_implied,0.08793236677245508,0.10429447852760736,0.07951163979390423,0.07981220657276995,0.0836747000880698,0.13209299860294546,0.15568793067570838,0.09328868919218573,0.0168204578468479,0.01020408163265306,0.012387899120990642,0.011111111111111112,0.018905015355133975,0.030058598088562337,0.04344940003708586,0.020777775216855553,0.3449363305181979,0.41818181818181815,0.42138962819795833,0.48717948717948717,0.41413090528823604,0.36944546716115606,0.38480263421899596,0.36492181257077594
RB,00-0031045,2018,13,13.079360938282717,0.20429577193154055,0.08818672734985877,0.3087745807281741,0,0,1,exante_mid,b3,-3.5,22.25,dog,mid_implied,0.20111150810544673,0.2077922077922078,0.2064035102432729,0.20116618075801748,0.20001884212962415,0.2042367958743727,0.20046061402366608,0.19096048819325112,0.09196882889454334,0.10181818181818182,0.09830904410937555,0.10038610038610038,0.09134892952904348,0.09255721757690774,0.09049819175816899,0.08879951327035367,0.3035910249762818,0.2890995260663507,0.30572399844060394,0.2995391705069124,0.2833118823026828,0.2983466156835341,0.2801394181023638,0.32977385150101557
RB,00-0031062,2018,13,12.545119660809815,0.4294881418336862,0.21137232903575176,0,1,0,0,exante_mid,b1,5.5,26.75,fav,high_implied,0.44630120089089476,0.5294117647058824,0.41810320264971357,0.4230769230769231,0.35295002868416153,0.47206035022652815,0.36053495062759666,0.49432802548671606,0.23658641836149114,0.22983870967741934,0.22783067091935727,0.3076923076923077,0.19085723612182076,0.26240004217812896,0.19708901453039387,0.2857617270275863,0.002039645004249911,0.0125,0.004548846753848641,0,0.011375550416022014,0.0020135567957004345,0.012135661674673648,0.011521788401802404
