player_id,posteam,defteam,game_id,rolling_epa_per_opp,wt_target_share,wt_air_yards_share,wt_air_yards_per_target,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,player_name,form_residual,wt_team_total_plays,wt_snap_share,games_played_so_far,def_used_fallback,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status
00-0036040,NO,MIA,2025_13_NO_MIA,0.8090136212383294,0.14930590298566354,0.16451327432072216,8.773629421905992,0.2480966281385524,0.2480966281385524,FALSE,udfa,Juwan Johnson,0.560916993099777,65.23218134722885,0.6890235952954342,11,FALSE,0.05395921754121129,0.4983287337226311,2025,13,NA,NA,NA,NA
00-0036252,IND,HOU,2025_13_HOU_IND,0.30399078954356756,0.2085041795073336,0.20639785093933377,6.895126159340382,0.01105751855109637,0.01105751855109637,FALSE,r2_3,Michael Pittman,0.2929332709924712,64.44654614825888,0.8314669158601303,11,FALSE,-0.573666839490898,0.007778446109053332,2025,13,NA,NA,NA,NA
00-0036259,SF,CLE,2025_13_SF_CLE,0.09134425317793926,0.2167969837069454,0.31304460028687653,10.087858832528783,0.3826531514570794,0.3826531514570794,FALSE,r6_udfa,Jauan Jennings,-0.29130889827914014,61.30534850290117,0.8442640563145769,11,FALSE,-0.8907315326725268,-0.21651096268472475,2025,13,NA,NA,NA,NA
00-0036309,ATL,NYJ,2025_13_ATL_NYJ,0.4684640544598936,0.1596050020850688,0.3336159824926145,18.297145329656903,0.4142168730663383,0.4142168730663383,FALSE,r4_5,Darnell Mooney,0.05424718139355528,60.08593298403555,0.8564293430359247,11,FALSE,-0.006172124948771413,0.29030919925534043,2025,13,NA,NA,NA,NA
00-0036322,MIN,SEA,2025_13_MIN_SEA,-0.4681115007770439,0.28211697208050307,0.44908852953570844,9.974148838285032,0.41683838703318954,0.41683838703318954,FALSE,r1,Justin Jefferson,-0.8849498878102334,56.30441655529921,0.9748297973814464,11,FALSE,-0.45940379018164734,-0.1645509035113913,2025,13,NA,NA,NA,Full Participation in Practice
00-0036358,DAL,KC,2025_13_KC_DAL,-0.056483536245271804,0.26156112767886053,0.370393090027345,11.546801508781458,0.12846782508986015,0.12846782508986015,FALSE,r1,CeeDee Lamb,-0.18495136133513196,69.7786851955152,0.7969611093041402,11,FALSE,-0.4734366206462177,0.22003860529618882,2025,13,NA,NA,NA,NA
00-0036407,CLE,SF,2025_13_SF_CLE,-1.3172855309113793,0.19246579107400724,0.3449639645687552,12.289454876056906,0.26215242477629935,0.26215242477629935,FALSE,r1,Jerry Jeudy,-1.5794379556876788,59.70214415358767,0.7833855145345064,12,FALSE,0.24846011330737738,0.3864420280674495,2025,13,NA,NA,NA,NA
00-0036415,TEN,JAX,2025_13_JAX_TEN,0.6355436328317026,0.1231193916825987,0.19882680716716644,9.62984785491952,0.05174881749736078,0.05174881749736078,FALSE,r2_3,Van Jefferson,0.5837948153343417,63.89947436807043,0.8683902079776737,11,FALSE,-0.352094550196738,-0.33866017595213554,2025,13,NA,NA,NA,NA
00-0036554,HOU,IND,2025_13_HOU_IND,0.4035540448990524,0.2094654871710005,0.30380191067446904,11.57208915749516,0.43265523566382735,0.43265523566382735,FALSE,r2_3,Nico Collins,-0.029101190764774965,71.3808817606226,0.7707444458113759,11,FALSE,-0.4597239443771796,0.21956171406071645,2025,13,NA,NA,NA,NA
00-0036613,MIA,NO,2025_13_NO_MIA,0.4997159591445003,0.25177986067509134,0.6268591978983815,16.21377380383272,0.47242167023816106,0.47242167023816106,FALSE,r1,Jaylen Waddle,0.027294288906339226,60.57538579765782,0.8087194568076834,11,FALSE,-0.261263363308955,0.8524897586103594,2025,13,NA,NA,NA,Full Participation in Practice
00-0036841,JAX,TEN,2025_13_JAX_TEN,-0.6703656203984995,0.05059497174005957,0.10033846969244938,14.091057675963336,NA,0.21464330413841848,TRUE,udfa,Austin Trammell,-0.8850089245369179,70.24036495944426,0.17536735574471424,11,FALSE,-0.44669598944098077,1.0223026802981556,2025,13,NA,NA,NA,NA
00-0036900,CIN,BAL,2025_13_CIN_BAL,0.22996386363470328,0.3211403141424243,0.38042202220922083,8.971048883711989,0.4400596645590096,0.4400596645590096,FALSE,r1,Ja'Marr Chase,-0.2100958009243063,67.35044600349522,0.9840665609448229,11,FALSE,-0.2607847012133627,0.2979702294176274,2025,13,NA,NA,NA,NA
00-0036912,PHI,CHI,2025_13_CHI_PHI,0.26405488471185,0.2877656353632044,0.492381765225533,14.808021707327548,0.6310994172437339,0.6310994172437339,FALSE,r1,DeVonta Smith,-0.36704453253188385,66.15643406175796,0.9306069456217843,11,FALSE,-0.2426421951612388,0.3087701590550849,2025,13,NA,NA,NA,Full Participation in Practice
