position,player_name,posteam,model_rank,ecr_rank,rank_gap,start_pct
WR,Ja'Kobi Lane,BAL,103,80,-23,15
WR,Olamide Zaccheaus,ATL,141,118,-23,13
QB,Tanner McKee,PHI,31,53,22,29
QB,Mason Rudolph,PIT,83,61,-22,14
TE,Isaiah Likely,NYG,35,13,-22,22
TE,Luke Farrell,SF,88,110,22,17
WR,Jalen McMillan,TB,81,59,-22,16
WR,Tutu Atwell,LA,85,107,22,16
WR,Colbie Young,CIN,115,137,22,14
WR,Isaiah Williams,NYJ,142,164,22,13
QB,Ty Simpson,LA,16,37,21,35
QB,Bryce Young,CAR,46,25,-21,25
QB,Tommy DeVito,NE,75,54,-21,17
WR,Jakobi Meyers,JAX,21,42,21,35
WR,DJ Moore,BUF,56,35,-21,20
WR,Michael Wilson,ARI,61,40,-21,19
WR,KC Concepcion,CLE,70,49,-21,18
WR,Malachi Corley,CLE,183,204,21,8
QB,Anthony Richardson,IND,54,74,20,23
RB,Kenneth Walker III,KC,32,12,-20,19
RB,Justice Hill,BAL,72,52,-20,13
TE,Theo Johnson,NYG,14,34,20,31
TE,Jake Briningstool,KC,91,111,20,17
TE,David Martin-Robinson,TEN,119,139,20,14
WR,Omar Cooper Jr.,NYJ,46,66,20,24
WR,Jalen Coker,CAR,66,46,-20,18
WR,Malik Benson,LV,108,128,20,14
WR,Bryce Lance,NO,139,119,-20,13
RB,Tyler Allgeier,ARI,28,47,19,21
RB,Samaje Perine,CIN,45,64,19,15
RB,Nicholas Singleton,TEN,55,74,19,14
TE,Payne Durham,TB,65,84,19,19
TE,Mo Alie-Cox,IND,96,77,-19,16
WR,Lil'Jordan Humphrey,DEN,122,141,19,14
QB,J.J. McCarthy,MIN,22,40,18,33
QB,Patrick Mahomes,KC,35,17,-18,29
QB,C.J. Stroud,HOU,41,23,-18,27
QB,Garrett Nussmeier,KC,57,75,18,21
QB,Sam Ehlinger,DEN,68,86,18,18
TE,Tyler Higbee,LA,28,46,18,23
TE,Marlin Klein,HOU,51,69,18,20
TE,Tanner Koziol,JAX,79,61,-18,18
QB,Drew Lock,SEA,49,66,17,24
RB,Kaelon Black,SF,54,71,17,14
TE,Cade Otton,TB,3,20,17,38
TE,Nate Boerkircher,JAX,45,62,17,21
WR,Christian Watson,GB,40,23,-17,26
WR,Rashid Shaheed,SEA,68,51,-17,18
WR,Skyler Bell,BUF,125,108,-17,14
WR,Tim Patrick,NYJ,152,135,-17,13
QB,Jalen Milroe,SEA,48,64,16,25
RB,Bam Knight,ARI,79,95,16,12
RB,Jaylen Wright,MIA,82,66,-16,12
TE,Greg Dulcich,MIA,40,24,-16,22
TE,Durham Smythe,BAL,56,72,16,20
TE,Nate Adkins,DEN,113,129,16,15
TE,Charlie Woerner,ATL,117,101,-16,14
WR,Quentin Johnston,LAC,25,41,16,32
WR,Makai Lemon,PHI,34,50,16,29
WR,Parker Washington,JAX,45,29,-16,24
WR,Demarcus Robinson,SF,148,132,-16,13
WR,Nikko Remigio,KC,173,189,16,11
QB,Trevor Lawrence,JAX,24,9,-15,32
QB,Mitchell Trubisky,TEN,73,58,-15,17
RB,Woody Marks,HOU,33,48,15,18
RB,Rhamondre Stevenson,NE,41,26,-15,16
TE,Mike Gesicki,CIN,22,37,15,27
