page,wayback_ts,status,week_label,n_players
ppr-flex,20211025083705,ok,7,303
ppr-flex,20211101142435,ok,8,346
ppr-flex,20211108191508,ok,9,359
ppr-flex,20211115210014,ok,10,348
ppr-flex,20211122185838,ok,11,361
ppr-flex,20211129175320,ok,12,358
ppr-flex,20211130171725,ok,13,239
ppr-flex,20211214020334,ok,14,352
ppr-flex,20211215004656,ok,15,339
ppr-flex,20211222013455,ok,15,390
ppr-flex,20211230004152,ok,17,326
ppr-flex,20220103021959,ok,17,395
ppr-flex,20220106030943,ok,18,309
ppr-flex,20220906170850,ok,1,336
ppr-flex,20220911203536,ok,1,410
ppr-flex,20220913014747,ok,1,404
ppr-flex,20220918173544,ok,2,412
ppr-flex,20220920162735,ok,3,314
ppr-flex,20220927173217,ok,4,338
ppr-flex,20220929013157,ok,4,390
ppr-flex,20221008011513,ok,5,399
ppr-flex,20221015023623,ok,6,351
ppr-flex,20221022043900,ok,7,378
ppr-flex,20221029062033,ok,8,411
ppr-flex,20221105060810,ok,9,348
ppr-flex,20221112143015,ok,10,374
ppr-flex,20221119142801,ok,11,363
ppr-flex,20221126092240,ok,12,403
ppr-flex,20221203091643,ok,13,377
ppr-flex,20221210102407,ok,14,331
ppr-flex,20221217115054,ok,15,410
ppr-flex,20221224185554,ok,16,382
ppr-flex,20221231133202,ok,17,359
ppr-flex,20230107175407,ok,18,359
ppr-flex,20240907054354,ok,1,457
ppr-flex,20240918190233,ok,3,301
ppr-flex,20250917183546,ok,3,288
ppr-flex,20251107043128,ok,10,364
ppr-flex,20251123214600,ok,12,334
ppr-rb,20171119211053,ok,11,103
ppr-rb,20180901074133,ok,1,115
ppr-rb,20180906121148,ok,1,136
ppr-rb,20180908101905,ok,1,140
ppr-rb,20180915034334,ok,2,137
ppr-rb,20181013015911,ok,6,109
ppr-rb,20181020030824,ok,7,94
ppr-rb,20181027005406,ok,8,95
ppr-rb,20181103101450,ok,9,85
ppr-rb,20181110203757,ok,10,93
ppr-rb,20181123215451,ok,12,96
ppr-rb,20181201024701,ok,13,107
ppr-rb,20181208043414,ok,14,111
ppr-rb,20181221203659,ok,16,113
ppr-rb,20191023143315,ok,8,99
ppr-rb,20200916132907,ok,2,106
ppr-rb,20200917205449,ok,2,125
ppr-rb,20200925115147,ok,3,120
ppr-rb,20200926004953,ok,3,118
ppr-rb,20201025144017,ok,7,103
ppr-rb,20201028185721,ok,8,108
ppr-rb,20201101042446,ok,8,108
ppr-rb,20201103011341,ok,8,104
ppr-rb,20201104110023,ok,9,102
ppr-rb,20201109162456,ok,9,102
ppr-rb,20201116045205,ok,10,109
ppr-rb,20201119160942,ok,11,108
ppr-rb,20201217170117,ok,15,130
ppr-rb,20210907041508,ok,1,121
ppr-rb,20210914031242,ok,1,139
ppr-rb,20210916133410,ok,2,121
ppr-rb,20210917173257,ok,2,129
ppr-rb,20210927025424,ok,3,121
ppr-rb,20211004041815,ok,4,125
ppr-rb,20211011050827,ok,5,118
ppr-rb,20211018061307,ok,6,98
ppr-rb,20211020235719,ok,7,87
ppr-rb,20211025083058,ok,7,93
ppr-rb,20211026094406,ok,8,84
ppr-rb,20211101141857,ok,8,105
ppr-rb,20211108190922,ok,9,111
ppr-rb,20211115205336,ok,10,108
ppr-rb,20211122185249,ok,11,109
ppr-rb,20211129174741,ok,12,109
ppr-rb,20211130171147,ok,13,86
ppr-rb,20211204154840,ok,13,106
ppr-rb,20211208093947,ok,14,104
ppr-rb,20211214015648,ok,14,111
ppr-rb,20211215004130,ok,15,107
ppr-rb,20211222012914,ok,15,121
ppr-rb,20211230003625,ok,17,108
ppr-rb,20220106025227,ok,18,107
ppr-rb,20220906154115,ok,1,124
ppr-rb,20220913082335,ok,2,106
ppr-rb,20220920161331,ok,3,103
ppr-rb,20220927164939,ok,4,113
ppr-rb,20220929012342,ok,4,114
